,the,function,of,long-lived,memory,cells,is,an,example,of,what,kind,of,immune,response,?
this,0.6274310946464539,0.27971330285072327,0.45148900151252747,0.25671085715293884,0.1818937510251999,0.239293172955513,0.480927973985672,0.41881775856018066,0.4614826440811157,0.45148900151252747,0.5489566326141357,0.4221852123737335,0.45148900151252747,0.2550543546676636,0.37390729784965515,0.3155723512172699
is,0.5823672413825989,0.17586156725883484,0.4854315221309662,0.21976596117019653,0.2188194841146469,0.1644774079322815,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.2092347890138626,0.21022158861160278,0.22961433231830597
``,0.029072100296616554,0.2593635618686676,0.06780257821083069,0.16655628383159637,0.018030283972620964,0.1241510808467865,0.058766357600688934,0.03770720958709717,0.17130611836910248,0.06780257821083069,0.008517155423760414,-0.040448643267154694,0.06780257821083069,0.15046526491641998,0.06285130977630615,0.0685480609536171
adaptive,0.25968632102012634,0.37790367007255554,0.18422213196754456,0.26661577820777893,0.2664898633956909,0.3719173073768616,0.22713550925254822,0.2685147821903229,0.24308669567108154,0.18422213196754456,0.22806508839130402,0.2798503041267395,0.18422213196754456,0.4945787191390991,0.3731633722782135,0.12147218734025955
'',0.041273195296525955,-0.05959930643439293,0.13035868108272552,0.014424390159547329,0.015056094154715538,-0.04999896138906479,0.0793738141655922,0.09471100568771362,-0.021546287462115288,0.13035868108272552,0.08143015950918198,0.01890246570110321,0.13035868108272552,-0.032193783670663834,-0.10968024283647537,0.018684765323996544
because,0.44596394896507263,0.22134517133235931,0.4075504541397095,0.24254825711250305,0.23069573938846588,0.25664424896240234,0.4047735333442688,0.3022964894771576,0.4499915540218353,0.4075504541397095,0.46729007363319397,0.3928086459636688,0.4075504541397095,0.2751635015010834,0.2798744738101959,0.2528740465641022
it,0.6251175999641418,0.2046748548746109,0.38761502504348755,0.2366127073764801,0.17762234807014465,0.1893734186887741,0.6328473687171936,0.39472338557243347,0.33693674206733704,0.38761502504348755,0.45803478360176086,0.2979188859462738,0.38761502504348755,0.2599244713783264,0.2551266849040985,0.25732165575027466
occurs,0.30771008133888245,0.23173922300338745,0.24937129020690918,0.13544052839279175,0.10285622626543045,0.27597111463546753,0.3398558497428894,0.2491692453622818,0.27967339754104614,0.24937129020690918,0.18880343437194824,0.2844054698944092,0.24937129020690918,0.2760990858078003,0.26945021748542786,0.15104985237121582
during,0.4838213622570038,0.1363508701324463,0.3869180977344513,0.3460271656513214,0.157346710562706,0.1607850193977356,0.2240111529827118,0.21076080203056335,0.19390994310379028,0.3869180977344513,0.24137552082538605,0.15725892782211304,0.3869180977344513,0.16422542929649353,0.23666803538799286,0.1325719803571701
the,1.0,0.2037137746810913,0.733189046382904,0.3086957037448883,0.1785092055797577,0.19095487892627716,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.2516445517539978,0.733189046382904,0.21364226937294006,0.28909924626350403,0.22068053483963013
