,what,did,luther,call,these,donations,?
christians,0.302469938993454,0.2556236684322357,0.30765244364738464,0.23201903700828552,0.2695702612400055,0.2728692591190338,0.20289786159992218
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.2670435905456543,0.37613096833229065,0.2618967294692993,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,0.2454872578382492,0.15517276525497437,0.2716899514198303,0.23186425864696503,0.2089974731206894
said,0.3951668441295624,0.5119821429252625,0.1821773499250412,0.27599048614501953,0.26304760575294495,0.18537786602973938,0.28991883993148804
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.2670435905456543,0.37613096833229065,0.2618967294692993,0.31091248989105225
must,0.30362528562545776,0.3169625401496887,0.12097238749265671,0.2283172458410263,0.32736992835998535,0.2167207896709442,0.23707495629787445
not,0.5449194312095642,0.6481515765190125,0.21636232733726501,0.3048311173915863,0.5041285753250122,0.28321170806884766,0.41942933201789856
slacken,0.2243746817111969,0.11289256066083908,0.2632130980491638,0.12843865156173706,0.10508745908737183,0.11978928744792938,0.1710984706878662
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,0.2520289719104767,0.3791837692260742,0.21859748661518097,0.20430970191955566
following,0.2506418824195862,0.28040066361427307,0.20622362196445465,0.12506364285945892,0.32609254121780396,0.20467394590377808,0.1555173695087433
christ,0.2615339457988739,0.17013269662857056,0.2758595049381256,0.155571848154068,0.17215555906295776,0.3015616238117218,0.13772203028202057
on,0.34226128458976746,0.2670976221561432,0.19090485572814941,0.14074347913265228,0.32800400257110596,0.26682910323143005,0.2714994251728058
account,0.27991923689842224,0.2239866405725479,0.10734085738658905,0.12615050375461578,0.2845437526702881,0.31736046075820923,0.34417325258255005
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2378445267677307,0.42684608697891235,0.2541070878505707,0.1826142966747284
such,0.23989605903625488,0.24497397243976593,0.09043191373348236,0.19021354615688324,0.5146667957305908,0.29346272349357605,0.17851735651493073
false,0.29977917671203613,0.18280620872974396,0.12126229703426361,0.21977151930332184,0.227770134806633,0.17335069179534912,0.2877490520477295
assurances,0.3427577614784241,0.30776432156562805,0.22648058831691742,0.23949867486953735,0.2996068000793457,0.43239742517471313,0.28763842582702637
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.2601918876171112,0.3840779960155487,0.2823376953601837,0.4130953550338745
