,what,class,of,t,cells,recognizes,intact,antigens,that,are,not,associated,with,mhc,receptors,?
a,0.3320399522781372,0.23462694883346558,0.5052502155303955,0.2456076741218567,0.2297232300043106,0.23465146124362946,0.22700487077236176,0.27554184198379517,0.47537946701049805,0.265255331993103,0.3791346549987793,0.22056666016578674,0.3783375024795532,0.3490493595600128,0.22610558569431305,0.23916715383529663
third,0.2033906877040863,0.16231708228588104,0.30602210760116577,0.18683362007141113,0.12057028710842133,0.14925964176654816,0.13332673907279968,0.12227979302406311,0.23549747467041016,0.15971572697162628,0.17987997829914093,0.11196182668209076,0.25535592436790466,0.1791553497314453,0.13033156096935272,0.15394791960716248
",",0.3087472915649414,0.1753857135772705,0.4946078956127167,0.31002363562583923,0.20582014322280884,0.2873069941997528,0.202401801943779,0.21942685544490814,0.4137537479400635,0.4062570035457611,0.3769696354866028,0.27184680104255676,0.4120737314224243,0.21124885976314545,0.157633438706398,0.31091248989105225
minor,0.1758119910955429,0.13768956065177917,0.2443368136882782,0.16182675957679749,0.10783369094133377,0.13907276093959808,0.19540056586265564,0.15071476995944977,0.2128409892320633,0.23401200771331787,0.22602005302906036,0.13259558379650116,0.2167980819940567,0.26953819394111633,0.14147262275218964,0.21100293099880219
subtype,0.19080528616905212,0.2968374192714691,0.19269469380378723,0.164826899766922,0.2418820708990097,0.18826979398727417,0.20813588798046112,0.2842765748500824,0.18585525453090668,0.1896611601114273,0.22960281372070312,0.23488670587539673,0.16141104698181152,0.3948040306568146,0.24723747372627258,0.17760170996189117
are,0.29724663496017456,0.1495869755744934,0.39081433415412903,0.2180873155593872,0.2908284366130829,0.24455863237380981,0.26374176144599915,0.3016895651817322,0.45265161991119385,1.0,0.46186959743499756,0.28055059909820557,0.38996943831443787,0.3820771276950836,0.34147852659225464,0.24591213464736938
the,0.42745697498321533,0.18034407496452332,0.733189046382904,0.2083338052034378,0.19095487892627716,0.34116318821907043,0.3529794216156006,0.2716159522533417,0.5473989248275757,0.40399202704429626,0.4310511648654938,0.2742886245250702,0.4223487675189972,0.32005053758621216,0.2622849941253662,0.22068053483963013
γδ,-0.08154492825269699,-0.006802783347666264,-0.10087195783853531,0.09449943900108337,-0.028628746047616005,-0.02037319913506508,-0.2189578115940094,-0.08496328443288803,-0.12340043485164642,-0.16269482672214508,-0.14072765409946442,-0.04635060951113701,0.004421582445502281,-0.14890162646770477,-0.10193116217851639,0.07116200774908066
t,0.37454068660736084,0.16995130479335785,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.10507666319608688,0.08242063969373703,0.25939205288887024,0.3801133632659912,0.2180873155593872,0.4579204320907593,0.09720255434513092,0.1978532373905182,0.2424878627061844,0.23740226030349731,0.4954066574573517
cells,0.1758001297712326,0.17829304933547974,0.21305565536022186,0.25527921319007874,1.0,0.14912673830986023,0.29652145504951477,0.5661771297454834,0.2709589898586273,0.2908284366130829,0.286389023065567,0.15195126831531525,0.2187740057706833,0.5492251515388489,0.5704531669616699,0.1898086667060852
