,what,was,norman,cantor,'s,theory,about,the,plague,?
twigg,0.20210035145282745,0.25360462069511414,0.13976413011550903,0.15102003514766693,0.015403024852275848,0.1882743388414383,0.16285917162895203,0.2632475197315216,0.11465906351804733,0.2193375676870346
suggested,0.30050885677337646,0.30712512135505676,0.11705833673477173,0.25856807827949524,-0.03879263624548912,0.3276820778846741,0.295116662979126,0.28443726897239685,0.12355919927358627,0.2549840807914734
that,0.6297725439071655,0.33670201897621155,0.14259429275989532,0.2765064835548401,0.04397977516055107,0.36183905601501465,0.4500710964202881,0.5473989248275757,0.23825600743293762,0.32716336846351624
the,0.42745697498321533,0.48711544275283813,0.23459704220294952,0.2872921824455261,-0.01540423184633255,0.2277156263589859,0.37995871901512146,1.0,0.2537761330604553,0.22068053483963013
cause,0.24883218109607697,0.1555917114019394,0.1376987099647522,0.11746370792388916,-0.04770376905798912,0.22133463621139526,0.2648109793663025,0.2551237642765045,0.39517930150032043,0.240532785654068
was,0.22111038863658905,1.0000001192092896,0.21643765270709991,0.26996946334838867,0.008974763564765453,0.18278326094150543,0.2577359974384308,0.48711544275283813,0.24312011897563934,0.18412111699581146
a,0.3320399522781372,0.4508470594882965,0.16633400321006775,0.28567370772361755,0.04866964742541313,0.2233850657939911,0.34171196818351746,0.5829201340675354,0.22077761590480804,0.23916715383529663
form,0.15868011116981506,0.15690121054649353,0.0536353625357151,0.18124429881572723,0.07059726119041443,0.25947028398513794,0.13729865849018097,0.29286009073257446,0.1401442289352417,0.1463010311126709
of,0.33290785551071167,0.4069072902202606,0.15827171504497528,0.25930967926979065,-0.03817026689648628,0.23506702482700348,0.40939709544181824,0.733189046382904,0.27455615997314453,0.1826142966747284
anthrax,0.16195808351039886,0.20570091903209686,0.11155437678098679,0.09978732466697693,-0.041365064680576324,0.128099262714386,0.21813102066516876,0.24893595278263092,0.4229944050312042,0.17561925947666168
",",0.3087472915649414,0.45456063747406006,0.20281735062599182,0.31798505783081055,-0.0016132977325469255,0.18095813691616058,0.3877100944519043,0.4933079481124878,0.2630122900009155,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.21611377596855164,0.2525353729724884,0.06895173341035843,0.1765792816877365,0.3875081241130829,0.5171257257461548,0.2229994833469391,0.20544172823429108
norman,0.12319435924291611,0.21643765270709991,1.0000001192092896,0.229426309466362,-0.10612574219703674,0.15136319398880005,0.13953733444213867,0.23459704220294952,0.24756769835948944,0.12243545055389404
