,in,what,interval,are,some,of,the,greatest,primes,without,a,distinct,form,discovered,in,?
some,0.4010399878025055,0.4491020441055298,0.2359711229801178,0.6331475377082825,0.9999999403953552,0.4300730526447296,0.4566698372364044,0.26609721779823303,0.22199895977973938,0.3382771611213684,0.34539633989334106,0.3729992210865021,0.33171209692955017,0.3082274794578552,0.4010399878025055,0.2562315762042999
of,0.5696388483047485,0.33290785551071167,0.2126392126083374,0.39081433415412903,0.4300730526447296,1.0,0.733189046382904,0.30395472049713135,0.22199293971061707,0.3081340193748474,0.5052502155303955,0.3053031265735626,0.29600051045417786,0.22074753046035767,0.5696388483047485,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.25265976786613464,0.40399202704429626,0.4566698372364044,0.733189046382904,1.0,0.2877289056777954,0.22359657287597656,0.3270869255065918,0.5829201340675354,0.28305986523628235,0.29286009073257446,0.27493247389793396,0.6662389636039734,0.22068053483963013
largest,0.3017216920852661,0.13463157415390015,0.10098250955343246,0.23992078006267548,0.22368356585502625,0.36650770902633667,0.3757036626338959,0.31581342220306396,0.1722402274608612,0.13831496238708496,0.24042341113090515,0.22606879472732544,0.21012957394123077,0.2780217230319977,0.3017216920852661,0.12401245534420013
primes,0.20882321894168854,0.2505246102809906,0.43778443336486816,0.2606703042984009,0.22199895977973938,0.22199293971061707,0.22359657287597656,0.23875346779823303,1.0,0.15932278335094452,0.21026647090911865,0.23697872459888458,0.2012440413236618,0.2640332877635956,0.20882321894168854,0.18851876258850098
not,0.3403114080429077,0.5449194312095642,0.252715140581131,0.46186959743499756,0.564181387424469,0.3307090103626251,0.4310511648654938,0.18979285657405853,0.2436080127954483,0.49322307109832764,0.3791346549987793,0.2416369915008545,0.298634797334671,0.22524185478687286,0.3403114080429077,0.41942933201789856
known,0.32641831040382385,0.20381177961826324,0.11872812360525131,0.26720109581947327,0.29982712864875793,0.35814476013183594,0.3624623417854309,0.2802499234676361,0.21901732683181763,0.12982162833213806,0.30882248282432556,0.2548924386501312,0.21961110830307007,0.32120445370674133,0.32641831040382385,0.18314571678638458
to,0.45010748505592346,0.455847829580307,0.2301582545042038,0.3504326641559601,0.4636894166469574,0.41548454761505127,0.535392165184021,0.1702185571193695,0.22901344299316406,0.37970873713493347,0.45503583550453186,0.20252932608127594,0.2772196829319,0.17764629423618317,0.45010748505592346,0.29463258385658264
have,0.36843645572662354,0.39808809757232666,0.25882115960121155,0.6577680706977844,0.6421269774436951,0.3802283704280853,0.40389683842658997,0.2049201875925064,0.23869918286800385,0.3828096389770508,0.338716596364975,0.4069804251194,0.3062373399734497,0.2744525372982025,0.36843645572662354,0.32991164922714233
any,0.3135753571987152,0.43670421838760376,0.2952058017253876,0.40178635716438293,0.4822671413421631,0.3769088089466095,0.4525727927684784,0.18794086575508118,0.23316331207752228,0.579731285572052,0.45031747221946716,0.33628785610198975,0.3003319799900055,0.1482885479927063,0.3135753571987152,0.4113408327102661
