,who,was,considered,to,be,the,first,choice,in,the,nfl,draft,of,1998,?
this,0.3345087468624115,0.3638818562030792,0.39504173398017883,0.5759071707725525,0.566177248954773,0.6274310946464539,0.41690850257873535,0.29758644104003906,0.45205554366111755,0.6274310946464539,0.14613954722881317,0.1990063190460205,0.45148900151252747,0.0371025875210762,0.3155723512172699
was,0.3318818509578705,1.0000001192092896,0.384328156709671,0.3636345863342285,0.42228707671165466,0.48711544275283813,0.5022147297859192,0.21082301437854767,0.45514053106307983,0.48711544275283813,0.20145657658576965,0.22196774184703827,0.4069072902202606,0.04920116811990738,0.18412111699581146
the,0.3733934462070465,0.48711544275283813,0.4028765559196472,0.535392165184021,0.4248143136501312,1.0,0.49448907375335693,0.2640603482723236,0.6662389636039734,1.0,0.15305201709270477,0.2136591076850891,0.733189046382904,-0.047468025237321854,0.22068053483963013
first,0.39065709710121155,0.5022147297859192,0.22218865156173706,0.3792489171028137,0.29818081855773926,0.49448907375335693,1.0,0.22086817026138306,0.4127444326877594,0.49448907375335693,0.15461091697216034,0.23240342736244202,0.3536086082458496,-0.025406846776604652,0.18701928853988647
super,0.1819351613521576,0.21420986950397491,0.17314717173576355,0.17783479392528534,0.1880253106355667,0.21959073841571808,0.2717077434062958,0.11377432942390442,0.18576006591320038,0.21959073841571808,0.319060355424881,0.22040808200836182,0.14718765020370483,-0.0920509621500969,0.166326642036438
bowl,0.09189514070749283,0.21915455162525177,0.19209298491477966,0.16993016004562378,0.18567830324172974,0.21576224267482758,0.20817767083644867,0.1668621152639389,0.17236235737800598,0.21576224267482758,0.48354101181030273,0.31806057691574097,0.2243070751428604,-0.01615655981004238,0.21118052303791046
to,0.42656609416007996,0.3636345863342285,0.2954166829586029,1.0,0.4972836375236511,0.535392165184021,0.3792489171028137,0.28106144070625305,0.45010748505592346,0.535392165184021,0.1526731252670288,0.20236501097679138,0.41548454761505127,0.025574080646038055,0.29463258385658264
feature,0.20225825905799866,0.2405846118927002,0.24302591383457184,0.25759002566337585,0.2583335041999817,0.3053930699825287,0.22024497389793396,0.2209651619195938,0.24296961724758148,0.3053930699825287,0.1654069423675537,0.22682666778564453,0.2117752879858017,-0.20535120368003845,0.2893312871456146
a,0.36608949303627014,0.4508470594882965,0.36109375953674316,0.45503583550453186,0.39883795380592346,0.5829201340675354,0.4287874400615692,0.2913992404937744,0.539380669593811,0.5829201340675354,0.1210956797003746,0.14911261200904846,0.5052502155303955,-0.06511568278074265,0.23916715383529663
quarterback,0.17410103976726532,0.24103644490242004,0.17837460339069366,0.17934949696063995,0.1293652206659317,0.23757418990135193,0.12965546548366547,0.1507570594549179,0.17283181846141815,0.23757418990135193,0.6395521759986877,0.4228385388851166,0.19996441900730133,-0.03638772293925285,0.13221268355846405
on,0.2340552806854248,0.3909217119216919,0.24379022419452667,0.41031414270401,0.37900757789611816,0.5107308030128479,0.3120559751987457,0.2439001500606537,0.46853652596473694,0.5107308030128479,0.18523651361465454,0.25404369831085205,0.3966929316520691,-0.03349076956510544,0.2714994251728058
both,0.31663915514945984,0.2990766167640686,0.349530428647995,0.3897709250450134,0.37506237626075745,0.4931981563568115,0.349989116191864,0.30376726388931274,0.3960166871547699,0.4931981563568115,0.09386241436004639,0.1261013299226761,0.3565710783004761,-0.08914685994386673,0.19455738365650177
teams,0.23560982942581177,0.1698075383901596,0.13680993020534515,0.2634691894054413,0.1631777137517929,0.3164927661418915,0.2436947077512741,0.17353641986846924,0.2639528214931488,0.3164927661418915,0.35639065504074097,0.2940007448196411,0.27933305501937866,-0.02336622029542923,0.11150168627500534
who,0.9999998807907104,0.3318818509578705,0.2708154320716858,0.42656609416007996,0.3371641933917999,0.3733934462070465,0.39065709710121155,0.298758864402771,0.2792111933231354,0.3733934462070465,0.13425186276435852,0.2113700658082962,0.2827862501144409,0.10716468840837479,0.26220351457595825
was,0.3318818509578705,1.0000001192092896,0.384328156709671,0.3636345863342285,0.42228707671165466,0.48711544275283813,0.5022147297859192,0.21082301437854767,0.45514053106307983,0.48711544275283813,0.20145657658576965,0.22196774184703827,0.4069072902202606,0.04920116811990738,0.18412111699581146
the,0.3733934462070465,0.48711544275283813,0.4028765559196472,0.535392165184021,0.4248143136501312,1.0,0.49448907375335693,0.2640603482723236,0.6662389636039734,1.0,0.15305201709270477,0.2136591076850891,0.733189046382904,-0.047468025237321854,0.22068053483963013
#,0.17528092861175537,0.15975844860076904,0.1440100073814392,0.14485138654708862,0.13093549013137817,0.24127686023712158,0.14546403288841248,0.17297479510307312,0.15086837112903595,0.24127686023712158,0.10203789919614792,0.1326262205839157,0.21342608332633972,0.008513616397976875,0.23921507596969604
