,what,did,tesla,do,at,his,old,school,in,1879,?
during,0.24137552082538605,0.30679523944854736,0.08954931050539017,0.1831897497177124,0.372769296169281,0.36789870262145996,0.19289104640483856,0.16465038061141968,0.4627237319946289,-0.07532811909914017,0.1325719803571701
that,0.6297725439071655,0.47518548369407654,0.22102725505828857,0.44533252716064453,0.3183255195617676,0.3173833191394806,0.2827931344509125,0.2190830111503601,0.435920387506485,-0.0923895612359047,0.32716336846351624
year,0.15184831619262695,0.21422851085662842,0.1455472707748413,0.17168156802654266,0.3146436810493469,0.255428284406662,0.3157127797603607,0.2321801781654358,0.3359307050704956,0.03285575285553932,0.18315006792545319
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.3283645510673523,0.38314947485923767,0.3378419280052185,0.26524028182029724,0.27141863107681274,0.5201468467712402,0.027387188747525215,0.31091248989105225
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.13880622386932373,0.16552478075027466,0.1580733060836792,0.13497856259346008,0.16295383870601654,0.17097744345664978,-0.045758847147226334,0.10250775516033173
taught,0.25590506196022034,0.3282313942909241,0.1628430336713791,0.25799813866615295,0.28387054800987244,0.3619268238544464,0.2481236457824707,0.48740890622138977,0.24230356514453888,-0.04587586596608162,0.18297621607780457
a,0.3320399522781372,0.2552328109741211,0.2211925983428955,0.26237669587135315,0.3095070421695709,0.3497250974178314,0.2846200466156006,0.2245093584060669,0.539380669593811,0.007828829810023308,0.23916715383529663
large,0.2017821967601776,0.2084006518125534,0.11560440808534622,0.22322134673595428,0.2131899744272232,0.19107265770435333,0.19525392353534698,0.11137738078832626,0.2841601073741913,-0.13442160189151764,0.1355665624141693
class,0.16880196332931519,0.14515089988708496,0.1565065234899521,0.15967817604541779,0.14940649271011353,0.11447536945343018,0.1541132777929306,0.24335022270679474,0.1761927455663681,0.012259847484529018,0.12778934836387634
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,0.26150479912757874,0.42558613419532776,0.38364991545677185,0.30522194504737854,0.2391800880432129,0.5696388483047485,-0.045452363789081573,0.1826142966747284
students,0.2380729615688324,0.1996062994003296,0.21068733930587769,0.23736460506916046,0.26965975761413574,0.23365305364131927,0.18753564357757568,0.6345757842063904,0.2676171064376831,-0.03178384155035019,0.18017297983169556
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.23402775824069977,0.4374977946281433,0.3598145842552185,0.2865324318408966,0.26157811284065247,1.0,0.031225789338350296,0.20430970191955566
his,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.15088757872581482,0.27659502625465393,0.9999998807907104,0.2539081573486328,0.25444892048835754,0.3598145842552185,-0.0024377882946282625,0.18075084686279297
old,0.22117848694324493,0.19123899936676025,0.13497856259346008,0.1431131362915039,0.17987459897994995,0.2539081573486328,1.0000001192092896,0.25790736079216003,0.2865324318408966,-0.004811483435332775,0.20577076077461243
school,0.18774057924747467,0.19696208834648132,0.16295383870601654,0.13649480044841766,0.3177914023399353,0.25444892048835754,0.25790736079216003,1.0,0.26157811284065247,-0.01024723332375288,0.15091250836849213
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.3283645510673523,0.38314947485923767,0.3378419280052185,0.26524028182029724,0.27141863107681274,0.5201468467712402,0.027387188747525215,0.31091248989105225
higher,0.2538340389728546,0.17969463765621185,0.17543520033359528,0.25567880272865295,0.2542303204536438,0.15432403981685638,0.08691417425870895,0.24293676018714905,0.23285751044750214,-0.18464353680610657,0.15679465234279633
real,0.27036693692207336,0.20014923810958862,0.23097385466098785,0.24089454114437103,0.11435713618993759,0.18336854875087738,0.167528435587883,0.1355140507221222,0.1725122183561325,0.044882189482450485,0.20019613206386566
gymnasium,0.12185495346784592,0.2214101403951645,0.2515797019004822,0.18792439997196198,0.31831663846969604,0.20376095175743103,0.21460963785648346,0.42825162410736084,0.23880107700824738,-0.09848977625370026,0.08908994495868683
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.3283645510673523,0.38314947485923767,0.3378419280052185,0.26524028182029724,0.27141863107681274,0.5201468467712402,0.027387188747525215,0.31091248989105225
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.23402775824069977,0.4374977946281433,0.3598145842552185,0.2865324318408966,0.26157811284065247,1.0,0.031225789338350296,0.20430970191955566
gospić,0.25793588161468506,0.174786776304245,0.28443384170532227,0.1984695941209793,0.23703451454639435,0.26698461174964905,0.18628771603107452,0.22450783848762512,0.2824176847934723,0.06955519318580627,0.15864557027816772
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.3613996207714081,0.4549728035926819,0.3119256794452667,0.32390445470809937,0.24214158952236176,0.5591574311256409,0.062138766050338745,0.4130953550338745
