,what,was,the,focus,of,luther,'s,last,sermon,?
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.24164865911006927,0.38761502504348755,0.15365919470787048,0.06608816236257553,0.23236626386642456,0.29078882932662964,0.25732165575027466
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.18024994432926178,0.4069072902202606,0.19185513257980347,0.008974763564765453,0.32424551248550415,0.20237168669700623,0.18412111699581146
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,-0.11532998085021973,0.06780257821083069,-0.013964727520942688,-0.03416389226913452,0.05021507292985916,0.05578693002462387,0.0685480609536171
entirely,0.38249561190605164,0.2490214705467224,0.33318132162094116,0.26073265075683594,0.2849496901035309,0.13761961460113525,0.08845775574445724,0.21063682436943054,0.17795151472091675,0.19651781022548676
devoted,0.18600232899188995,0.24734392762184143,0.19689401984214783,0.3464857339859009,0.2848767340183258,0.12012308090925217,0.08361350744962692,0.17482706904411316,0.2508563697338104,0.15015941858291626
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.33288413286209106,0.41548454761505127,0.18029534816741943,0.03782717138528824,0.30156898498535156,0.2613533139228821,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.25318023562431335,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.3698786795139313,0.2812419533729553,0.22068053483963013
obdurate,0.30460047721862793,0.2008073776960373,0.22229711711406708,0.2530971169471741,0.23371891677379608,0.1511557251214981,0.059117063879966736,0.22107376158237457,0.1583942323923111,0.29733914136886597
jews,0.22131574153900146,0.1935933530330658,0.24901628494262695,0.15139836072921753,0.2207300066947937,0.24326977133750916,0.017030835151672363,0.18272793292999268,0.3548089861869812,0.16730794310569763
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23845507204532623,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.29026782512664795,0.25290775299072266,0.31091248989105225
whom,0.27163395285606384,0.2438793033361435,0.23752936720848083,0.12561780214309692,0.2070929855108261,0.11776672303676605,0.006846526637673378,0.2707546055316925,0.22131973505020142,0.222135990858078
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.24164865911006927,0.38761502504348755,0.15365919470787048,0.06608816236257553,0.23236626386642456,0.29078882932662964,0.25732165575027466
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.18024994432926178,0.4069072902202606,0.19185513257980347,0.008974763564765453,0.32424551248550415,0.20237168669700623,0.18412111699581146
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2499895542860031,0.5052502155303955,0.17967689037322998,0.04866964742541313,0.2864423990249634,0.19296108186244965,0.23916715383529663
matter,0.41697224974632263,0.18972504138946533,0.2957161068916321,0.2757728695869446,0.2804143726825714,0.197893425822258,0.039716437458992004,0.17078238725662231,0.20582358539104462,0.269619345664978
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2428540587425232,1.0,0.1719115972518921,-0.03817026689648628,0.3052992522716522,0.23472066223621368,0.1826142966747284
great,0.2562883198261261,0.19652196764945984,0.2822027802467346,0.17730797827243805,0.3168134391307831,0.09640801697969437,-0.014279589988291264,0.23180772364139557,0.1572595089673996,0.13135133683681488
