,what,is,the,use,of,the,law,by,the,holy,spirit,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2715643048286438,0.5696388483047485,0.6662389636039734,0.24850773811340332,0.370934396982193,0.6662389636039734,0.2163282334804535,0.18238019943237305,0.20430970191955566
his,0.26976513862609863,0.24372583627700806,0.4394008219242096,0.19605936110019684,0.38364991545677185,0.4394008219242096,0.2218998819589615,0.3107621967792511,0.4394008219242096,0.1879551112651825,0.2055007517337799,0.18075084686279297
theses,0.22175903618335724,0.13883076608181,0.32067108154296875,0.23232631385326385,0.27413663268089294,0.32067108154296875,0.19875752925872803,0.22633647918701172,0.32067108154296875,0.2670607268810272,0.23126420378684998,0.19188037514686584
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.34145063161849976,0.5116966962814331,0.5171257257461548,0.254730761051178,0.4289871156215668,0.5171257257461548,0.1533736139535904,0.17865221202373505,0.20544172823429108
disputations,0.3736441135406494,0.19872745871543884,0.27349793910980225,0.3051183223724365,0.2819695472717285,0.27349793910980225,0.3164108693599701,0.24511806666851044,0.27349793910980225,0.1785885989665985,0.18607769906520844,0.2715328633785248
against,0.24561616778373718,0.1754940152168274,0.3090755045413971,0.18940001726150513,0.2669808566570282,0.3090755045413971,0.24199452996253967,0.24816733598709106,0.3090755045413971,0.18544071912765503,0.175238236784935,0.18095137178897858
the,0.42745697498321533,0.5823672413825989,1.0,0.34342584013938904,0.733189046382904,1.0,0.24548950791358948,0.4408751428127289,1.0,0.2778179347515106,0.24389684200286865,0.22068053483963013
antinomians,0.18999916315078735,0.21167539060115814,0.23537124693393707,0.1620083898305893,0.23082706332206726,0.23537124693393707,0.21262961626052856,0.2367018312215805,0.23537124693393707,0.23866835236549377,0.21018767356872559,0.1959799826145172
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3276674151420593,0.4946078956127167,0.4933079481124878,0.24953721463680267,0.3680937886238098,0.4933079481124878,0.2074567973613739,0.19358892738819122,0.31091248989105225
luther,0.2134782373905182,0.08282390236854553,0.1759674996137619,0.10849796235561371,0.1719115972518921,0.1759674996137619,0.21635621786117554,0.15382802486419678,0.1759674996137619,0.21725739538669586,0.2489360272884369,0.1732746809720993
