,who,was,the,original,pilot,for,the,first,apollo,mission,?
deke,0.35994869470596313,0.3535246253013611,0.13268060982227325,0.1510922759771347,0.2775349020957947,0.18461114168167114,0.13268060982227325,0.3211051821708679,0.2923809885978699,0.2175183892250061,0.2791919708251953
slayton,0.2981281578540802,0.23155543208122253,0.1978636533021927,0.16393227875232697,0.2689560353755951,0.22460408508777618,0.1978636533021927,0.23163387179374695,0.2738702595233917,0.16500860452651978,0.22689397633075714
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.23508994281291962,0.2157025933265686,0.4464869201183319,0.4933079481124878,0.34503069519996643,0.19808128476142883,0.21226151287555695,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,1.0,0.4037000238895416,0.17881006002426147,0.4739971458911896,1.0,0.49448907375335693,0.2169172167778015,0.22673439979553223,0.22068053483963013
grounded,0.21037305891513824,0.25833824276924133,0.2820974290370941,0.2124827355146408,0.22635909914970398,0.21880434453487396,0.2820974290370941,0.16590192914009094,0.16952994465827942,0.13712061941623688,0.11795409768819809
mercury,0.14388059079647064,0.2121867835521698,0.2059478461742401,0.17480410635471344,0.12749610841274261,0.21691371500492096,0.2059478461742401,0.13525766134262085,0.41751042008399963,0.21709232032299042,0.10977116972208023
astronaut,0.1991472989320755,0.22711342573165894,0.12738145887851715,0.10473404079675674,0.489214152097702,0.14096856117248535,0.12738145887851715,0.21120066940784454,0.5247572660446167,0.3655754029750824,0.13949722051620483
who,0.9999998807907104,0.3318818509578705,0.3733934462070465,0.1785319596529007,0.19510570168495178,0.37110671401023865,0.3733934462070465,0.39065709710121155,0.19149452447891235,0.23207825422286987,0.26220351457595825
became,0.2624726891517639,0.6575068235397339,0.36325156688690186,0.1447402834892273,0.0903719812631607,0.3017078936100006,0.36325156688690186,0.37862223386764526,0.12017035484313965,0.12754744291305542,0.11374033987522125
director,0.19509299099445343,0.30621418356895447,0.19949141144752502,0.22898681461811066,0.24998357892036438,0.2707504630088806,0.19949141144752502,0.19072428345680237,0.19275495409965515,0.1315430998802185,0.09360282123088837
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.30228546261787415,0.11964807659387589,0.4185989499092102,0.733189046382904,0.3536086082458496,0.1786269098520279,0.20170781016349792,0.1826142966747284
flight,0.07788171619176865,0.19139665365219116,0.2498224973678589,0.041372768580913544,0.49835363030433655,0.13066017627716064,0.2498224973678589,0.23871742188930511,0.31322264671325684,0.3072848320007324,0.20568472146987915
crew,0.28323259949684143,0.20329242944717407,0.25329816341400146,0.20720642805099487,0.43303799629211426,0.22704027593135834,0.25329816341400146,0.22136586904525757,0.36530131101608276,0.30851319432258606,0.16586194932460785
operations,0.18454647064208984,0.17603980004787445,0.2928410470485687,0.09305532276630402,0.2617502510547638,0.27237167954444885,0.2928410470485687,0.21178287267684937,0.131212055683136,0.33509328961372375,0.13622350990772247
for,0.37110671401023865,0.3863949179649353,0.4739971458911896,0.2975997030735016,0.14753924310207367,0.9999999403953552,0.4739971458911896,0.3800288736820221,0.18462510406970978,0.18326549232006073,0.264628142118454
the,0.3733934462070465,0.48711544275283813,1.0,0.4037000238895416,0.17881006002426147,0.4739971458911896,1.0,0.49448907375335693,0.2169172167778015,0.22673439979553223,0.22068053483963013
