,on,what,date,was,oxygen,liquefied,in,a,stable,form,?
oxygen,0.2008662223815918,0.16781960427761078,0.10142799466848373,0.16070082783699036,0.9999999403953552,0.4256969690322876,0.1672476977109909,0.21662019193172455,0.3238666355609894,0.22106200456619263,0.16786395013332367
was,0.3909217119216919,0.22111038863658905,0.23531168699264526,1.0000001192092896,0.16070082783699036,0.21717335283756256,0.45514053106307983,0.4508470594882965,0.17652463912963867,0.15690121054649353,0.18412111699581146
liquified,0.21451455354690552,0.24142412841320038,0.17090944945812225,0.20893512666225433,0.4221895933151245,0.8556722402572632,0.25934240221977234,0.27169308066368103,0.3186686336994171,0.30815190076828003,0.22250576317310333
in,0.46853652596473694,0.30808621644973755,0.21362407505512238,0.45514053106307983,0.1672476977109909,0.23523342609405518,1.0,0.539380669593811,0.21050356328487396,0.2815987169742584,0.20430970191955566
stable,0.17304112017154694,0.19113974273204803,0.20540094375610352,0.17652463912963867,0.3238666355609894,0.31780970096588135,0.21050356328487396,0.280546098947525,1.0000001192092896,0.20994602143764496,0.11452282965183258
state,0.18138433992862701,0.24273863434791565,0.1798696517944336,0.22072885930538177,0.16012795269489288,0.17244258522987366,0.33316072821617126,0.25097307562828064,0.2348635494709015,0.18559840321540833,0.1160883978009224
for,0.36199691891670227,0.3017193675041199,0.1509818285703659,0.3863949179649353,0.22718772292137146,0.21724432706832886,0.4322226941585541,0.44038116931915283,0.20414038002490997,0.2342945635318756,0.264628142118454
the,0.5107308030128479,0.42745697498321533,0.25333094596862793,0.48711544275283813,0.20428593456745148,0.2714126408100128,0.6662389636039734,0.5829201340675354,0.19243422150611877,0.29286009073257446,0.22068053483963013
first,0.3120559751987457,0.28086137771606445,0.2779913544654846,0.5022147297859192,0.17370176315307617,0.19202426075935364,0.4127444326877594,0.4287874400615692,0.14395439624786377,0.1870718151330948,0.18701928853988647
time,0.30044233798980713,0.36319252848625183,0.30058029294013977,0.3641340136528015,0.21868428587913513,0.17482629418373108,0.3431483507156372,0.3292340338230133,0.262267529964447,0.21310770511627197,0.27391523122787476
on,0.9999999403953552,0.34226128458976746,0.21806180477142334,0.3909217119216919,0.2008662223815918,0.1596214920282364,0.46853652596473694,0.3848365545272827,0.17304112017154694,0.1214052140712738,0.2714994251728058
march,0.33868420124053955,0.20529508590698242,0.2373810112476349,0.4297752380371094,0.10173060745000839,0.12278100848197937,0.29730337858200073,0.23374363780021667,0.08205709606409073,0.07473864406347275,0.2802562415599823
29,0.29165905714035034,0.3355891704559326,0.22420290112495422,0.2935448884963989,0.38579052686691284,0.41030532121658325,0.32363882660865784,0.37316980957984924,0.27288541197776794,0.2603274881839752,0.38368016481399536
",",0.49057599902153015,0.3087472915649414,0.2279704213142395,0.45456063747406006,0.21812842786312103,0.2826942503452301,0.5201468467712402,0.427140474319458,0.20380382239818573,0.21805599331855774,0.31091248989105225
1883,-0.01779964566230774,0.0958414077758789,-0.03308509290218353,-0.08600115031003952,0.02497691847383976,0.029381923377513885,-0.03407375514507294,-0.07340094447135925,-0.0796603411436081,0.0477260984480381,0.05876028537750244
by,0.33887791633605957,0.2455483376979828,0.1930214762687683,0.4752357602119446,0.1292176991701126,0.266605019569397,0.370934396982193,0.32094135880470276,0.15101240575313568,0.20338405668735504,0.17966607213020325
polish,0.1288478970527649,0.08233486860990524,0.127511665225029,0.2319551259279251,0.12131599336862564,0.20128269493579865,0.1896398365497589,0.20954546332359314,0.06765100359916687,0.14870114624500275,0.14012759923934937
scientists,0.15907135605812073,0.30003565549850464,0.10725679248571396,0.21144776046276093,0.21518544852733612,0.27587687969207764,0.1995355486869812,0.21906225383281708,0.19515566527843475,0.1427144557237625,0.16597221791744232
from,0.36926645040512085,0.2737620174884796,0.20628158748149872,0.31171464920043945,0.23457925021648407,0.30481594800949097,0.4274188280105591,0.322764128446579,0.15567588806152344,0.2607075572013855,0.19969791173934937
jagiellonian,0.12979891896247864,0.12041642516851425,0.2029026746749878,0.2959398627281189,0.1555185317993164,0.23274928331375122,0.25571370124816895,0.17666678130626678,0.16046735644340515,0.16498318314552307,0.15986047685146332
university,0.18291500210762024,0.20256435871124268,0.10116828233003616,0.290752112865448,0.1109934076666832,0.16493630409240723,0.3201795518398285,0.20256656408309937,0.07037758827209473,0.13705310225486755,0.11887256056070328
",",0.49057599902153015,0.3087472915649414,0.2279704213142395,0.45456063747406006,0.21812842786312103,0.2826942503452301,0.5201468467712402,0.427140474319458,0.20380382239818573,0.21805599331855774,0.31091248989105225
zygmunt,0.08881599456071854,0.13622115552425385,0.17863553762435913,0.24511417746543884,0.22694630920886993,0.21890398859977722,0.1851794570684433,0.20895801484584808,0.08042164891958237,0.13196413218975067,0.2071809619665146
wróblewski,0.19298087060451508,0.18559296429157257,0.12997017800807953,0.32990142703056335,0.1814504712820053,0.16422778367996216,0.24746304750442505,0.2550419270992279,0.12518276274204254,0.16887757182121277,0.22958162426948547
and,0.4077630043029785,0.31309178471565247,0.21585220098495483,0.3740963041782379,0.22261030972003937,0.32646146416664124,0.4954058527946472,0.3739250600337982,0.24914555251598358,0.30469027161598206,0.20544172823429108
karol,0.14927305281162262,0.14903488755226135,0.1500886082649231,0.22758467495441437,0.20685599744319916,0.08889681845903397,0.2106286883354187,0.1717231124639511,0.020736416801810265,0.10690785199403763,0.1952419877052307
olszewski,0.1937885731458664,0.14809550344944,0.13627083599567413,0.3241414427757263,0.21016038954257965,0.15019546449184418,0.2759023904800415,0.24000167846679688,0.11716680973768234,0.14670118689537048,0.21397225558757782
.,0.49257001280784607,0.3567904531955719,0.2508279085159302,0.40146201848983765,0.2554275095462799,0.300486296415329,0.5591574311256409,0.50484299659729,0.2419736087322235,0.28317511081695557,0.4130953550338745
