,there,have,been,major,changes,in,amazon,rainforest,vegetation,over,the,last,how,many,years,?
there,1.0,0.5194604992866516,0.3571467399597168,0.27976733446121216,0.29899370670318604,0.5361666083335876,0.1301986575126648,0.2756383419036865,0.2559188902378082,0.33811676502227783,0.47025805711746216,0.26109418272972107,0.3328511416912079,0.4993700683116913,0.26500028371810913,0.29405656456947327
is,0.3904260993003845,0.3613572418689728,0.39566612243652344,0.19079607725143433,0.23356598615646362,0.5394441485404968,0.15197539329528809,0.2674187123775482,0.2515494227409363,0.2159561663866043,0.5823672413825989,0.2445172220468521,0.22544461488723755,0.2649032473564148,0.19551363587379456,0.22961433231830597
evidence,0.3399463891983032,0.39647525548934937,0.3392423391342163,0.14487262070178986,0.2230389267206192,0.16157563030719757,0.13041843473911285,0.20854552090168,0.26048925518989563,0.21924971044063568,0.25031140446662903,0.11828762292861938,0.283417671918869,0.23313815891742706,0.2598377764225006,0.24151235818862915
that,0.6006520986557007,0.6182622313499451,0.4152003228664398,0.2570328712463379,0.33237403631210327,0.435920387506485,0.2228476107120514,0.22076080739498138,0.2737760543823242,0.3882925808429718,0.5473989248275757,0.31652477383613586,0.557814359664917,0.5391656160354614,0.27599525451660156,0.32716336846351624
there,1.0,0.5194604992866516,0.3571467399597168,0.27976733446121216,0.29899370670318604,0.5361666083335876,0.1301986575126648,0.2756383419036865,0.2559188902378082,0.33811676502227783,0.47025805711746216,0.26109418272972107,0.3328511416912079,0.4993700683116913,0.26500028371810913,0.29405656456947327
have,0.5194604992866516,0.9999999403953552,0.6493861675262451,0.2512233257293701,0.3310432434082031,0.36843645572662354,0.20372521877288818,0.29352760314941406,0.2405860424041748,0.41283175349235535,0.40389683842658997,0.27193668484687805,0.4370637536048889,0.5841760635375977,0.31441381573677063,0.32991164922714233
been,0.3571467399597168,0.6493861675262451,0.9999998807907104,0.20505735278129578,0.24329601228237152,0.3515113592147827,0.13283225893974304,0.21264642477035522,0.1956852227449417,0.36951375007629395,0.3563927710056305,0.27087530493736267,0.26456597447395325,0.4963826537132263,0.36026424169540405,0.24354910850524902
significant,0.4034317135810852,0.37663447856903076,0.3032841980457306,0.40779241919517517,0.24851495027542114,0.3551969528198242,0.14502522349357605,0.2132212370634079,0.2795872092247009,0.2971431314945221,0.35524800419807434,0.23525743186473846,0.23918341100215912,0.33634334802627563,0.2004622519016266,0.18679562211036682
changes,0.29899370670318604,0.3310432434082031,0.24329601228237152,0.16707319021224976,1.0,0.226434126496315,0.06073456630110741,0.15893276035785675,0.21773624420166016,0.22793781757354736,0.3427845537662506,0.24621577560901642,0.3518966734409332,0.257354199886322,0.20688244700431824,0.21264225244522095
in,0.5361666083335876,0.36843645572662354,0.3515113592147827,0.3249945342540741,0.226434126496315,1.0,0.12227833271026611,0.2207682877779007,0.25661489367485046,0.3605569899082184,0.6662389636039734,0.30714505910873413,0.2601168751716614,0.41474202275276184,0.33554986119270325,0.20430970191955566
amazon,0.1301986575126648,0.20372521877288818,0.13283225893974304,0.09492386877536774,0.06073456630110741,0.12227833271026611,1.0000001192092896,0.48046615719795227,0.36174994707107544,0.18121705949306488,0.260541707277298,0.08966679126024246,0.16216763854026794,0.22591036558151245,0.035328641533851624,0.18144656717777252
rainforest,0.2756383419036865,0.29352760314941406,0.21264642477035522,0.15477773547172546,0.15893276035785675,0.2207682877779007,0.48046615719795227,1.0,0.6021780967712402,0.216535285115242,0.2571161389350891,0.16684876382350922,0.15943723917007446,0.30444011092185974,0.1693250834941864,0.1917492002248764
vegetation,0.2559188902378082,0.2405860424041748,0.1956852227449417,0.1461857408285141,0.21773624420166016,0.25661489367485046,0.36174994707107544,0.6021780967712402,1.0000001192092896,0.24251005053520203,0.27478766441345215,0.12489082664251328,0.145944282412529,0.2637569010257721,0.18434004485607147,0.10736152529716492
over,0.33811676502227783,0.41283175349235535,0.36951375007629395,0.20897988975048065,0.22793781757354736,0.3605569899082184,0.18121705949306488,0.216535285115242,0.24251005053520203,1.0,0.39856547117233276,0.29127854108810425,0.31446483731269836,0.47131630778312683,0.3751278817653656,0.25742942094802856
the,0.47025805711746216,0.40389683842658997,0.3563927710056305,0.31775903701782227,0.3427845537662506,0.6662389636039734,0.260541707277298,0.2571161389350891,0.27478766441345215,0.39856547117233276,1.0,0.3698786795139313,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.22068053483963013
last,0.26109418272972107,0.27193668484687805,0.27087530493736267,0.229953333735466,0.24621577560901642,0.30714505910873413,0.08966679126024246,0.16684876382350922,0.12489082664251328,0.29127854108810425,0.3698786795139313,1.0,0.24577783048152924,0.21182136237621307,0.36042001843452454,0.22371746599674225
"21,000",-0.022508343681693077,-0.12546630203723907,-0.025159155949950218,0.07223629206418991,-0.010530734434723854,0.03179510682821274,-0.008008302189409733,0.0220927931368351,-0.051906097680330276,-0.03291678428649902,0.020039213821291924,0.0622069276869297,-0.10990013927221298,0.015519221313297749,-0.0030636026058346033,-0.030267925933003426
years,0.26500028371810913,0.31441381573677063,0.36026424169540405,0.18502649664878845,0.20688244700431824,0.33554986119270325,0.035328641533851624,0.1693250834941864,0.18434004485607147,0.3751278817653656,0.2912273406982422,0.36042001843452454,0.21949264407157898,0.2731519937515259,1.0,0.1914375126361847
through,0.2865815758705139,0.2991202771663666,0.25531598925590515,0.24177740514278412,0.2564226984977722,0.38533157110214233,0.22234702110290527,0.21453380584716797,0.24040207266807556,0.38297292590141296,0.44071322679519653,0.22064410150051117,0.2704794108867645,0.28384116291999817,0.22591422498226166,0.16913433372974396
the,0.47025805711746216,0.40389683842658997,0.3563927710056305,0.31775903701782227,0.3427845537662506,0.6662389636039734,0.260541707277298,0.2571161389350891,0.27478766441345215,0.39856547117233276,1.0,0.3698786795139313,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.22068053483963013
last,0.26109418272972107,0.27193668484687805,0.27087530493736267,0.229953333735466,0.24621577560901642,0.30714505910873413,0.08966679126024246,0.16684876382350922,0.12489082664251328,0.29127854108810425,0.3698786795139313,1.0,0.24577783048152924,0.21182136237621307,0.36042001843452454,0.22371746599674225
glacial,0.21276159584522247,0.18363513052463531,0.17034666240215302,0.16726480424404144,0.23959225416183472,0.2094380259513855,0.1315527856349945,0.34196141362190247,0.3893263041973114,0.2117014080286026,0.23225238919258118,0.24258992075920105,0.10841327905654907,0.209416002035141,0.2534334659576416,0.09140896797180176
