,in,what,part,of,the,united,states,did,many,students,migrate,to,christian,academies,during,the,desegregation,period,?
in,1.0,0.30808621644973755,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.2593238651752472,0.41474202275276184,0.2676171064376831,0.2098366916179657,0.45010748505592346,0.17218929529190063,0.2481706738471985,0.4627237319946289,0.6662389636039734,0.2808973491191864,0.23051127791404724,0.20430970191955566
much,0.2725222110748291,0.45316147804260254,0.3357490599155426,0.2671096920967102,0.35023224353790283,0.19398000836372375,0.21213924884796143,0.37947356700897217,0.4752063453197479,0.18897780776023865,0.2692681550979614,0.40610215067863464,0.10697164386510849,0.1868877410888672,0.2644806206226349,0.35023224353790283,0.19388437271118164,0.2466428130865097,0.23442231118679047
of,0.5696388483047485,0.33290785551071167,0.452393114566803,1.0,0.733189046382904,0.3187655806541443,0.30884552001953125,0.2513895630836487,0.37253960967063904,0.25513339042663574,0.18236465752124786,0.41548454761505127,0.23494116961956024,0.27202022075653076,0.3869180977344513,0.733189046382904,0.26084643602371216,0.2698146104812622,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.34367692470550537,0.3463578522205353,0.34736719727516174,0.4335206151008606,0.25268980860710144,0.23256927728652954,0.535392165184021,0.19930796325206757,0.25615057349205017,0.4838213622570038,1.0,0.2901201546192169,0.3125074505805969,0.22068053483963013
u.s.,-0.003064807504415512,0.11178889125585556,0.021072207018733025,0.011562774889171124,0.06592652946710587,-0.016844162717461586,-0.013163301162421703,0.11472565680742264,-0.030697613954544067,0.04360873997211456,-0.042711541056632996,0.09732837975025177,0.06709101796150208,0.008185730315744877,0.027661997824907303,0.06592652946710587,-0.03336251527070999,-0.09314972907304764,0.07886100560426712
south,0.33642083406448364,0.15388517081737518,0.33797645568847656,0.33382371068000793,0.3129390776157379,0.34461843967437744,0.30704712867736816,0.1510593444108963,0.2319321483373642,0.23090268671512604,0.2353132963180542,0.25657615065574646,0.16166453063488007,0.24266433715820312,0.24564063549041748,0.3129390776157379,0.24115855991840363,0.1489134281873703,0.12336621433496475
",",0.5201468467712402,0.3087472915649414,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.3015086054801941,0.40610817074775696,0.26501646637916565,0.21026313304901123,0.44245919585227966,0.23595517873764038,0.28677549958229065,0.3225448727607727,0.4933079481124878,0.2785925567150116,0.25030651688575745,0.31091248989105225
many,0.41474202275276184,0.36131182312965393,0.2827394902706146,0.37253960967063904,0.4335206151008606,0.2670816481113434,0.29976361989974976,0.375588983297348,0.9999999403953552,0.2713872492313385,0.260517954826355,0.40243685245513916,0.17312119901180267,0.2804204225540161,0.3661181330680847,0.4335206151008606,0.31931817531585693,0.23770453035831451,0.2124512493610382
white,0.1821274310350418,0.1410645991563797,0.12040002644062042,0.23826628923416138,0.25492873787879944,0.2279466986656189,0.2219121754169464,0.1683805286884308,0.18459662795066833,0.15040223300457,0.1711578667163849,0.23700939118862152,0.11847643554210663,0.0693575069308281,0.1700809746980667,0.25492873787879944,0.310563325881958,0.07377351820468903,0.124679796397686
students,0.2676171064376831,0.2380729615688324,0.2078409045934677,0.25513339042663574,0.25268980860710144,0.2107360064983368,0.21916930377483368,0.1996062994003296,0.2713872492313385,1.0,0.22690437734127045,0.2905822694301605,0.2519765794277191,0.5133576989173889,0.1957223117351532,0.25268980860710144,0.330325722694397,0.14483660459518433,0.18017297983169556
