,what,is,considered,the,mother,church,of,american,methodism,?
the,0.42745697498321533,0.5823672413825989,0.4028765559196472,1.0,0.22516992688179016,0.23846197128295898,0.733189046382904,0.24562937021255493,0.1990700513124466,0.22068053483963013
conference,0.15329721570014954,0.13909097015857697,0.12716218829154968,0.25393402576446533,0.0916554406285286,0.19073757529258728,0.19579021632671356,0.15035685896873474,0.22655056416988373,0.11172781884670258
was,0.22111038863658905,0.5810302495956421,0.384328156709671,0.48711544275283813,0.28349727392196655,0.24960921704769135,0.4069072902202606,0.31632548570632935,0.2268463522195816,0.18412111699581146
held,0.0974166989326477,0.19884860515594482,0.2591264545917511,0.32185450196266174,0.13379129767417908,0.17612801492214203,0.28960686922073364,0.14670643210411072,0.1503976583480835,0.14103956520557404
at,0.2838611304759979,0.25906258821487427,0.22421137988567352,0.457212895154953,0.20430272817611694,0.1633070856332779,0.42558613419532776,0.16126874089241028,0.16081219911575317,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,0.4028765559196472,1.0,0.22516992688179016,0.23846197128295898,0.733189046382904,0.24562937021255493,0.1990700513124466,0.22068053483963013
lovely,0.3195423483848572,0.1759413480758667,0.13670821487903595,0.23189541697502136,0.2923460602760315,0.180104598402977,0.18858401477336884,0.16177676618099213,0.1409473568201065,0.218033567070961
lane,0.1767110675573349,0.17462371289730072,0.20141860842704773,0.17604383826255798,0.1031632199883461,0.1400875747203827,0.15131840109825134,0.24171288311481476,0.18233922123908997,0.12951500713825226
methodist,0.17637217044830322,0.14683330059051514,0.17753657698631287,0.21922016143798828,0.2666868567466736,0.6119816899299622,0.28458893299102783,0.3020162284374237,0.8856825828552246,0.1436992734670639
church,0.1944202184677124,0.203276589512825,0.15520626306533813,0.23846197128295898,0.21956108510494232,0.9999999403953552,0.3079429268836975,0.11863381415605545,0.615106999874115,0.18081501126289368
",",0.3087472915649414,0.4691906273365021,0.32932984828948975,0.4933079481124878,0.30403390526771545,0.2707274258136749,0.4946078956127167,0.3048616647720337,0.2742699086666107,0.31091248989105225
considered,0.2834889590740204,0.4096149802207947,1.0,0.4028765559196472,0.14327500760555267,0.15520626306533813,0.4190242290496826,0.2282944917678833,0.2157536745071411,0.19909770786762238
the,0.42745697498321533,0.5823672413825989,0.4028765559196472,1.0,0.22516992688179016,0.23846197128295898,0.733189046382904,0.24562937021255493,0.1990700513124466,0.22068053483963013
mother,0.20282095670700073,0.2014552503824234,0.14327500760555267,0.22516992688179016,1.0,0.21956108510494232,0.2170739620923996,0.19563867151737213,0.24330496788024902,0.15180644392967224
church,0.1944202184677124,0.203276589512825,0.15520626306533813,0.23846197128295898,0.21956108510494232,0.9999999403953552,0.3079429268836975,0.11863381415605545,0.615106999874115,0.18081501126289368
of,0.33290785551071167,0.4854315221309662,0.4190242290496826,0.733189046382904,0.2170739620923996,0.3079429268836975,1.0,0.22180068492889404,0.3017388582229614,0.1826142966747284
american,0.1909721940755844,0.1853146106004715,0.2282944917678833,0.24562937021255493,0.19563867151737213,0.11863381415605545,0.22180068492889404,1.0000001192092896,0.2387644648551941,0.18877598643302917
methodism,0.2233467698097229,0.13992632925510406,0.2157536745071411,0.1990700513124466,0.24330496788024902,0.615106999874115,0.3017388582229614,0.2387644648551941,1.0,0.18589207530021667
.,0.3567904531955719,0.4569662809371948,0.29356086254119873,0.5934505462646484,0.27072274684906006,0.28898224234580994,0.5352458953857422,0.29108086228370667,0.2815324366092682,0.4130953550338745
