,where,did,luther,go,on,17,july,1505,?
he,0.3705328106880188,0.3292143940925598,0.2454872578382492,0.25558793544769287,0.32403138279914856,0.022036677226424217,0.2984912395477295,0.13207857310771942,0.2089974731206894
left,0.275688111782074,0.27335280179977417,0.09901221841573715,0.23672902584075928,0.30747801065444946,0.12493164092302322,0.1653594672679901,0.08014015853404999,0.13251960277557373
law,0.21956811845302582,0.2238171398639679,0.21635621786117554,0.21401339769363403,0.13878796994686127,0.1392665058374405,0.1698354184627533,0.010254264809191227,0.1528988480567932
school,0.23611775040626526,0.19696208834648132,0.19003894925117493,0.2376861870288849,0.2388053983449936,0.06613004207611084,0.2119920700788498,0.05504889786243439,0.15091250836849213
",",0.3149496018886566,0.3015086054801941,0.23255878686904907,0.3043581247329712,0.49057599902153015,0.1536172777414322,0.4269406795501709,0.19619062542915344,0.31091248989105225
sold,0.13175801932811737,0.22639408707618713,0.10454917699098587,0.14284609258174896,0.22673599421977997,0.10893025249242783,0.1539432555437088,0.055672578513622284,0.14943712949752808
his,0.29880598187446594,0.3546801507472992,0.27093374729156494,0.2329278290271759,0.32064297795295715,0.025271045044064522,0.26616787910461426,0.12825770676136017,0.18075084686279297
books,0.2016160786151886,0.20507213473320007,0.2571197748184204,0.1633174568414688,0.24774901568889618,0.1274874359369278,0.19395630061626434,0.11878655105829239,0.1897611767053604
",",0.3149496018886566,0.3015086054801941,0.23255878686904907,0.3043581247329712,0.49057599902153015,0.1536172777414322,0.4269406795501709,0.19619062542915344,0.31091248989105225
and,0.43859338760375977,0.34479495882987976,0.20796556770801544,0.35260969400405884,0.4077630043029785,0.11462654173374176,0.258785605430603,0.16784341633319855,0.20544172823429108
entered,0.2728686034679413,0.24553436040878296,0.0916198119521141,0.25293728709220886,0.24136486649513245,0.11952061206102371,0.21393141150474548,0.19075027108192444,0.10335487127304077
a,0.40997210144996643,0.2552328109741211,0.17967689037322998,0.24019409716129303,0.3848365545272827,0.038237735629081726,0.23807190358638763,0.03684639558196068,0.23916715383529663
closed,0.2064974009990692,0.1969357281923294,0.10909993201494217,0.1963176280260086,0.2467423975467682,0.1403551548719406,0.22158226370811462,0.12671731412410736,0.15595348179340363
augustinian,0.15951941907405853,0.14031444489955902,0.35197094082832336,0.09286689013242722,0.18664713203907013,0.1532198190689087,0.2303755283355713,0.2723739743232727,0.19610492885112762
cloister,0.3071407675743103,0.10100279748439789,0.24050062894821167,0.21449266374111176,0.16061817109584808,0.16735431551933289,0.11757099628448486,0.08735804259777069,0.13987712562084198
in,0.5344807505607605,0.2593238651752472,0.20523880422115326,0.22233200073242188,0.46853652596473694,0.10391845554113388,0.26500701904296875,0.19650669395923615,0.20430970191955566
erfurt,0.222610205411911,0.18035399913787842,0.3450588285923004,0.18406246602535248,0.22498176991939545,0.14360618591308594,0.186677947640419,0.3564281165599823,0.15730193257331848
on,0.37630224227905273,0.2670976221561432,0.19090485572814941,0.23738256096839905,0.9999999403953552,0.06816379725933075,0.36770564317703247,0.09133213758468628,0.2714994251728058
17,0.034122101962566376,0.07127774506807327,0.07457792013883591,0.06178271397948265,0.06816379725933075,1.0,0.15161122381687164,0.18998517096042633,0.17603135108947754
july,0.18378832936286926,0.25485745072364807,0.14528398215770721,0.19028541445732117,0.36770564317703247,0.15161122381687164,1.0,0.15086573362350464,0.2897891402244568
1505,0.17087547481060028,0.13532480597496033,0.11786014586687088,0.08812197297811508,0.09133213758468628,0.18998517096042633,0.15086573362350464,1.0,0.16973243653774261
.,0.41390106081962585,0.35288307070732117,0.24907569587230682,0.3313661813735962,0.49257001280784607,0.1622714102268219,0.3500252068042755,0.17610161006450653,0.4130953550338745
