,how,many,tiers,are,in,the,australian,form,of,learning,?
generally,0.35949206352233887,0.4686267375946045,0.2826535105705261,0.5254502892494202,0.28190043568611145,0.41466525197029114,0.1807878464460373,0.3044731318950653,0.3127037584781647,0.2493092268705368,0.23411904275417328
",",0.22659391164779663,0.40610817074775696,0.17434506118297577,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.18606895208358765,0.21805599331855774,0.4946078956127167,0.22680731117725372,0.31091248989105225
education,0.12444977462291718,0.2013951987028122,0.21938829123973846,0.14324818551540375,0.2654339671134949,0.23982903361320496,0.132046639919281,0.12039986252784729,0.3015166223049164,0.4757501184940338,0.18067774176597595
in,0.2601168751716614,0.41474202275276184,0.20644979178905487,0.3841303884983063,1.0,0.6662389636039734,0.1796053647994995,0.2815987169742584,0.5696388483047485,0.2443799525499344,0.20430970191955566
australia,0.18526475131511688,0.26295167207717896,0.1375482976436615,0.19220782816410065,0.2697675824165344,0.26828548312187195,0.7325041890144348,0.14424481987953186,0.2669609785079956,0.10850434750318527,0.15702682733535767
follows,0.37430426478385925,0.19324374198913574,0.16571703553199768,0.27603453397750854,0.31313058733940125,0.3630034327507019,0.17773237824440002,0.24800467491149902,0.28921809792518616,0.23148123919963837,0.16897420585155487
the,0.33890387415885925,0.4335206151008606,0.2685202956199646,0.40399202704429626,0.6662389636039734,1.0,0.23527215421199799,0.29286009073257446,0.733189046382904,0.2504628002643585,0.22068053483963013
three-tier,0.20808511972427368,0.3163878619670868,0.5149598717689514,0.2663419842720032,0.3408266007900238,0.36937350034713745,0.19471827149391174,0.1682545691728592,0.3232107162475586,0.17875485122203827,0.18743960559368134
model,0.19876523315906525,0.18362142145633698,0.06550702452659607,0.07012248039245605,0.2267826348543167,0.14028635621070862,0.14523860812187195,0.16795389354228973,0.18271391093730927,0.14678965508937836,0.14843042194843292
which,0.4852597713470459,0.5168171525001526,0.253538578748703,0.42922598123550415,0.4840516746044159,0.6521818041801453,0.21131077408790588,0.4024239182472229,0.5011631846427917,0.2861276865005493,0.25814583897590637
includes,0.14845652878284454,0.2885901629924774,0.2306930124759674,0.4409101605415344,0.32460328936576843,0.3388250470161438,0.19611766934394836,0.21003791689872742,0.4359378218650818,0.1862936168909073,0.14011523127555847
primary,0.15994705259799957,0.22016435861587524,0.06724520772695541,0.24237659573554993,0.21150650084018707,0.25688621401786804,0.12457224726676941,0.16110947728157043,0.23414276540279388,0.22595492005348206,0.16286636888980865
education,0.12444977462291718,0.2013951987028122,0.21938829123973846,0.14324818551540375,0.2654339671134949,0.23982903361320496,0.132046639919281,0.12039986252784729,0.3015166223049164,0.4757501184940338,0.18067774176597595
(,0.1676948219537735,0.1455259770154953,0.1474255919456482,0.23263892531394958,0.3087427020072937,0.33289089798927307,0.19788014888763428,0.1860738843679428,0.35032153129577637,0.1387167125940323,0.40561532974243164
primary,0.15994705259799957,0.22016435861587524,0.06724520772695541,0.24237659573554993,0.21150650084018707,0.25688621401786804,0.12457224726676941,0.16110947728157043,0.23414276540279388,0.22595492005348206,0.16286636888980865
schools,0.12874440848827362,0.3108086585998535,0.25524628162384033,0.30816179513931274,0.2632134258747101,0.22905772924423218,0.13071531057357788,0.1430789679288864,0.265506386756897,0.3194710910320282,0.18349280953407288
),0.17939934134483337,0.16602720320224762,0.14992967247962952,0.2373749315738678,0.3326910734176636,0.3456730246543884,0.19791001081466675,0.20926380157470703,0.3680361211299896,0.17306193709373474,0.42300865054130554
