,in,1992,",",what,percentage,of,east,german,students,attended,private,schools,?
overall,0.26280614733695984,0.02006649039685726,0.2888959050178528,0.23488298058509827,0.3107115924358368,0.2889781594276428,0.16660502552986145,0.09227410703897476,0.1951427310705185,0.11986465752124786,0.09768882393836975,0.13380353152751923,0.18573027849197388
",",0.5201468467712402,0.14831048250198364,1.0000001192092896,0.3087472915649414,0.21945469081401825,0.4946078956127167,0.319791704416275,0.2478695809841156,0.26501646637916565,0.2751223146915436,0.1899166703224182,0.2760516405105591,0.31091248989105225
between,0.41100412607192993,0.059764351695775986,0.27714940905570984,0.2462156116962433,0.17755161225795746,0.3737983703613281,0.3162674903869629,0.12814317643642426,0.1724667102098465,0.14914187788963318,0.12549267709255219,0.08330926299095154,0.12887074053287506
1992,0.0684703141450882,1.0,0.14831048250198364,0.12803657352924347,0.05777150020003319,0.083686463534832,0.20032212138175964,0.039334479719400406,0.21483249962329865,0.20879904925823212,0.1368933916091919,0.23811785876750946,0.11522171646356583
and,0.4954058527946472,0.049611207097768784,0.6633074283599854,0.31309178471565247,0.24926191568374634,0.5116966962814331,0.27633291482925415,0.25850871205329895,0.28111961483955383,0.24860189855098724,0.2557651102542877,0.29319998621940613,0.20544172823429108
2008,-0.0422978475689888,0.06296729296445847,-0.008566685020923615,-0.19703538715839386,-0.015511846169829369,-0.10678710788488388,-0.005591381341218948,0.08332956582307816,-0.04699748754501343,0.09640464186668396,0.005949640180915594,-0.031531136482954025,-0.09852470457553864
the,0.6662389636039734,0.12138951569795609,0.4933079481124878,0.42745697498321533,0.2736506462097168,0.733189046382904,0.3383176326751709,0.256483793258667,0.25268980860710144,0.2369099110364914,0.18291357159614563,0.22905772924423218,0.22068053483963013
percent,0.24886950850486755,0.03056422248482704,0.19088563323020935,0.2506202459335327,0.7300876379013062,0.3004763424396515,0.19047197699546814,0.05900390446186066,0.2363092601299286,0.13537022471427917,0.2076859474182129,0.21273545920848846,0.14671556651592255
of,0.5696388483047485,0.083686463534832,0.4946078956127167,0.33290785551071167,0.24724560976028442,1.0,0.314786434173584,0.2122138887643814,0.25513339042663574,0.25085145235061646,0.18706899881362915,0.265506386756897,0.1826142966747284
pupils,0.15253189206123352,0.05655549839138985,0.2080644965171814,0.180222749710083,0.17275370657444,0.17450828850269318,0.19651396572589874,0.1386856734752655,0.48713982105255127,0.31726616621017456,0.2570889890193939,0.413528710603714,0.06499303877353668
in,1.0,0.0684703141450882,0.5201468467712402,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.32659441232681274,0.21098364889621735,0.2676171064376831,0.2787896692752838,0.21135757863521576,0.2632134258747101,0.20430970191955566
such,0.2704046070575714,0.027393117547035217,0.39626169204711914,0.23989605903625488,0.197652205824852,0.3209529519081116,0.1130840852856636,0.1345568746328354,0.19131532311439514,0.15069150924682617,0.20891956984996796,0.21323329210281372,0.17851735651493073
schools,0.2632134258747101,0.23811785876750946,0.2760516405105591,0.1820785105228424,0.1464802473783493,0.265506386756897,0.21781228482723236,0.15429559350013733,0.6169943809509277,0.46369069814682007,0.4158569872379303,1.0,0.18349280953407288
in,1.0,0.0684703141450882,0.5201468467712402,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.32659441232681274,0.21098364889621735,0.2676171064376831,0.2787896692752838,0.21135757863521576,0.2632134258747101,0.20430970191955566
