,where,was,the,manned,spacecraft,center,located,?
a,0.40997210144996643,0.4508470594882965,0.5829201340675354,0.1981727033853531,0.1892588883638382,0.2640431225299835,0.2605401277542114,0.23916715383529663
site,0.24231134355068207,0.24460934102535248,0.288954496383667,0.0964241772890091,0.17306627333164215,0.1994858980178833,0.3760833442211151,0.2014765441417694
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.24339483678340912,0.18611936271190643,0.19517986476421356,0.20133289694786072,0.18412111699581146
chosen,0.20096638798713684,0.258492648601532,0.32853078842163086,0.276106595993042,0.17345403134822845,0.11077795922756195,0.21688096225261688,0.18667186796665192
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.1528020054101944,0.19417698681354523,0.27253323793411255,0.35149815678596497,0.20430970191955566
houston,0.20381973683834076,0.31953680515289307,0.24086737632751465,0.24809688329696655,0.204906165599823,0.2780347168445587,0.16028526425361633,0.14217448234558105
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.1752677708864212,0.1987742930650711,0.1905742734670639,0.2678719460964203,0.31091248989105225
texas,0.1868513971567154,0.23293380439281464,0.2597190737724304,0.12737056612968445,0.1703304499387741,0.26223719120025635,0.18969902396202087,0.13821813464164734
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.1752677708864212,0.1987742930650711,0.1905742734670639,0.2678719460964203,0.31091248989105225
on,0.37630224227905273,0.3909217119216919,0.5107308030128479,0.22706209123134613,0.20470470190048218,0.23809784650802612,0.22447186708450317,0.2714994251728058
land,0.21639515459537506,0.23751215636730194,0.28587454557418823,0.22838427126407623,0.2670876681804657,0.16315385699272156,0.2490224391222,0.1432059109210968
donated,0.16139833629131317,0.2994552254676819,0.24606364965438843,0.15325358510017395,0.1552477926015854,0.1913624107837677,0.2564224898815155,0.10052662342786789
by,0.2641284465789795,0.4752357602119446,0.4408751428127289,0.245781809091568,0.19003267586231232,0.12630024552345276,0.18208515644073486,0.17966607213020325
rice,0.1594204604625702,0.22836677730083466,0.2547391355037689,0.13842420279979706,0.13385608792304993,0.06508616358041763,0.09431181102991104,0.16898907721042633
university,0.26550742983818054,0.290752112865448,0.263973206281662,0.125913605093956,0.1598806381225586,0.2763576805591583,0.2719898521900177,0.11887256056070328
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.1752677708864212,0.1987742930650711,0.1905742734670639,0.2678719460964203,0.31091248989105225
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.21635916829109192,0.19242209196090698,0.28670641779899597,0.24183952808380127,0.20544172823429108
administrator,0.15085022151470184,0.26034414768218994,0.23136885464191437,0.22605964541435242,0.20216034352779388,0.16880805790424347,0.2544878125190735,0.2915230691432953
webb,0.13360506296157837,0.2562257945537567,0.2468639612197876,0.19673119485378265,0.26301994919776917,0.21736066043376923,0.09713292121887207,0.11173157393932343
announced,0.0855778381228447,0.34205326437950134,0.2277132272720337,0.21813122928142548,0.22801238298416138,0.15081888437271118,0.10447415709495544,0.17416009306907654
the,0.5003893971443176,0.48711544275283813,1.0,0.2392944097518921,0.21476294100284576,0.29064592719078064,0.407527357339859,0.22068053483963013
conversion,0.22398877143859863,0.12238868325948715,0.2308437079191208,0.2158719301223755,0.21421131491661072,0.1512782871723175,0.13685674965381622,0.1924358606338501
on,0.37630224227905273,0.3909217119216919,0.5107308030128479,0.22706209123134613,0.20470470190048218,0.23809784650802612,0.22447186708450317,0.2714994251728058
september,0.1636122465133667,0.4425655007362366,0.2516939043998718,0.13321775197982788,0.15573406219482422,0.19361624121665955,0.16617615520954132,0.2665146589279175
19,-0.1145915612578392,-0.16212789714336395,-0.17766842246055603,-0.028054332360625267,-0.04440642520785332,-0.04166392236948013,-0.21559295058250427,0.008002291433513165
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.1752677708864212,0.1987742930650711,0.1905742734670639,0.2678719460964203,0.31091248989105225
1961,-0.0026569324545562267,0.09389110654592514,0.0738944262266159,0.05895290523767471,0.08361214399337769,-0.016334274783730507,0.04062379524111748,0.009729373268783092
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.2219262570142746,0.19334369897842407,0.29649654030799866,0.28226932883262634,0.4130953550338745
