,what,kingdom,annexed,warsaw,in,1796,?
warsaw,0.10373849421739578,0.15099142491817474,0.21874290704727173,1.0,0.22642600536346436,0.14122585952281952,0.09769917279481888
remained,0.1733817607164383,0.21292491257190704,0.3681609034538269,0.20149919390678406,0.30947351455688477,0.11216511577367783,0.08263323456048965
the,0.42745697498321533,0.3143408000469208,0.28790032863616943,0.23137180507183075,0.6662389636039734,0.10281962901353836,0.22068053483963013
capital,0.17967931926250458,0.20243757963180542,0.37384602427482605,0.15139155089855194,0.3233928978443146,0.33338692784309387,0.0907452180981636
of,0.33290785551071167,0.3218171298503876,0.27883175015449524,0.19253842532634735,0.5696388483047485,0.11729281395673752,0.1826142966747284
the,0.42745697498321533,0.3143408000469208,0.28790032863616943,0.23137180507183075,0.6662389636039734,0.10281962901353836,0.22068053483963013
polish–lithuanian,0.19602914154529572,0.29969245195388794,0.3171881437301636,0.5739424228668213,0.25090235471725464,0.1776949167251587,0.1877656877040863
commonwealth,0.1751948744058609,0.3527248203754425,0.34860339760780334,0.2659563720226288,0.2471591830253601,0.11455083638429642,0.13252873718738556
until,0.2693650424480438,0.23006796836853027,0.3166915774345398,0.20678816735744476,0.38338494300842285,0.11643926054239273,0.20304496586322784
1796,0.10675236582756042,0.08959314227104187,0.2005140334367752,0.14122585952281952,0.10051792114973068,1.0000001192092896,0.17521953582763672
",",0.3087472915649414,0.2585166394710541,0.2816123962402344,0.25300899147987366,0.5201468467712402,0.1400432586669922,0.31091248989105225
when,0.4700249433517456,0.19648540019989014,0.18607553839683533,0.1615014374256134,0.4431333839893341,0.03571160510182381,0.22841128706932068
it,0.45803478360176086,0.24434693157672882,0.3188643455505371,0.1582006961107254,0.5130809545516968,0.09482866525650024,0.25732165575027466
was,0.22111038863658905,0.27756404876708984,0.3178257644176483,0.2614976763725281,0.45514053106307983,0.042919453233480453,0.18412111699581146
annexed,0.19235022366046906,0.3835493326187134,1.0,0.21874290704727173,0.3055773079395294,0.2005140334367752,0.10068629682064056
by,0.2455483376979828,0.23067373037338257,0.23934271931648254,0.15291538834571838,0.370934396982193,0.0922631174325943,0.17966607213020325
the,0.42745697498321533,0.3143408000469208,0.28790032863616943,0.23137180507183075,0.6662389636039734,0.10281962901353836,0.22068053483963013
kingdom,0.17826133966445923,1.0000001192092896,0.3835493326187134,0.15099142491817474,0.28265801072120667,0.08959314227104187,0.12927088141441345
of,0.33290785551071167,0.3218171298503876,0.27883175015449524,0.19253842532634735,0.5696388483047485,0.11729281395673752,0.1826142966747284
prussia,0.19015008211135864,0.3257600665092468,0.4545119106769562,0.37414947152137756,0.25057199597358704,0.15079881250858307,0.09988865256309509
to,0.455847829580307,0.19473806023597717,0.245008647441864,0.1953994333744049,0.45010748505592346,0.06024574115872383,0.29463258385658264
become,0.27134042978286743,0.20406530797481537,0.213319331407547,0.1807192862033844,0.23238378763198853,0.0388367660343647,0.19511328637599945
the,0.42745697498321533,0.3143408000469208,0.28790032863616943,0.23137180507183075,0.6662389636039734,0.10281962901353836,0.22068053483963013
capital,0.17967931926250458,0.20243757963180542,0.37384602427482605,0.15139155089855194,0.3233928978443146,0.33338692784309387,0.0907452180981636
of,0.33290785551071167,0.3218171298503876,0.27883175015449524,0.19253842532634735,0.5696388483047485,0.11729281395673752,0.1826142966747284
the,0.42745697498321533,0.3143408000469208,0.28790032863616943,0.23137180507183075,0.6662389636039734,0.10281962901353836,0.22068053483963013
province,0.18841709196567535,0.2193690985441208,0.3717111647129059,0.11284905672073364,0.2537287175655365,0.32053375244140625,0.11473246663808823
of,0.33290785551071167,0.3218171298503876,0.27883175015449524,0.19253842532634735,0.5696388483047485,0.11729281395673752,0.1826142966747284
south,0.15388517081737518,0.2756692171096802,0.3435229957103729,0.18095728754997253,0.33642083406448364,0.1812313050031662,0.12336621433496475
prussia,0.19015008211135864,0.3257600665092468,0.4545119106769562,0.37414947152137756,0.25057199597358704,0.15079881250858307,0.09988865256309509
.,0.3567904531955719,0.23047322034835815,0.20018436014652252,0.26825499534606934,0.5591574311256409,0.1461133360862732,0.4130953550338745
