,what,was,the,name,of,the,stadium,that,the,teams,played,in,?
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.2635002136230469,0.4249346852302551,0.40150508284568787,0.17690257728099823,0.3477667272090912,0.40150508284568787,0.20888039469718933,0.15411217510700226,0.4274188280105591,0.19969791173934937
2005,0.0704459398984909,0.11356307566165924,0.037273142486810684,0.0863918587565422,0.017815761268138885,0.037273142486810684,-0.02078503929078579,0.016139673069119453,0.037273142486810684,0.028143465518951416,0.055829521268606186,0.009931974112987518,0.10709824413061142
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.2075904905796051,0.5436353087425232,0.535392165184021,0.2634691894054413,0.14824016392230988,0.45010748505592346,0.29463258385658264
2014,0.041483160108327866,0.1446884423494339,0.059490643441677094,0.16726040840148926,0.0493064783513546,0.059490643441677094,-0.03651968389749527,0.018680522218346596,0.059490643441677094,-0.05728425458073616,0.09595487266778946,0.13996225595474243,0.058127544820308685
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2056228220462799,0.4137537479400635,0.4933079481124878,0.22220629453659058,0.2987361550331116,0.5201468467712402,0.31091248989105225
there,0.35085538029670715,0.24909798800945282,0.47025805711746216,0.1687372922897339,0.44397735595703125,0.47025805711746216,0.14704295992851257,0.6006520986557007,0.47025805711746216,0.2347501516342163,0.20455069839954376,0.5361666083335876,0.29405656456947327
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.1580192744731903,0.34038281440734863,0.3906462490558624,0.15496990084648132,0.35517072677612305,0.3906462490558624,0.28874582052230835,0.23924671113491058,0.3815755248069763,0.17890112102031708
two,0.23363454639911652,0.27166637778282166,0.43858039379119873,0.18348293006420135,0.37726253271102905,0.43858039379119873,0.11908403038978577,0.3858162462711334,0.43858039379119873,0.29386359453201294,0.2799473702907562,0.36463531851768494,0.19645625352859497
major,0.21026742458343506,0.20676274597644806,0.31775903701782227,0.1646600365638733,0.2641255557537079,0.31775903701782227,0.13614912331104279,0.2570328712463379,0.31775903701782227,0.16824941337108612,0.20760951936244965,0.3249945342540741,0.19788557291030884
league,0.16616638004779816,0.21425791084766388,0.2724147439002991,0.1580641269683838,0.23588460683822632,0.2724147439002991,0.3161369860172272,0.17157399654388428,0.2724147439002991,0.5732301473617554,0.38097119331359863,0.22963495552539825,0.15941482782363892
soccer,0.2001611739397049,0.1641882061958313,0.1894586831331253,0.17077143490314484,0.18624280393123627,0.1894586831331253,0.3234427571296692,0.20401956140995026,0.1894586831331253,0.4462805986404419,0.3854190707206726,0.2415911853313446,0.10359424352645874
teams,0.16624371707439423,0.1698075383901596,0.3164927661418915,0.20138786733150482,0.27933305501937866,0.3164927661418915,0.33254721760749817,0.22682182490825653,0.3164927661418915,1.0,0.39578181505203247,0.2639528214931488,0.11150168627500534
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.21361783146858215,0.435920387506485,0.6662389636039734,0.2639528214931488,0.27605336904525757,1.0,0.20430970191955566
los,0.12322991341352463,0.24467623233795166,0.2502395510673523,0.06927964091300964,0.17343297600746155,0.2502395510673523,0.16015268862247467,0.18935614824295044,0.2502395510673523,0.22085128724575043,0.20969194173812866,0.2795681953430176,0.15495611727237701
angeles,0.10702074319124222,0.24987028539180756,0.24588194489479065,0.06431342661380768,0.16643567383289337,0.24588194489479065,0.13217130303382874,0.1830451935529709,0.24588194489479065,0.22802701592445374,0.22931799292564392,0.23927895724773407,0.16139166057109833
—,0.15849889814853668,0.17802409827709198,0.20689499378204346,0.13224270939826965,0.2523677349090576,0.20689499378204346,0.039527446031570435,0.13326826691627502,0.20689499378204346,0.12859666347503662,0.07487320899963379,0.21084477007389069,0.23527392745018005
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.21145665645599365,0.5473989248275757,1.0,0.3164927661418915,0.2603478729724884,0.6662389636039734,0.22068053483963013
la,0.15497572720050812,0.1975202113389969,0.23999373614788055,0.15375949442386627,0.2191537618637085,0.23999373614788055,0.18519341945648193,0.16424401104450226,0.23999373614788055,0.13141117990016937,0.15154848992824554,0.25750628113746643,0.16701938211917877
