,what,implication,can,be,derived,for,p,and,np,if,p,and,co-np,are,established,to,be,unequal,?
it,0.45803478360176086,0.21852146089076996,0.3819273114204407,0.5203388929367065,0.1949610412120819,0.32171204686164856,0.14431746304035187,0.40957894921302795,0.1906801462173462,0.35967332124710083,0.14431746304035187,0.40957894921302795,0.1343778669834137,0.3617996573448181,0.27238577604293823,0.513711154460907,0.5203388929367065,0.20229138433933258,0.25732165575027466
has,0.20338068902492523,0.1936085820198059,0.4103628396987915,0.3863394856452942,0.1696081906557083,0.450642853975296,0.07216716557741165,0.43716782331466675,0.14911533892154694,0.2886769473552704,0.07216716557741165,0.43716782331466675,0.149526908993721,0.4313911199569702,0.21947512030601501,0.3619994819164276,0.3863394856452942,0.22664575278759003,0.15994466841220856
been,0.2567804455757141,0.2595270872116089,0.3498430848121643,0.5304332375526428,0.15724538266658783,0.39068686962127686,0.06419767439365387,0.3424558639526367,0.1178726851940155,0.30252891778945923,0.06419767439365387,0.3424558639526367,0.1373925358057022,0.4703826308250427,0.18789145350456238,0.34945759177207947,0.5304332375526428,0.24448634684085846,0.24354910850524902
shown,0.2601207196712494,0.13964655995368958,0.23800703883171082,0.3122435212135315,0.19308090209960938,0.28684258460998535,0.09382953494787216,0.28805026412010193,0.21758389472961426,0.24471823871135712,0.09382953494787216,0.28805026412010193,0.15889443457126617,0.2681901454925537,0.21934159100055695,0.23958280682563782,0.3122435212135315,0.23767337203025818,0.2433658242225647
that,0.6297725439071655,0.3330824077129364,0.4522190988063812,0.6036020517349243,0.28356388211250305,0.4137635827064514,0.15546166896820068,0.4731321930885315,0.2149038165807724,0.5634250640869141,0.15546166896820068,0.4731321930885315,0.10738325864076614,0.45265161991119385,0.2216063141822815,0.5436353087425232,0.6036020517349243,0.38067692518234253,0.32716336846351624
if,0.5277165174484253,0.35017192363739014,0.5903681516647339,0.5628611445426941,0.08827359974384308,0.3609124422073364,0.17701710760593414,0.3498523235321045,0.30719754099845886,1.0,0.17701710760593414,0.3498523235321045,0.040382612496614456,0.32547882199287415,0.14651353657245636,0.4559597074985504,0.5628611445426941,0.3068098723888397,0.4441644251346588
these,0.4164220690727234,0.2925228774547577,0.4833051562309265,0.4507283866405487,0.261572927236557,0.41566818952560425,0.1761489063501358,0.5314885973930359,0.20198503136634827,0.3604618012905121,0.1761489063501358,0.5314885973930359,0.14266358315944672,0.7107698917388916,0.18397070467472076,0.46852558851242065,0.4507283866405487,0.41381385922431946,0.2571668326854706
two,0.23363454639911652,0.20089960098266602,0.282000333070755,0.28515341877937317,0.12747780978679657,0.34734001755714417,0.16460318863391876,0.4671151638031006,0.1460668295621872,0.24792033433914185,0.16460318863391876,0.4671151638031006,0.2469726800918579,0.46276170015335083,0.17465682327747345,0.3343428373336792,0.28515341877937317,0.3629758656024933,0.19645625352859497
complexity,0.33747240900993347,0.5130289196968079,0.31849509477615356,0.34982410073280334,0.2322843372821808,0.27243003249168396,0.2279624342918396,0.2520415782928467,0.4016888439655304,0.3077995181083679,0.2279624342918396,0.2520415782928467,0.239541694521904,0.27680158615112305,0.13040971755981445,0.28336837887763977,0.34982410073280334,0.4203127920627594,0.23062916100025177
classes,0.20746955275535583,0.1987125426530838,0.2676023244857788,0.2610863149166107,0.19048146903514862,0.20599915087223053,0.15806759893894196,0.2892279624938965,0.2044486701488495,0.22395169734954834,0.15806759893894196,0.2892279624938965,0.1669212430715561,0.2913099527359009,0.09644053131341934,0.2503586411476135,0.2610863149166107,0.25178542733192444,0.14397528767585754
are,0.29724663496017456,0.197050079703331,0.5408529043197632,0.5556803941726685,0.21504636108875275,0.3895993232727051,0.0965256616473198,0.48576638102531433,0.22153069078922272,0.32547882199287415,0.0965256616473198,0.48576638102531433,0.15173153579235077,1.0,0.13481727242469788,0.3504326641559601,0.5556803941726685,0.29341426491737366,0.24591213464736938
not,0.5449194312095642,0.32520708441734314,0.49270012974739075,0.5788898468017578,0.1802462488412857,0.39280617237091064,0.18450647592544556,0.39099299907684326,0.2639980912208557,0.6100378632545471,0.18450647592544556,0.39099299907684326,0.09453749656677246,0.46186959743499756,0.16156615316867828,0.5149973034858704,0.5788898468017578,0.3424813151359558,0.41942933201789856
equal,0.2397335022687912,0.1970745325088501,0.27450141310691833,0.3166142404079437,0.2659710645675659,0.24821323156356812,0.13015535473823547,0.26747193932533264,0.19781428575515747,0.385101854801178,0.13015535473823547,0.26747193932533264,0.12706775963306427,0.21840934455394745,0.14829981327056885,0.28325995802879333,0.3166142404079437,0.6766666173934937,0.15421567857265472
then,0.4072686731815338,0.17135538160800934,0.3455607295036316,0.38089728355407715,0.07705623656511307,0.3392637073993683,0.21893106400966644,0.4372139573097229,0.16720212996006012,0.5936081409454346,0.21893106400966644,0.4372139573097229,0.1446278989315033,0.23076686263084412,0.18752089142799377,0.5203860402107239,0.38089728355407715,0.16599157452583313,0.2884598970413208
p,0.18586504459381104,0.17638957500457764,0.15593776106834412,0.12313798069953918,0.12812091410160065,0.13376198709011078,1.0,0.198231041431427,0.24241971969604492,0.17701710760593414,1.0,0.198231041431427,0.16980700194835663,0.0965256616473198,0.07707830518484116,0.14269764721393585,0.12313798069953918,0.11402727663516998,0.20840544998645782
