,who,was,the,founder,of,cbs,?
noble,0.20064976811408997,0.16863727569580078,0.2295120358467102,0.16388458013534546,0.24601131677627563,0.07833251357078552,0.11942308396100998
received,0.20717638731002808,0.3745744526386261,0.24890556931495667,0.16300749778747559,0.2628524899482727,0.1607401818037033,0.11905962228775024
other,0.3612329661846161,0.14651623368263245,0.44152235984802246,0.10981312394142151,0.38583824038505554,0.1471167653799057,0.24682199954986572
offers,0.19148729741573334,0.17037241160869598,0.21389935910701752,0.18609803915023804,0.22654089331626892,0.1609746515750885,0.1211681216955185
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2440452128648758,0.4946078956127167,0.18569420278072357,0.31091248989105225
including,0.2835840582847595,0.21884717047214508,0.3738902807235718,0.16544580459594727,0.44195112586021423,0.1605180948972702,0.1633303165435791
one,0.40083858370780945,0.3752199709415436,0.5514441132545471,0.2112186849117279,0.4999135136604309,0.13364626467227936,0.2673267424106598
from,0.27839982509613037,0.31171464920043945,0.40150508284568787,0.15171527862548828,0.4249346852302551,0.06486080586910248,0.19969791173934937
cbs,0.16542650759220123,0.26256829500198364,0.2283918708562851,0.21063043177127838,0.16151919960975647,1.0,0.14594407379627228
founder,0.28227898478507996,0.3223331570625305,0.24715600907802582,1.0,0.25088685750961304,0.21063043177127838,0.13665783405303955
william,0.32068803906440735,0.28444796800613403,0.21537061035633087,0.21602483093738556,0.20272590219974518,0.2241773158311844,0.14462219178676605
s.,0.05014374107122421,-0.0905630961060524,-0.04539619758725166,-0.09070229530334473,-0.10292956233024597,0.05878826603293419,0.07581593841314316
paley,0.27669140696525574,0.21124711632728577,0.21166154742240906,0.20745299756526947,0.19454500079154968,0.25636154413223267,0.17775388062000275
;,0.007937713526189327,0.0754367932677269,0.09152708947658539,-0.0328356996178627,0.054534342139959335,0.03391492739319801,0.10349778085947037
however,0.4020770490169525,0.37327632308006287,0.49814513325691223,0.1286245435476303,0.3800618350505829,0.19870415329933167,0.2152075469493866
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2440452128648758,0.4946078956127167,0.18569420278072357,0.31091248989105225
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.15995511412620544,0.5052502155303955,0.16314536333084106,0.23916715383529663
merger,0.1228785514831543,0.23289446532726288,0.2557354271411896,0.3115639388561249,0.18576329946517944,0.1694124937057495,0.1345871090888977
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.1409474015235901,0.41827285289764404,0.20131054520606995,0.2433311939239502
cbs,0.16542650759220123,0.26256829500198364,0.2283918708562851,0.21063043177127838,0.16151919960975647,1.0,0.14594407379627228
would,0.3632977604866028,0.41663143038749695,0.4133751392364502,0.13572151958942413,0.3353942930698395,0.2056342512369156,0.37178951501846313
have,0.39246654510498047,0.2863433063030243,0.40389683842658997,0.06797206401824951,0.3802283704280853,0.16809751093387604,0.32991164922714233
forced,0.35712045431137085,0.21640066802501678,0.2571122944355011,0.10890146344900131,0.27082350850105286,0.1809384971857071,0.17547516524791718
that,0.45444270968437195,0.33670201897621155,0.5473989248275757,0.15647168457508087,0.41498205065727234,0.19930922985076904,0.32716336846351624
network,0.16999904811382294,0.1994880586862564,0.27187061309814453,0.19399282336235046,0.21800683438777924,0.4702880382537842,0.17853789031505585
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.1436357945203781,0.41548454761505127,0.16981691122055054,0.29463258385658264
sell,0.25129032135009766,0.2253432720899582,0.19874759018421173,0.22328084707260132,0.16354906558990479,0.09803421795368195,0.1556897759437561
its,0.1326070874929428,0.3518870174884796,0.559237003326416,0.1879892647266388,0.48690423369407654,0.18914800882339478,0.15103481709957123
new,0.2378052920103073,0.2748313844203949,0.3845241069793701,0.09884213656187057,0.343457967042923,0.17091993987560272,0.14782847464084625
york,0.23077517747879028,0.2746913433074951,0.3034006953239441,0.1551988124847412,0.23040355741977692,0.286899596452713,0.15262620151042938
city,0.21073515713214874,0.3188765048980713,0.35769423842430115,0.21777741611003876,0.32503411173820496,0.19040276110172272,0.13423943519592285
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.22729523479938507,0.5116966962814331,0.2054297775030136,0.20544172823429108
los,0.16645608842372894,0.24467623233795166,0.2502395510673523,0.12810741364955902,0.17343297600746155,0.23313911259174347,0.15495611727237701
angeles,0.1834455281496048,0.24987028539180756,0.24588194489479065,0.1778990477323532,0.16643567383289337,0.27480825781822205,0.16139166057109833
stations,0.18933221697807312,0.15012863278388977,0.24762700498104095,0.06825720518827438,0.20414425432682037,0.2841474115848541,0.13192185759544373
at,0.22096660733222961,0.36707764863967896,0.457212895154953,0.18102137744426727,0.42558613419532776,0.20168915390968323,0.21978627145290375
the,0.3733934462070465,0.48711544275283813,1.0,0.24715600907802582,0.733189046382904,0.2283918708562851,0.22068053483963013
very,0.34641316533088684,0.3183368146419525,0.34171217679977417,0.10638727247714996,0.34437474608421326,0.13888800144195557,0.20864155888557434
least,0.2801615297794342,0.20791326463222504,0.3428877890110016,0.05491683632135391,0.32696738839149475,0.14343775808811188,0.28866854310035706
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.18850034475326538,0.5352458953857422,0.2350580096244812,0.4130953550338745
