,what,is,the,number,of,constituency,msps,?
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2778518795967102,1.0,0.27602919936180115,0.32335641980171204,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.35145696997642517,0.733189046382904,0.21350570023059845,0.3199247419834137,0.22068053483963013
129,0.16580821573734283,0.10793724656105042,0.13178378343582153,0.12921638786792755,0.05058608949184418,0.069117471575737,0.15077932178974152,0.16383802890777588
msps,0.1885128617286682,0.24139109253883362,0.3199247419834137,0.2971419095993042,0.32335641980171204,0.5222222805023193,0.9999999403953552,0.14526908099651337
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2535701394081116,0.4946078956127167,0.20526570081710815,0.24289752542972565,0.31091248989105225
73,0.06067493557929993,-0.024584747850894928,0.01825747825205326,-0.049782201647758484,0.026385413482785225,0.06709004938602448,-0.014479301869869232,-0.079054094851017
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.3537501394748688,0.39081433415412903,0.1456686109304428,0.33991923928260803,0.24591213464736938
elected,0.16005432605743408,0.1221529170870781,0.23167964816093445,0.17495456337928772,0.2767166793346405,0.4715454876422882,0.4629737436771393,0.1966295689344406
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2706126868724823,0.41548454761505127,0.15225933492183685,0.23906059563159943,0.29463258385658264
represent,0.2515442371368408,0.2919517159461975,0.3288072943687439,0.30973705649375916,0.40416419506073,0.30134859681129456,0.3901403844356537,0.1972627341747284
first,0.28086137771606445,0.30889374017715454,0.49448907375335693,0.28294017910957336,0.3536086082458496,0.17519865930080414,0.223291277885437,0.18701928853988647
past,0.3538547456264496,0.2206672728061676,0.2747827172279358,0.24028833210468292,0.27417802810668945,0.14062213897705078,0.20864181220531464,0.2598046660423279
the,0.42745697498321533,0.5823672413825989,1.0,0.35145696997642517,0.733189046382904,0.21350570023059845,0.3199247419834137,0.22068053483963013
post,0.2384328991174698,0.168934166431427,0.26656362414360046,0.1529524177312851,0.20282196998596191,0.18952499330043793,0.2035863846540451,0.23729883134365082
constituencies,0.23140352964401245,0.23622655868530273,0.29003340005874634,0.2615332305431366,0.33327755331993103,0.8983712196350098,0.6102097034454346,0.11360672116279602
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.28545793890953064,0.5116966962814331,0.20801430940628052,0.2830604016780853,0.20544172823429108
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.3537501394748688,0.39081433415412903,0.1456686109304428,0.33991923928260803,0.24591213464736938
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.15307225286960602,0.35814476013183594,0.09044311195611954,0.20067685842514038,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.26786008477211,0.3886612355709076,0.13684368133544922,0.2611616849899292,0.27043893933296204
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.2640403211116791,0.06780257821083069,0.1094687357544899,0.2439134567975998,0.0685480609536171
constituency,0.1581810563802719,0.18986161053180695,0.21350570023059845,0.19694922864437103,0.27602919936180115,1.0,0.5222222805023193,0.05170569196343422
msps,0.1885128617286682,0.24139109253883362,0.3199247419834137,0.2971419095993042,0.32335641980171204,0.5222222805023193,0.9999999403953552,0.14526908099651337
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,-0.07258276641368866,0.13035868108272552,0.10573685169219971,-0.07969585806131363,0.018684765323996544
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.3256329298019409,0.5352458953857422,0.1726541519165039,0.23013411462306976,0.4130953550338745
