,what,did,astor,expect,the,money,be,used,for,?
in,0.30808621644973755,0.2593238651752472,0.21867625415325165,0.21071846783161163,0.6662389636039734,0.2393328845500946,0.3481820821762085,0.3090210556983948,0.4322226941585541,0.20430970191955566
1899,0.018272055312991142,0.02170962281525135,-0.14866529405117035,0.029093315824866295,-0.11493653059005737,0.05537983775138855,0.000758640409912914,0.06339588016271591,-0.03134295716881752,-0.09203046560287476
",",0.3087472915649414,0.3015086054801941,0.3132045865058899,0.21740008890628815,0.4933079481124878,0.24156853556632996,0.39254459738731384,0.3120402991771698,0.4464869201183319,0.31091248989105225
john,0.18237407505512238,0.18785913288593292,0.24896055459976196,0.18644140660762787,0.2230520099401474,0.18082590401172638,0.1672002226114273,0.10580982267856598,0.22649751603603363,0.13162356615066528
jacob,0.1719563603401184,0.1499553918838501,0.3663964867591858,0.09594963490962982,0.22024451196193695,0.18830734491348267,0.08258280903100967,0.09396445751190186,0.16698147356510162,0.11618305742740631
astor,0.14223936200141907,0.12745295464992523,1.0000001192092896,0.12281116098165512,0.2178436517715454,0.09219232201576233,0.14101102948188782,0.09354479610919952,0.18184232711791992,0.14222437143325806
iv,0.1177578791975975,0.10158560425043106,0.21802383661270142,0.14612099528312683,0.22478210926055908,0.1367640197277069,0.16278265416622162,0.14999648928642273,0.11562367528676987,0.16932271420955658
invested,0.1746833473443985,0.2700634300708771,0.21756385266780853,0.2675957977771759,0.22607377171516418,0.5289795994758606,0.2456081509590149,0.21059006452560425,0.2904684841632843,0.13308873772621155
$,0.24858909845352173,0.23203131556510925,0.1484498232603073,0.2473566085100174,0.23367542028427124,0.49513715505599976,0.2080300748348236,0.11208070814609528,0.22711659967899323,0.2786129117012024
"100,000",0.05318872258067131,0.10198205709457397,0.07559937238693237,0.10869039595127106,0.12082944065332413,0.11984963715076447,0.07147618383169174,0.028027057647705078,0.10691379755735397,0.035472359508275986
for,0.3017193675041199,0.318512886762619,0.18184232711791992,0.31170618534088135,0.4739971458911896,0.3105318546295166,0.3801851272583008,0.4236139953136444,0.9999999403953552,0.264628142118454
tesla,0.23221199214458466,0.09757418930530548,0.14406681060791016,0.19089442491531372,0.1324402391910553,0.1636640876531601,0.15180771052837372,0.226042702794075,0.13983871042728424,0.10250775516033173
to,0.455847829580307,0.4452643394470215,0.20034965872764587,0.3964124023914337,0.535392165184021,0.3124290704727173,0.4972836375236511,0.40058770775794983,0.4451248347759247,0.29463258385658264
further,0.30867868661880493,0.216647207736969,0.047050945460796356,0.2914074957370758,0.32531118392944336,0.17270435392856598,0.41813594102859497,0.13153591752052307,0.26543480157852173,0.20960763096809387
develop,0.20962175726890564,0.21923236548900604,0.11736433953046799,0.26667025685310364,0.26276466250419617,0.15986239910125732,0.27444928884506226,0.2890271544456482,0.2540854215621948,0.15784582495689392
and,0.31309178471565247,0.34479495882987976,0.22594130039215088,0.2746245265007019,0.5171257257461548,0.3070235550403595,0.41766801476478577,0.3150506615638733,0.5064792633056641,0.20544172823429108
produce,0.1685742735862732,0.21033655107021332,0.08993999660015106,0.2846378982067108,0.23457570374011993,0.2073962390422821,0.35276663303375244,0.35044559836387634,0.24403390288352966,0.19229066371917725
a,0.3320399522781372,0.2552328109741211,0.2129538208246231,0.3019236922264099,0.5829201340675354,0.2777978479862213,0.39883795380592346,0.3864384889602661,0.44038116931915283,0.23916715383529663
new,0.2130378633737564,0.227974995970726,0.2150687426328659,0.16208751499652863,0.3845241069793701,0.2387741506099701,0.22046978771686554,0.154256209731102,0.2700757384300232,0.14782847464084625
lighting,0.2408788651227951,0.19960185885429382,0.12232080101966858,0.12234678864479065,0.2831954061985016,0.21066875755786896,0.2795335352420807,0.34083640575408936,0.2702728807926178,0.13502714037895203
system,0.23557309806346893,0.1967303454875946,0.02368590235710144,0.12252195924520493,0.3233085572719574,0.17691157758235931,0.24878063797950745,0.27983206510543823,0.2630598843097687,0.15556083619594574
.,0.3567904531955719,0.35288307070732117,0.30079877376556396,0.24678824841976166,0.5934505462646484,0.2570818066596985,0.4383580684661865,0.33111312985420227,0.4726039469242096,0.4130953550338745
