,how,did,huguenots,evolve,their,religious,beliefs,in,the,new,world,?
most,0.311336874961853,0.2822507321834564,0.22474531829357147,0.2413831204175949,0.3699820935726166,0.1754503846168518,0.19402346014976501,0.41416558623313904,0.47635307908058167,0.23625826835632324,0.33157554268836975,0.2107497900724411
of,0.2480744868516922,0.2513895630836487,0.27577435970306396,0.22234566509723663,0.4329940676689148,0.2958606779575348,0.2516281008720398,0.5696388483047485,0.733189046382904,0.343457967042923,0.2828933000564575,0.1826142966747284
the,0.33890387415885925,0.34736719727516174,0.30745792388916016,0.2571829855442047,0.516537070274353,0.22950971126556396,0.2159741371870041,0.6662389636039734,1.0,0.3845241069793701,0.33604270219802856,0.22068053483963013
huguenot,0.17130905389785767,0.22897696495056152,0.9459913372993469,0.09728621691465378,0.2711643874645233,0.3950275480747223,0.3297436237335205,0.26198551058769226,0.29557526111602783,0.20695649087429047,0.1958485245704651,0.1359742432832718
congregations,0.14111115038394928,0.19284383952617645,0.43240535259246826,0.14609672129154205,0.24933701753616333,0.5031511783599854,0.4649133086204529,0.23420320451259613,0.28595808148384094,0.1963282823562622,0.22026193141937256,0.18817296624183655
(,0.1676948219537735,0.18979617953300476,0.15251360833644867,0.1062232106924057,0.15721023082733154,0.15090744197368622,0.152211993932724,0.3087427020072937,0.33289089798927307,0.24608564376831055,0.22099611163139343,0.40561532974243164
or,0.3378981947898865,0.28211739659309387,0.17725598812103271,0.2559089660644531,0.42146000266075134,0.2404305636882782,0.24087484180927277,0.3586423695087433,0.4174870550632477,0.1627417951822281,0.16884274780750275,0.32389625906944275
individuals,0.32629096508026123,0.18585044145584106,0.26044443249702454,0.3736337423324585,0.45540374517440796,0.30829641222953796,0.35365059971809387,0.22240658104419708,0.3022412955760956,0.1730378419160843,0.24783514440059662,0.20243582129478455
),0.17939934134483337,0.18584993481636047,0.16255038976669312,0.08177509903907776,0.1549641638994217,0.20548176765441895,0.16925470530986786,0.3326910734176636,0.3456730246543884,0.253329336643219,0.22386978566646576,0.42300865054130554
in,0.2601168751716614,0.2593238651752472,0.25916293263435364,0.16849663853645325,0.34976133704185486,0.24099457263946533,0.19265426695346832,1.0,0.6662389636039734,0.3758552670478821,0.3038199245929718,0.20430970191955566
north,0.12114071100950241,0.16732536256313324,0.24482622742652893,0.06740961968898773,0.14030487835407257,0.10068616271018982,0.1159670352935791,0.39050599932670593,0.36298373341560364,0.24270093441009521,0.21830034255981445,0.11829731613397598
america,0.19301444292068481,0.2212076634168625,0.18316443264484406,0.18794578313827515,0.24297001957893372,0.1627649962902069,0.1434958279132843,0.3098583221435547,0.37090015411376953,0.27665242552757263,0.3505486249923706,0.19333907961845398
eventually,0.29669713973999023,0.36719876527786255,0.30609792470932007,0.2735499143600464,0.34380966424942017,0.11824731528759003,0.19721370935440063,0.3575967252254486,0.42022404074668884,0.27315011620521545,0.23197107017040253,0.13642115890979767
affiliated,0.07409363240003586,0.18545009195804596,0.25455567240715027,0.1026003435254097,0.24248342216014862,0.26011037826538086,0.3021717071533203,0.23517076671123505,0.2365114837884903,0.14774955809116364,0.21770240366458893,0.09345421195030212
with,0.3525622487068176,0.25472134351730347,0.20256154239177704,0.23921245336532593,0.4258328378200531,0.16567319631576538,0.24666529893875122,0.4080928862094879,0.4223487675189972,0.24325589835643768,0.2832821011543274,0.2433311939239502
other,0.3591516315937042,0.31707024574279785,0.213627889752388,0.30526378750801086,0.456295371055603,0.258376806974411,0.27078163623809814,0.39989137649536133,0.44152235984802246,0.2957918047904968,0.2941931188106537,0.24682199954986572
protestant,0.15037773549556732,0.23091652989387512,0.5519246459007263,0.1439533680677414,0.21788890659809113,0.5647444128990173,0.4695059061050415,0.2637297511100769,0.2679212689399719,0.2659754157066345,0.13465802371501923,0.14798137545585632
denominations,0.16990141570568085,0.1763913929462433,0.33084648847579956,0.2296677529811859,0.23897945880889893,0.46787625551223755,0.5020843148231506,0.20370835065841675,0.2641148269176483,0.2164498120546341,0.2134670913219452,0.2765534520149231
with,0.3525622487068176,0.25472134351730347,0.20256154239177704,0.23921245336532593,0.4258328378200531,0.16567319631576538,0.24666529893875122,0.4080928862094879,0.4223487675189972,0.24325589835643768,0.2832821011543274,0.2433311939239502
more,0.4319567084312439,0.2803135812282562,0.2068241387605667,0.29236555099487305,0.36147117614746094,0.19435161352157593,0.21746116876602173,0.32563260197639465,0.39758381247520447,0.3023035526275635,0.2228250652551651,0.27894994616508484
numerous,0.18753044307231903,0.18944735825061798,0.19247232377529144,0.2096307873725891,0.3015548586845398,0.18506257236003876,0.20008738338947296,0.30740252137184143,0.3353725075721741,0.24170009791851044,0.26782575249671936,0.0875130444765091
members,0.20418256521224976,0.21391335129737854,0.27230414748191833,0.13915470242500305,0.32611769437789917,0.17317861318588257,0.25928184390068054,0.196792870759964,0.3321719169616699,0.16250306367874146,0.22200432419776917,0.10212311148643494
.,0.3287222981452942,0.35288307070732117,0.2170230895280838,0.250874400138855,0.34427863359451294,0.23880675435066223,0.2569824457168579,0.5591574311256409,0.5934505462646484,0.35031336545944214,0.3177160322666168,0.4130953550338745
