,what,was,the,brazilian,french,colony,called,?
[,0.010752761736512184,0.03263993561267853,0.07130392640829086,0.08333099633455276,-6.680169462924823e-05,-0.0006208682316355407,0.0023308666422963142,0.011015460826456547
citation,0.26448965072631836,0.17611537873744965,0.2536581754684448,0.12906865775585175,0.14598697423934937,0.09182698279619217,0.04305390268564224,0.3382055461406708
needed,0.3631289601325989,0.227164626121521,0.3064746856689453,0.14356756210327148,0.12121010571718216,0.15027819573879242,0.26120099425315857,0.2863257825374603
],-0.03775298595428467,0.0001094614781322889,-0.04779602214694023,0.012361045926809311,-0.00754176452755928,-0.07476583868265152,0.0610046349465847,-0.0022520492784678936
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.22105634212493896,0.24285779893398285,0.20176295936107635,0.4868806302547455,0.23916715383529663
group,0.2114069163799286,0.1789962202310562,0.30795547366142273,0.1805996596813202,0.10596541315317154,0.18013304471969604,0.3319643437862396,0.13827809691429138
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.16731049120426178,0.19450366497039795,0.2552715241909027,0.4222904443740845,0.1826142966747284
huguenots,0.22128188610076904,0.20650696754455566,0.30745792388916016,0.18040208518505096,0.4879878759384155,0.35270920395851135,0.17146770656108856,0.16010338068008423
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.19794660806655884,0.2523815333843231,0.25879696011543274,0.33927658200263977,0.18412111699581146
part,0.3476244807243347,0.3407018780708313,0.527681291103363,0.14621387422084808,0.1543947458267212,0.20550067722797394,0.4405199885368347,0.08557961881160736
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.16731049120426178,0.19450366497039795,0.2552715241909027,0.4222904443740845,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.16921663284301758,0.2555147111415863,0.2740810811519623,0.489897221326828,0.22068053483963013
french,0.17393042147159576,0.2523815333843231,0.2555147111415863,0.3369976878166199,1.0000001192092896,0.2202957570552826,0.1918148696422577,0.1386883556842804
colonisers,0.27306562662124634,0.2947017252445221,0.3429838716983795,0.16106246411800385,0.27753570675849915,0.6618723273277283,0.28496047854423523,0.2211390733718872
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.22572512924671173,0.2756427824497223,0.19062858819961548,0.3151143789291382,0.26220351457595825
arrived,0.25085949897766113,0.363562673330307,0.279670387506485,0.11164568364620209,0.14518405497074127,0.371878445148468,0.23968687653541565,0.1681029200553894
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.1531604379415512,0.22093388438224792,0.25087448954582214,0.40847352147102356,0.20430970191955566
brazil,0.16803036630153656,0.14032146334648132,0.21643289923667908,0.7287834882736206,0.2335377335548401,0.23493823409080505,0.1070464700460434,0.14306876063346863
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.1531604379415512,0.22093388438224792,0.25087448954582214,0.40847352147102356,0.20430970191955566
1555,-0.17080768942832947,-0.0855865553021431,-0.11039267480373383,0.07938335835933685,0.071668840944767,-0.0618973970413208,0.02796836383640766,-0.16605223715305328
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.09528551250696182,0.1713797152042389,0.27651169896125793,0.2987143397331238,0.29463258385658264
found,0.1796332150697708,0.18447895348072052,0.3452354073524475,0.11220041662454605,0.14559724926948547,0.19003719091415405,0.28498178720474243,0.16790300607681274
france,0.17793065309524536,0.2715669870376587,0.35517507791519165,0.20942142605781555,0.5492131114006042,0.23503802716732025,0.1885128766298294,0.15069349110126495
antarctique,0.21549738943576813,0.16866548359394073,0.253217488527298,0.25351518392562866,0.3229318857192993,0.31271928548812866,0.2560414671897888,0.19199243187904358
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2122984230518341,0.2480926215648651,0.23889021575450897,0.300344854593277,0.4130953550338745
