,how,high,was,the,stone,wall,built,around,newcastle,in,the,13th,century,?
a,0.29312583804130554,0.22865821421146393,0.4508470594882965,0.5829201340675354,0.2436634749174118,0.2142888605594635,0.23064446449279785,0.3187784254550934,0.21405641734600067,0.539380669593811,0.5829201340675354,0.16864866018295288,0.19417014718055725,0.23916715383529663
25-foot,0.22285446524620056,0.2424040138721466,0.24344077706336975,0.3253704011440277,0.2842351794242859,0.2881624102592468,0.10407116264104843,0.20109011232852936,0.23783406615257263,0.2964310944080353,0.3253704011440277,0.2588683068752289,0.22136664390563965,0.2836754322052002
(,0.1676948219537735,0.20521607995033264,0.2980341613292694,0.33289089798927307,0.1926558017730713,0.13776162266731262,0.16360275447368622,0.20733319222927094,0.13896974921226501,0.3087427020072937,0.33289089798927307,0.22886508703231812,0.15864071249961853,0.40561532974243164
7.6,0.0053261094726622105,0.03993697836995125,-0.047679126262664795,-0.0037223685067147017,-0.030611928552389145,-0.02617480978369713,-0.02601420320570469,-0.10906947404146194,-0.07101616263389587,-0.026927318423986435,-0.0037223685067147017,-0.02916785702109337,0.03256895765662193,-0.01643252931535244
m,0.17182649672031403,0.1866799145936966,0.19339345395565033,0.15156042575836182,0.12753795087337494,0.12473125010728836,0.17387200891971588,0.19770963490009308,0.1310506910085678,0.12893682718276978,0.15156042575836182,0.24797575175762177,0.0768960639834404,0.2618667185306549
),0.17939934134483337,0.18911464512348175,0.3267642855644226,0.3456730246543884,0.18307669460773468,0.1643202006816864,0.159846693277359,0.22742246091365814,0.15254424512386322,0.3326910734176636,0.3456730246543884,0.24357657134532928,0.14800427854061127,0.42300865054130554
high,0.16700881719589233,1.0,0.19978567957878113,0.28034812211990356,0.1737552434206009,0.19884677231311798,0.22585417330265045,0.21711164712905884,0.17259268462657928,0.2652597725391388,0.28034812211990356,0.14856138825416565,0.16461768746376038,0.11137914657592773
stone,0.18363705277442932,0.1737552434206009,0.24110914766788483,0.2695024907588959,1.0000001192092896,0.30162277817726135,0.22638645768165588,0.1920326054096222,0.13351041078567505,0.20180901885032654,0.2695024907588959,0.178739532828331,0.21384701132774353,0.11966012418270111
wall,0.12499620765447617,0.19884677231311798,0.1891382783651352,0.3003387749195099,0.30162277817726135,1.0000001192092896,0.25658777356147766,0.27125903964042664,0.15787525475025177,0.22622939944267273,0.3003387749195099,0.10212121903896332,0.18736040592193604,0.06349854171276093
was,0.16678167879581451,0.19978567957878113,1.0000001192092896,0.48711544275283813,0.24110914766788483,0.1891382783651352,0.3424932360649109,0.24039418995380402,0.25710436701774597,0.45514053106307983,0.48711544275283813,0.15393486618995667,0.3521432876586914,0.18412111699581146
built,0.16975881159305573,0.22585417330265045,0.3424932360649109,0.2950156033039093,0.22638645768165588,0.25658777356147766,1.0000001192092896,0.29944562911987305,0.21985043585300446,0.25829681754112244,0.2950156033039093,0.13302598893642426,0.30604833364486694,0.09449632465839386
around,0.3297552764415741,0.21711164712905884,0.24039418995380402,0.40085816383361816,0.1920326054096222,0.27125903964042664,0.29944562911987305,1.0,0.19274786114692688,0.41294145584106445,0.40085816383361816,0.14964506030082703,0.3026770353317261,0.14729668200016022
the,0.33890387415885925,0.28034812211990356,0.48711544275283813,1.0,0.2695024907588959,0.3003387749195099,0.2950156033039093,0.40085816383361816,0.2253497689962387,0.6662389636039734,1.0,0.22850602865219116,0.3617299497127533,0.22068053483963013
town,0.08823008835315704,0.18861550092697144,0.26823142170906067,0.2974243760108948,0.19620688259601593,0.1757437288761139,0.28081145882606506,0.25977617502212524,0.3030468225479126,0.34975525736808777,0.2974243760108948,0.27965688705444336,0.24929578602313995,0.09902279824018478
in,0.2601168751716614,0.2652597725391388,0.45514053106307983,0.6662389636039734,0.20180901885032654,0.22622939944267273,0.25829681754112244,0.41294145584106445,0.19270820915699005,1.0,0.6662389636039734,0.18973228335380554,0.3174034655094147,0.20430970191955566
the,0.33890387415885925,0.28034812211990356,0.48711544275283813,1.0,0.2695024907588959,0.3003387749195099,0.2950156033039093,0.40085816383361816,0.2253497689962387,0.6662389636039734,1.0,0.22850602865219116,0.3617299497127533,0.22068053483963013
13th,0.1522783637046814,0.14856138825416565,0.15393486618995667,0.22850602865219116,0.178739532828331,0.10212121903896332,0.13302598893642426,0.14964506030082703,0.19772270321846008,0.18973228335380554,0.22850602865219116,1.0,0.2246733456850052,0.16515761613845825
century,0.1569085419178009,0.16461768746376038,0.3521432876586914,0.3617299497127533,0.21384701132774353,0.18736040592193604,0.30604833364486694,0.3026770353317261,0.17024719715118408,0.3174034655094147,0.3617299497127533,0.2246733456850052,1.0,0.1026201918721199
",",0.22659391164779663,0.27938312292099,0.45456063747406006,0.4933079481124878,0.2640876770019531,0.21039406955242157,0.22658206522464752,0.3298884332180023,0.251589834690094,0.5201468467712402,0.4933079481124878,0.22206543385982513,0.24487493932247162,0.31091248989105225
to,0.44169697165489197,0.28947713971138,0.3636345863342285,0.535392165184021,0.19767935574054718,0.19872087240219116,0.2183011770248413,0.3591267168521881,0.23559264838695526,0.45010748505592346,0.535392165184021,0.18167400360107422,0.20143604278564453,0.29463258385658264
defend,0.1746169626712799,0.13155142962932587,0.19696219265460968,0.2784505784511566,0.16851243376731873,0.23241804540157318,0.20874279737472534,0.1930578202009201,0.2195959985256195,0.25465187430381775,0.2784505784511566,0.017287664115428925,0.11322079598903656,0.21878457069396973
it,0.36714982986450195,0.22461844980716705,0.4577186405658722,0.6251175999641418,0.21560081839561462,0.2298247367143631,0.28878268599510193,0.4002610445022583,0.17789338529109955,0.5130809545516968,0.6251175999641418,0.21288663148880005,0.2796405553817749,0.25732165575027466
from,0.22939439117908478,0.193696990609169,0.31171464920043945,0.40150508284568787,0.2036299705505371,0.22894826531410217,0.15788282454013824,0.3577364683151245,0.1747848093509674,0.4274188280105591,0.40150508284568787,0.11994167417287827,0.24901773035526276,0.19969791173934937
invaders,0.18535029888153076,0.11129913479089737,0.25140392780303955,0.3860124945640564,0.20117667317390442,0.2821711599826813,0.3187229037284851,0.296046644449234,0.21844267845153809,0.2489544153213501,0.3860124945640564,0.07624974846839905,0.2756485641002655,0.18769101798534393
during,0.26830652356147766,0.16778922080993652,0.4470829963684082,0.4838213622570038,0.17954576015472412,0.21343013644218445,0.2613257169723511,0.39122623205184937,0.13816462457180023,0.4627237319946289,0.4838213622570038,0.042351026087999344,0.32223591208457947,0.1325719803571701
the,0.33890387415885925,0.28034812211990356,0.48711544275283813,1.0,0.2695024907588959,0.3003387749195099,0.2950156033039093,0.40085816383361816,0.2253497689962387,0.6662389636039734,1.0,0.22850602865219116,0.3617299497127533,0.22068053483963013
border,0.17563492059707642,0.14339660108089447,0.15863363444805145,0.2856229841709137,0.16414690017700195,0.1869974285364151,0.21362636983394623,0.19898192584514618,0.20270083844661713,0.28533756732940674,0.2856229841709137,0.2463844269514084,0.17116522789001465,0.1706928312778473
war,0.22947508096694946,0.17565183341503143,0.3560331463813782,0.366199791431427,0.1811514049768448,0.13815444707870483,0.23055621981620789,0.2346925139427185,0.08654095232486725,0.29904094338417053,0.366199791431427,0.09218057990074158,0.2535732686519623,0.15510529279708862
against,0.22421614825725555,0.15864528715610504,0.22972732782363892,0.3090755045413971,0.1724177896976471,0.2306598275899887,0.1266983449459076,0.18956869840621948,0.2031492292881012,0.27273955941200256,0.3090755045413971,0.05622008442878723,0.127406507730484,0.18095137178897858
scotland,0.1224040538072586,0.1285833716392517,0.17744721472263336,0.23846951127052307,0.18084055185317993,0.16772839426994324,0.19310180842876434,0.1916445642709732,0.3324686884880066,0.24716059863567352,0.23846951127052307,0.20306062698364258,0.1318369209766388,0.09160218387842178
.,0.3287222981452942,0.24301011860370636,0.40146201848983765,0.5934505462646484,0.2792670428752899,0.24395984411239624,0.2374027520418167,0.3712388277053833,0.2714749276638031,0.5591574311256409,0.5934505462646484,0.2164275199174881,0.27413639426231384,0.4130953550338745
