,what,sort,of,engines,utilized,the,yarrow-schlick-tweedy,balancing,system,?
in,0.30808621644973755,0.20928911864757538,0.5696388483047485,0.18084456026554108,0.21513785421848297,0.6662389636039734,0.2656446099281311,0.25563758611679077,0.21978288888931274,0.20430970191955566
the,0.42745697498321533,0.31158876419067383,0.733189046382904,0.2245008647441864,0.21133577823638916,1.0,0.3265240788459778,0.34238383173942566,0.3233085572719574,0.22068053483963013
late,0.1576872020959854,0.0934303030371666,0.21690747141838074,0.1462334394454956,0.187421515583992,0.31481194496154785,0.26180341839790344,0.1775761991739273,0.2290036529302597,0.11339222639799118
19th,0.11525199562311172,0.16478870809078217,0.16605104506015778,0.14128632843494415,0.19062839448451996,0.24964287877082825,0.23014326393604279,0.14966829121112823,0.13870440423488617,0.004712673369795084
century,0.20422613620758057,0.21065174043178558,0.2826060354709625,0.15469561517238617,0.17206387221813202,0.3617299497127533,0.2634422481060028,0.17638684809207916,0.17907974123954773,0.1026201918721199
",",0.3087472915649414,0.21703937649726868,0.4946078956127167,0.20245449244976044,0.17491072416305542,0.4933079481124878,0.37509575486183167,0.2565169334411621,0.18439900875091553,0.31091248989105225
the,0.42745697498321533,0.31158876419067383,0.733189046382904,0.2245008647441864,0.21133577823638916,1.0,0.3265240788459778,0.34238383173942566,0.3233085572719574,0.22068053483963013
yarrow-schlick-tweedy,0.2421625703573227,0.25569161772727966,0.2996017336845398,0.2270723432302475,0.2566603124141693,0.3265240788459778,1.0,0.22049766778945923,0.16915343701839447,0.23404917120933533
balancing,0.26671549677848816,0.3089075982570648,0.3157311975955963,0.2546047866344452,0.2867179214954376,0.34238383173942566,0.22049766778945923,0.9999999403953552,0.2562384307384491,0.24258258938789368
'system,0.2265632003545761,0.22516509890556335,0.2348734438419342,0.2602999210357666,0.37687283754348755,0.27583110332489014,0.2735500931739807,0.2765128016471863,0.8882012963294983,0.2222968190908432
',0.3245812654495239,0.20960721373558044,0.39136970043182373,0.15147249400615692,0.09582118690013885,0.474788099527359,0.2867121398448944,0.17410868406295776,0.15434524416923523,0.330942302942276
was,0.22111038863658905,0.12260091304779053,0.4069072902202606,0.18948708474636078,0.17620034515857697,0.48711544275283813,0.25663259625434875,0.20200280845165253,0.2147521674633026,0.18412111699581146
used,0.27546408772468567,0.33937495946884155,0.3075267970561981,0.2519303560256958,0.3838517367839813,0.3718377649784088,0.2713063657283783,0.27658262848854065,0.27983206510543823,0.22430120408535004
on,0.34226128458976746,0.24071885645389557,0.3966929316520691,0.19385121762752533,0.20549115538597107,0.5107308030128479,0.26454588770866394,0.25562915205955505,0.21675898134708405,0.2714994251728058
some,0.4491020441055298,0.3505491018295288,0.4300730526447296,0.2136966586112976,0.29968592524528503,0.4566698372364044,0.31507179141044617,0.3290216326713562,0.26198622584342957,0.2562315762042999
marine,0.15737493336200714,0.18698722124099731,0.24999871850013733,0.1420617550611496,0.21634115278720856,0.2547752857208252,0.3006550669670105,0.1322513371706009,0.14977160096168518,0.1407923698425293
triple,0.1699010133743286,0.2025834023952484,0.19114786386489868,0.06898585706949234,0.2248353660106659,0.23220868408679962,0.23247846961021423,0.17368818819522858,0.15044809877872467,0.10550399124622345
expansion,0.2671823799610138,0.2423652559518814,0.24185356497764587,0.2381553053855896,0.23661203682422638,0.31353142857551575,0.1497722715139389,0.24743227660655975,0.24165496230125427,0.18286365270614624
engines,0.1634974628686905,0.11602676659822464,0.17593856155872345,1.0000001192092896,0.2982030212879181,0.2245008647441864,0.2270723432302475,0.2546047866344452,0.2097284197807312,0.18940703570842743
.,0.3567904531955719,0.24213188886642456,0.5352458953857422,0.24894580245018005,0.2132994383573532,0.5934505462646484,0.34455606341362,0.2721911072731018,0.2277725487947464,0.4130953550338745
