,how,much,of,the,population,is,hindu,?
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.6662389636039734,0.3268454372882843,0.5394441485404968,0.18382437527179718,0.20430970191955566
addition,0.24312371015548706,0.26854225993156433,0.27503931522369385,0.32955414056777954,0.18360738456249237,0.2727152407169342,0.08823763579130173,0.19187232851982117
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.4691906273365021,0.23353105783462524,0.31091248989105225
there,0.3328511416912079,0.31076255440711975,0.44397735595703125,0.47025805711746216,0.30312415957450867,0.3904260993003845,0.20635025203227997,0.29405656456947327
is,0.22544461488723755,0.3156087100505829,0.4854315221309662,0.5823672413825989,0.2727566361427307,1.0,0.16499918699264526,0.22961433231830597
a,0.29312583804130554,0.2958075702190399,0.5052502155303955,0.5829201340675354,0.2345738559961319,0.658733606338501,0.24803505837917328,0.23916715383529663
large,0.21342547237873077,0.35420098900794983,0.3569655418395996,0.3828733265399933,0.279382586479187,0.2971126437187195,0.19191224873065948,0.1355665624141693
hindu,0.20816709101200104,0.16095776855945587,0.26595473289489746,0.24637815356254578,0.1807100921869278,0.16499918699264526,1.0000001192092896,0.14208142459392548
population,0.1651063710451126,0.21015548706054688,0.3060894012451172,0.32044094800949097,1.0,0.2727566361427307,0.1807100921869278,0.14449454843997955
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.6662389636039734,0.3268454372882843,0.5394441485404968,0.18382437527179718,0.20430970191955566
kenya,0.17591707408428192,0.08246253430843353,0.22226637601852417,0.21657514572143555,0.20777837932109833,0.17591087520122528,0.1706385761499405,0.17197901010513306
(,0.1676948219537735,0.21788647770881653,0.35032153129577637,0.33289089798927307,0.14130665361881256,0.35393038392066956,0.13217976689338684,0.40561532974243164
around,0.3297552764415741,0.3766762316226959,0.3296394646167755,0.40085816383361816,0.28779906034469604,0.286477267742157,0.23139752447605133,0.14729668200016022
"300,000",0.12202318757772446,0.012006468139588833,0.25489893555641174,0.22540529072284698,-0.04942377656698227,0.17189139127731323,0.07280491292476654,0.05797545239329338
),0.17939934134483337,0.22256317734718323,0.3680361211299896,0.3456730246543884,0.1573704034090042,0.37732169032096863,0.17224225401878357,0.42300865054130554
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.4691906273365021,0.23353105783462524,0.31091248989105225
who,0.4070430099964142,0.2998695373535156,0.2827862501144409,0.3733934462070465,0.1931699961423874,0.24293622374534607,0.2119148224592209,0.26220351457595825
have,0.4370637536048889,0.440376877784729,0.3802283704280853,0.40389683842658997,0.19700278341770172,0.3613572418689728,0.17975670099258423,0.32991164922714233
played,0.11035697907209396,0.06353285163640976,0.21120788156986237,0.2603478729724884,0.0937439352273941,0.2258751392364502,0.10828214883804321,0.14096300303936005
a,0.29312583804130554,0.2958075702190399,0.5052502155303955,0.5829201340675354,0.2345738559961319,0.658733606338501,0.24803505837917328,0.23916715383529663
key,0.1603579819202423,0.20035865902900696,0.24036972224712372,0.2260027974843979,0.1320764273405075,0.23925143480300903,0.054377954453229904,0.18782930076122284
role,0.19391292333602905,0.22123578190803528,0.1797693818807602,0.26607486605644226,0.1527126431465149,0.20847192406654358,0.1142055094242096,0.18676944077014923
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.6662389636039734,0.3268454372882843,0.5394441485404968,0.18382437527179718,0.20430970191955566
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.32044094800949097,0.5823672413825989,0.24637815356254578,0.22068053483963013
local,0.1895620971918106,0.13081760704517365,0.20668989419937134,0.2130540907382965,0.18809747695922852,0.13173899054527283,0.18788789212703705,0.15022775530815125
economy,0.24316272139549255,0.31323134899139404,0.2583308815956116,0.24644890427589417,0.35615074634552,0.2698528468608856,0.15061083436012268,0.11486924439668655
;,0.07230665534734726,0.128553569316864,0.054534342139959335,0.09152708947658539,0.03516978397965431,0.05324986204504967,0.06629675626754761,0.10349778085947037
they,0.43247655034065247,0.39154937863349915,0.3426007330417633,0.49925389885902405,0.15691593289375305,0.330102801322937,0.153945654630661,0.2753053903579712
are,0.311818927526474,0.2937524914741516,0.39081433415412903,0.40399202704429626,0.20790868997573853,0.5330929756164551,0.1553678661584854,0.24591213464736938
mostly,0.25601688027381897,0.3887731730937958,0.2964755594730377,0.3490641117095947,0.23442748188972473,0.35184943675994873,0.1793954223394394,0.09124795347452164
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.3060894012451172,0.4854315221309662,0.26595473289489746,0.1826142966747284
indian,0.11030323803424835,0.18129819631576538,0.24303589761257172,0.23407642543315887,0.1285257488489151,0.18886174261569977,0.5210683941841125,0.09909533709287643
origin,0.1764616072177887,0.21246978640556335,0.23941168189048767,0.24161343276500702,0.2512357234954834,0.22072334587574005,0.18801887333393097,0.12716172635555267
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.26950228214263916,0.4569662809371948,0.25990793108940125,0.4130953550338745
