,in,august,1994,",",which,flint,",",michigan,affiliate,did,abc,purchase,?
on,0.46853652596473694,0.3564905822277069,0.09642791002988815,0.49057599902153015,0.4245251417160034,0.12884709239006042,0.49057599902153015,0.21010690927505493,0.24123993515968323,0.2670976221561432,0.2862928807735443,0.22003348171710968,0.2714994251728058
august,0.24307909607887268,1.0,0.2730009853839874,0.4532424807548523,0.15244188904762268,0.06838080286979675,0.4532424807548523,0.15897373855113983,0.1706661880016327,0.26378265023231506,0.1717352569103241,0.1312931478023529,0.3006744682788849
29,0.32363882660865784,0.25960254669189453,-0.05125616863369942,0.42877596616744995,0.3987823724746704,0.24871288239955902,0.42877596616744995,0.31914281845092773,0.3436822295188904,0.2972381114959717,0.3330092430114746,0.22628459334373474,0.38368016481399536
",",0.5201468467712402,0.4532424807548523,0.14125534892082214,1.0000001192092896,0.3658004403114319,0.2686614692211151,1.0000001192092896,0.2384677231311798,0.20519042015075684,0.3015086054801941,0.2097204476594925,0.220005065202713,0.31091248989105225
1994,0.007567534223198891,0.2730009853839874,1.0000001192092896,0.14125534892082214,-0.13012166321277618,-0.10891871899366379,0.14125534892082214,-0.01019143033772707,0.04149165749549866,0.18745069205760956,-0.004996607080101967,0.07709477096796036,0.12888094782829285
",",0.5201468467712402,0.4532424807548523,0.14125534892082214,1.0000001192092896,0.3658004403114319,0.2686614692211151,1.0000001192092896,0.2384677231311798,0.20519042015075684,0.3015086054801941,0.2097204476594925,0.220005065202713,0.31091248989105225
abc,0.1697147786617279,0.1717352569103241,-0.004996607080101967,0.2097204476594925,0.1991286277770996,0.15338873863220215,0.2097204476594925,0.20345397293567657,0.2614424228668213,0.13353709876537323,1.0000001192092896,0.2114780843257904,0.19065172970294952
purchased,0.18043512105941772,0.12160485982894897,0.05396159365773201,0.2132149636745453,0.22792038321495056,0.16917280852794647,0.2132149636745453,0.19309990108013153,0.23522929847240448,0.19566655158996582,0.22144027054309845,0.8427236080169678,0.04121813923120499
flint,0.18128423392772675,0.06838080286979675,-0.10891871899366379,0.2686614692211151,0.1864081174135208,1.0,0.2686614692211151,0.3908567428588867,0.1290021687746048,0.10609642416238785,0.15338873863220215,0.16831208765506744,0.14264273643493652
",",0.5201468467712402,0.4532424807548523,0.14125534892082214,1.0000001192092896,0.3658004403114319,0.2686614692211151,1.0000001192092896,0.2384677231311798,0.20519042015075684,0.3015086054801941,0.2097204476594925,0.220005065202713,0.31091248989105225
michigan,0.24847327172756195,0.15897373855113983,-0.01019143033772707,0.2384677231311798,0.16182228922843933,0.3908567428588867,0.2384677231311798,0.9999999403953552,0.2875647246837616,0.12403281778097153,0.20345397293567657,0.23489242792129517,0.14278551936149597
affiliate,0.2081480771303177,0.1706661880016327,0.04149165749549866,0.20519042015075684,0.13397137820720673,0.1290021687746048,0.20519042015075684,0.2875647246837616,0.9999999403953552,0.18106409907341003,0.2614424228668213,0.2376389354467392,0.10958297550678253
wjrt-tv,0.2036275416612625,0.20381653308868408,0.10375923663377762,0.19393061101436615,0.2027134895324707,0.07696917653083801,0.19393061101436615,0.12105132639408112,0.3001064956188202,0.12887422740459442,0.32452863454818726,0.1078086644411087,0.21733494102954865
and,0.4954058527946472,0.2596009075641632,-0.022647447884082794,0.6633074283599854,0.506277859210968,0.23976753652095795,0.6633074283599854,0.2346249222755432,0.19473032653331757,0.34479495882987976,0.16453155875205994,0.1929796040058136,0.20544172823429108
wtvg,0.15406902134418488,0.2687380909919739,-0.020066196098923683,0.18114373087882996,0.2505115866661072,0.05635245889425278,0.18114373087882996,0.13054025173187256,0.2755674123764038,0.1869214028120041,0.16927088797092438,0.13269919157028198,0.39784520864486694
in,1.0,0.24307909607887268,0.007567534223198891,0.5201468467712402,0.4840516746044159,0.18128423392772675,0.5201468467712402,0.24847327172756195,0.2081480771303177,0.2593238651752472,0.1697147786617279,0.18969708681106567,0.20430970191955566
toledo,0.17052572965621948,0.2549738585948944,0.02731240540742874,0.2618800699710846,0.14596419036388397,0.20777855813503265,0.2618800699710846,0.38675451278686523,0.2406117469072342,0.14875195920467377,0.23846957087516785,0.20443838834762573,0.13564491271972656
",",0.5201468467712402,0.4532424807548523,0.14125534892082214,1.0000001192092896,0.3658004403114319,0.2686614692211151,1.0000001192092896,0.2384677231311798,0.20519042015075684,0.3015086054801941,0.2097204476594925,0.220005065202713,0.31091248989105225
ohio,0.2508675754070282,0.20763610303401947,0.016312971711158752,0.21788300573825836,0.18184758722782135,0.24372604489326477,0.21788300573825836,0.6070101261138916,0.27742454409599304,0.11018496751785278,0.17616164684295654,0.2509464919567108,0.10064033418893814
