,what,court,is,able,to,interpret,european,union,law,?
it,0.45803478360176086,0.22090588510036469,0.6328473687171936,0.28575974702835083,0.513711154460907,0.23410534858703613,0.16905969381332397,0.20087021589279175,0.18657292425632477,0.25732165575027466
appoints,0.1857982873916626,0.37393805384635925,0.09236980974674225,0.25181812047958374,0.24787895381450653,0.258197158575058,0.16411258280277252,0.23327215015888214,0.319144606590271,0.13951906561851501
the,0.42745697498321533,0.2812081575393677,0.5823672413825989,0.3435857892036438,0.535392165184021,0.26474055647850037,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.22068053483963013
commissioners,0.2072983682155609,0.43601858615875244,0.21005214750766754,0.14425303041934967,0.27257397770881653,0.1503686159849167,0.29161643981933594,0.33804208040237427,0.24953687191009521,0.12729458510875702
and,0.31309178471565247,0.22896502912044525,0.3859752118587494,0.3303895890712738,0.48971283435821533,0.24294798076152802,0.24143946170806885,0.2594362497329712,0.254730761051178,0.20544172823429108
the,0.42745697498321533,0.2812081575393677,0.5823672413825989,0.3435857892036438,0.535392165184021,0.26474055647850037,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.22068053483963013
board,0.15681391954421997,0.22267556190490723,0.18710602819919586,0.1256236881017685,0.20624859631061554,0.19386249780654907,0.1727890968322754,0.2257198989391327,0.1185259073972702,0.1261475533246994
of,0.33290785551071167,0.28835242986679077,0.4854315221309662,0.23883962631225586,0.41548454761505127,0.20744526386260986,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.1826142966747284
the,0.42745697498321533,0.2812081575393677,0.5823672413825989,0.3435857892036438,0.535392165184021,0.26474055647850037,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.22068053483963013
european,0.15324164927005768,0.18487446010112762,0.16083641350269318,0.13972561061382294,0.21011990308761597,0.14577873051166534,0.9999998807907104,0.3571677803993225,0.17164482176303864,0.14560863375663757
central,0.17723965644836426,0.1356222778558731,0.273421049118042,0.09019508212804794,0.21511952579021454,0.16021569073200226,0.2503783702850342,0.19762831926345825,0.14515723288059235,0.14787602424621582
bank,0.13934029638767242,0.24133379757404327,0.21801011264324188,0.11975149810314178,0.2013069987297058,0.10379861295223236,0.29014986753463745,0.19047775864601135,0.176515594124794,0.09656643867492676
.,0.3567904531955719,0.2742154598236084,0.4569662809371948,0.34544092416763306,0.4645031690597534,0.20325395464897156,0.2095622420310974,0.23708370327949524,0.24482665956020355,0.4130953550338745
