,in,what,language,did,espn,deportes,broadcast,the,game,?
on,0.46853652596473694,0.34226128458976746,0.20230385661125183,0.2670976221561432,0.24292799830436707,0.1508687436580658,0.2845228910446167,0.5107308030128479,0.22967135906219482,0.2714994251728058
december,0.25854936242103577,0.19304980337619781,0.17026877403259277,0.2542226016521454,0.18654567003250122,0.2228677123785019,0.20395895838737488,0.23266014456748962,0.16027016937732697,0.2480352818965912
28,-0.27002766728401184,-0.2335955947637558,-0.24973274767398834,-0.2346872240304947,-0.03864886239171028,-0.21310070157051086,-0.11513176560401917,-0.31177106499671936,-0.16065357625484467,-0.012856917455792427
",",0.5201468467712402,0.3087472915649414,0.2694627344608307,0.3015086054801941,0.18262942135334015,0.23202872276306152,0.24917922914028168,0.4933079481124878,0.2653886377811432,0.31091248989105225
2015,0.0891268327832222,-0.07269049435853958,0.10089111328125,0.02002497762441635,-0.09497587382793427,0.2715834975242615,0.0484444685280323,0.1466771513223648,-0.003872275585308671,-0.029954981058835983
",",0.5201468467712402,0.3087472915649414,0.2694627344608307,0.3015086054801941,0.18262942135334015,0.23202872276306152,0.24917922914028168,0.4933079481124878,0.2653886377811432,0.31091248989105225
espn,0.12142056226730347,0.20291002094745636,0.13708749413490295,0.16097742319107056,1.0000001192092896,0.32324373722076416,0.442352294921875,0.19345609843730927,0.3451416492462158,0.1709517240524292
deportes,0.2083962857723236,0.13167431950569153,0.09760719537734985,0.13290858268737793,0.32324373722076416,1.0,0.21405574679374695,0.19800831377506256,0.106756791472435,0.14327947795391083
announced,0.2528248429298401,0.09249057620763779,0.10946572571992874,0.2690480351448059,0.293642520904541,0.1975833624601364,0.29546964168548584,0.2277132272720337,0.23265314102172852,0.17416009306907654
that,0.435920387506485,0.6297725439071655,0.2545708417892456,0.47518548369407654,0.20773537456989288,0.12723979353904724,0.267183780670166,0.5473989248275757,0.27499276399612427,0.32716336846351624
they,0.4330179989337921,0.4431931674480438,0.21917907893657684,0.4879390597343445,0.1706043779850006,0.21808908879756927,0.16604524850845337,0.49925389885902405,0.2399950921535492,0.2753053903579712
had,0.385026752948761,0.23849567770957947,0.13676787912845612,0.540525496006012,0.12880071997642517,0.19615614414215088,0.15132653713226318,0.3875846862792969,0.18758456408977509,0.20728366076946259
reached,0.24389809370040894,0.20202487707138062,0.07832951843738556,0.24863581359386444,0.07601197063922882,0.18219782412052155,0.17534880340099335,0.29860952496528625,0.16928428411483765,0.1518019139766693
an,0.2605783939361572,0.2821882665157318,0.144145667552948,0.22598257660865784,0.1649792343378067,0.06356660276651382,0.19117678701877594,0.4207492768764496,0.16604416072368622,0.19793890416622162
agreement,0.20350398123264313,0.2851087749004364,0.16346745193004608,0.2812501788139343,0.20771406590938568,0.2020723968744278,0.20970939099788666,0.2490699142217636,0.16246125102043152,0.15830197930335999
with,0.4080928862094879,0.2464839518070221,0.18017911911010742,0.25472134351730347,0.2131955921649933,0.1173495352268219,0.1932039111852646,0.4223487675189972,0.19394829869270325,0.2433311939239502
cbs,0.17584392428398132,0.1950361132621765,0.03250280022621155,0.15259867906570435,0.5563457608222961,0.24924056231975555,0.5521507263183594,0.2283918708562851,0.3367152214050293,0.14594407379627228
and,0.4954058527946472,0.31309178471565247,0.24699117243289948,0.34479495882987976,0.17554140090942383,0.17138513922691345,0.22526025772094727,0.5171257257461548,0.25192898511886597,0.20544172823429108
