,what,group,initiated,the,community,dialogues,?
for,0.3017193675041199,0.24519909918308258,0.2792734205722809,0.4739971458911896,0.24596118927001953,0.2100578397512436,0.264628142118454
example,0.3456268310546875,0.2711803913116455,0.1661359965801239,0.3755223751068115,0.13594792783260345,0.1769327074289322,0.30374911427497864
",",0.3087472915649414,0.2809832692146301,0.20428580045700073,0.4933079481124878,0.2761111557483673,0.21320798993110657,0.31091248989105225
the,0.42745697498321533,0.30795547366142273,0.2882399260997772,1.0,0.2601400911808014,0.24078363180160522,0.22068053483963013
truth,0.41090071201324463,0.10400820523500443,0.11022771149873734,0.225673645734787,0.20324310660362244,0.306561678647995,0.27048787474632263
",",0.3087472915649414,0.2809832692146301,0.20428580045700073,0.4933079481124878,0.2761111557483673,0.21320798993110657,0.31091248989105225
justice,0.21462921798229218,0.082527294754982,0.176240012049675,0.23470892012119293,0.17732995748519897,0.2988436818122864,0.19269752502441406
and,0.31309178471565247,0.3510662019252777,0.22654639184474945,0.5171257257461548,0.2756517827510834,0.2603831887245178,0.20544172823429108
reconciliation,0.23001986742019653,0.18893200159072876,0.4213983416557312,0.29290416836738586,0.25271737575531006,0.37260863184928894,0.17171992361545563
commission,0.22273972630500793,0.16078194975852966,0.29140207171440125,0.24418850243091583,0.3299538791179657,0.09218423813581467,0.16231559216976166
initiated,0.17882773280143738,0.2747833728790283,1.0,0.2882399260997772,0.28340962529182434,0.2723179757595062,0.16644564270973206
community,0.29032719135284424,0.2200997769832611,0.28340962529182434,0.2601400911808014,0.9999998807907104,0.19977469742298126,0.2380419820547104
dialogues,0.2804723083972931,0.15350110828876495,0.2723179757595062,0.24078363180160522,0.19977469742298126,0.9999998807907104,0.20913387835025787
",",0.3087472915649414,0.2809832692146301,0.20428580045700073,0.4933079481124878,0.2761111557483673,0.21320798993110657,0.31091248989105225
the,0.42745697498321533,0.30795547366142273,0.2882399260997772,1.0,0.2601400911808014,0.24078363180160522,0.22068053483963013
evangelical,0.20315878093242645,0.2171969711780548,0.2408658117055893,0.23743100464344025,0.3253093659877777,0.29685288667678833,0.16597984731197357
lutheran,0.195865198969841,0.1517820954322815,0.19693875312805176,0.20315466821193695,0.26195013523101807,0.21984216570854187,0.1752520203590393
church,0.1944202184677124,0.14028063416481018,0.13634829223155975,0.23846197128295898,0.24990960955619812,0.2072046399116516,0.18081501126289368
in,0.30808621644973755,0.2304753065109253,0.22239916026592255,0.6662389636039734,0.21838891506195068,0.24680854380130768,0.20430970191955566
kenya,0.18398970365524292,0.20872393250465393,0.1760471761226654,0.21657514572143555,0.16584056615829468,0.06002945080399513,0.17197901010513306
started,0.21609699726104736,0.2657511532306671,0.31343376636505127,0.3222070634365082,0.18646623194217682,0.09256776422262192,0.19447724521160126
peace,0.18390877544879913,0.15143686532974243,0.26051634550094604,0.2625678777694702,0.20064255595207214,0.20645880699157715,0.1404135823249817
meetings,0.24949911236763,0.30150744318962097,0.3589950501918793,0.31532901525497437,0.342467725276947,0.39209794998168945,0.17293356359004974
and,0.31309178471565247,0.3510662019252777,0.22654639184474945,0.5171257257461548,0.2756517827510834,0.2603831887245178,0.20544172823429108
the,0.42745697498321533,0.30795547366142273,0.2882399260997772,1.0,0.2601400911808014,0.24078363180160522,0.22068053483963013
kenya,0.18398970365524292,0.20872393250465393,0.1760471761226654,0.21657514572143555,0.16584056615829468,0.06002945080399513,0.17197901010513306
national,0.16882304847240448,0.15010859072208405,0.18534164130687714,0.32739606499671936,0.23358014225959778,0.21251265704631805,0.15643028914928436
dialogue,0.28533935546875,0.16730964183807373,0.253547728061676,0.24290409684181213,0.2115524858236313,0.9028282165527344,0.20502491295337677
and,0.31309178471565247,0.3510662019252777,0.22654639184474945,0.5171257257461548,0.2756517827510834,0.2603831887245178,0.20544172823429108
reconciliation,0.23001986742019653,0.18893200159072876,0.4213983416557312,0.29290416836738586,0.25271737575531006,0.37260863184928894,0.17171992361545563
process,0.3466717302799225,0.21411344408988953,0.29420557618141174,0.264274537563324,0.21207794547080994,0.26225367188453674,0.2460896074771881
was,0.22111038863658905,0.1789962202310562,0.2528574764728546,0.48711544275283813,0.2025771290063858,0.17263884842395782,0.18412111699581146
started,0.21609699726104736,0.2657511532306671,0.31343376636505127,0.3222070634365082,0.18646623194217682,0.09256776422262192,0.19447724521160126
.,0.3567904531955719,0.27268800139427185,0.24447549879550934,0.5934505462646484,0.2594514787197113,0.21482403576374054,0.4130953550338745
