,the,umc,supports,research,on,what,cells,retrieved,from,umbilical,cords,?
it,0.6251175999641418,0.2123039811849594,0.21357278525829315,0.24603503942489624,0.4529881477355957,0.45803478360176086,0.1893734186887741,0.1259462684392929,0.325604110956192,0.2603813409805298,0.22695103287696838,0.25732165575027466
supports,0.2929544150829315,0.2515213191509247,0.9999998807907104,0.23982840776443481,0.2708491086959839,0.18258391320705414,0.14830295741558075,0.12125169485807419,0.17644540965557098,0.32665520906448364,0.2517806589603424,0.15266138315200806
research,0.24391183257102966,0.24150115251541138,0.23982840776443481,1.0,0.2395089864730835,0.237140491604805,0.21362613141536713,0.2494371086359024,0.19734305143356323,0.24814783036708832,0.154727965593338,0.13481977581977844
on,0.5107308030128479,0.1817861646413803,0.2708491086959839,0.2395089864730835,0.9999999403953552,0.34226128458976746,0.14727668464183807,0.20623426139354706,0.36926645040512085,0.2199108898639679,0.19929319620132446,0.2714994251728058
stem,0.2455740123987198,0.1854805201292038,0.2675166726112366,0.26677265763282776,0.11172104626893997,0.19913089275360107,0.42786264419555664,0.14394354820251465,0.3094598650932312,0.43081772327423096,0.37552791833877563,0.14635197818279266
cells,0.19095487892627716,0.15000638365745544,0.14830295741558075,0.21362613141536713,0.14727668464183807,0.1758001297712326,1.0,0.04040335863828659,0.22742275893688202,0.4786943793296814,0.308101624250412,0.1898086667060852
retrieved,0.1810625195503235,0.07425692677497864,0.12125169485807419,0.2494371086359024,0.20623426139354706,0.15753085911273956,0.04040335863828659,1.0000001192092896,0.24260789155960083,0.11768308281898499,0.07470916956663132,0.2560236155986786
from,0.40150508284568787,0.07631135731935501,0.17644540965557098,0.19734305143356323,0.36926645040512085,0.2737620174884796,0.22742275893688202,0.24260789155960083,1.0,0.3135158121585846,0.1725354790687561,0.19969791173934937
umbilical,0.35475149750709534,0.34758126735687256,0.32665520906448364,0.24814783036708832,0.2199108898639679,0.2808772325515747,0.4786943793296814,0.11768308281898499,0.3135158121585846,1.0,0.3710918426513672,0.1538657695055008
cords,0.26419398188591003,0.16978506743907928,0.2517806589603424,0.154727965593338,0.19929319620132446,0.20301774144172668,0.308101624250412,0.07470916956663132,0.1725354790687561,0.3710918426513672,0.9999999403953552,0.11230616271495819
and,0.5171257257461548,0.21982228755950928,0.3107730448246002,0.27611881494522095,0.4077630043029785,0.31309178471565247,0.24033623933792114,0.20245438814163208,0.3601827025413513,0.32741859555244446,0.31301429867744446,0.20544172823429108
adult,0.22542093694210052,0.1857001781463623,0.13862843811511993,0.1668006330728531,0.20502211153507233,0.2068360149860382,0.22771181166172028,0.12196002900600433,0.16863365471363068,0.274472177028656,0.08414074033498764,0.14439715445041656
stem,0.2455740123987198,0.1854805201292038,0.2675166726112366,0.26677265763282776,0.11172104626893997,0.19913089275360107,0.42786264419555664,0.14394354820251465,0.3094598650932312,0.43081772327423096,0.37552791833877563,0.14635197818279266
cells,0.19095487892627716,0.15000638365745544,0.14830295741558075,0.21362613141536713,0.14727668464183807,0.1758001297712326,1.0,0.04040335863828659,0.22742275893688202,0.4786943793296814,0.308101624250412,0.1898086667060852
",",0.4933079481124878,0.1953766793012619,0.24231195449829102,0.2764695882797241,0.49057599902153015,0.3087472915649414,0.20582014322280884,0.22246524691581726,0.39760664105415344,0.29913291335105896,0.20977330207824707,0.31091248989105225
stating,0.2977248430252075,0.19713278114795685,0.270610511302948,0.23851734399795532,0.31651151180267334,0.40046313405036926,0.12514625489711761,0.13725145161151886,0.22210249304771423,0.16235783696174622,0.16667693853378296,0.2760101556777954
that,0.5473989248275757,0.26325681805610657,0.3607301712036133,0.3083151876926422,0.42569106817245483,0.6297725439071655,0.2709589898586273,0.14532265067100525,0.3477667272090912,0.32936328649520874,0.2878916561603546,0.32716336846351624
there,0.47025805711746216,0.20561887323856354,0.28795406222343445,0.22673040628433228,0.3521401882171631,0.35085538029670715,0.21102742850780487,0.13684071600437164,0.2965545952320099,0.28146034479141235,0.22430577874183655,0.29405656456947327
are,0.40399202704429626,0.2037472277879715,0.30270862579345703,0.2656170427799225,0.268924742937088,0.29724663496017456,0.2908284366130829,0.09877347201108932,0.2674213647842407,0.3253558278083801,0.31100744009017944,0.24591213464736938
``,0.029072100296616554,0.004294969141483307,0.04456789791584015,-0.05338248610496521,-0.03274054825305939,0.008517155423760414,0.1241510808467865,-0.08339694142341614,0.02677825279533863,0.11106836795806885,0.08811043202877045,0.0685480609536171
few,0.34660017490386963,0.15114746987819672,0.18079984188079834,0.16689258813858032,0.3005446493625641,0.2780759632587433,0.201286181807518,0.07623026520013809,0.30187293887138367,0.2346811592578888,0.18956878781318665,0.2334265559911728
moral,0.20571894943714142,0.18228355050086975,0.28780439496040344,0.18876439332962036,0.13754414021968842,0.3679145574569702,0.12940244376659393,0.13788267970085144,0.11822504550218582,0.21574564278125763,0.0936557874083519,0.2608962953090668
questions,0.23562853038311005,0.24473685026168823,0.25418156385421753,0.3019164800643921,0.2166581153869629,0.4857400059700012,0.1611948311328888,0.13537657260894775,0.11736684292554855,0.2587365210056305,0.22798316180706024,0.42967134714126587
'',0.041273195296525955,0.10930682718753815,-0.08452153950929642,0.04679169878363609,0.04238596186041832,0.08143015950918198,-0.04999896138906479,-0.04802184924483299,-0.011389154009521008,-0.04194432497024536,-0.048097867518663406,0.018684765323996544
raised,0.2089216411113739,0.09652246534824371,0.2318945974111557,0.09876562654972076,0.23071928322315216,0.12998360395431519,0.139894500374794,0.06103752925992012,0.22071678936481476,0.16332192718982697,0.08339870721101761,0.1332261711359024
by,0.4408751428127289,0.16236968338489532,0.19289402663707733,0.1734425127506256,0.33887791633605957,0.2455483376979828,0.19208736717700958,0.1623617708683014,0.3373257517814636,0.21398678421974182,0.16075408458709717,0.17966607213020325
