,what,did,the,rhine,branch,off,to,form,in,austria,?
the,0.42745697498321533,0.34736719727516174,1.0,0.30735138058662415,0.2630956768989563,0.2773582935333252,0.535392165184021,0.29286009073257446,0.6662389636039734,0.24396029114723206,0.22068053483963013
natural,0.15666867792606354,0.08853514492511749,0.2291368842124939,0.10907647758722305,0.12416686117649078,0.07418052852153778,0.21663954854011536,0.17387011647224426,0.32136213779449463,0.0868854820728302,0.16155436635017395
rhine,0.16475653648376465,0.15695837140083313,0.30735138058662415,1.0,0.2070019692182541,0.11849353462457657,0.1736302673816681,0.1300014853477478,0.24648422002792358,0.4033704996109009,0.13754533231258392
originally,0.2645323872566223,0.23196664452552795,0.36820849776268005,0.1350255012512207,0.15473583340644836,0.18649721145629883,0.30024412274360657,0.1831902265548706,0.3191297650337219,0.11831802129745483,0.07821967452764511
branched,0.19290299713611603,0.14225095510482788,0.31390413641929626,0.18437157571315765,0.6820260882377625,0.1911325603723526,0.17196668684482574,0.2424546778202057,0.2298184037208557,0.13617199659347534,0.16112618148326874
into,0.2180619090795517,0.14888085424900055,0.39493247866630554,0.1991104632616043,0.16853943467140198,0.3122623562812805,0.38810545206069946,0.32858723402023315,0.38021373748779297,0.10605929791927338,0.15662476420402527
at,0.2838611304759979,0.28390252590179443,0.457212895154953,0.19469857215881348,0.13308563828468323,0.25239914655685425,0.36524343490600586,0.10255546867847443,0.4374977946281433,0.17815373837947845,0.21978627145290375
least,0.3337163031101227,0.2185145616531372,0.3428877890110016,0.1481761485338211,0.06510291248559952,0.113935686647892,0.35133054852485657,0.20104031264781952,0.3232700824737549,0.12733417749404907,0.28866854310035706
two,0.23363454639911652,0.2755576968193054,0.43858039379119873,0.18329967558383942,0.17962053418159485,0.26898929476737976,0.3343428373336792,0.22888411581516266,0.36463531851768494,0.17693349719047546,0.19645625352859497
arms,0.1261218786239624,0.1531936526298523,0.2508765757083893,0.11794999241828918,0.20656171441078186,0.20834855735301971,0.19866348803043365,0.1298871785402298,0.2064935863018036,0.13752610981464386,0.1243237629532814
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.22029656171798706,0.23874594271183014,0.2800697982311249,0.48971283435821533,0.30469027161598206,0.4954058527946472,0.24401354789733887,0.20544172823429108
formed,0.15451857447624207,0.17168700695037842,0.28813210129737854,0.12505698204040527,0.1736833155155182,0.14397132396697998,0.15433534979820251,0.45461541414260864,0.27325257658958435,0.11498427391052246,0.09686966985464096
small,0.2504110634326935,0.20443524420261383,0.39655908942222595,0.17500995099544525,0.2066306173801422,0.25865447521209717,0.3054737150669098,0.2498980015516281,0.3722202181816101,0.10673873126506805,0.13914890587329865
islands,0.12194207310676575,0.11318571120500565,0.27959951758384705,0.20279084146022797,0.13671573996543884,0.16537275910377502,0.18220879137516022,0.11407172679901123,0.2010209858417511,0.18045884370803833,0.11824353039264679
by,0.2455483376979828,0.18574509024620056,0.4408751428127289,0.18456800282001495,0.13618141412734985,0.28998351097106934,0.33534231781959534,0.20338405668735504,0.370934396982193,0.18019534647464752,0.17966607213020325
precipitating,0.1615888476371765,0.09441075474023819,0.2367965131998062,0.22418920695781708,0.07809899002313614,0.0821632519364357,0.17125678062438965,0.17553849518299103,0.2441970556974411,0.12889032065868378,0.2148679494857788
sediments,0.1929577887058258,0.059991735965013504,0.2626475393772125,0.2450076937675476,0.12892621755599976,0.17337994277477264,0.21060378849506378,0.2591351568698883,0.2232823371887207,0.15056729316711426,0.14528776705265045
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.2089352011680603,0.1572728455066681,0.2869674861431122,0.4645031690597534,0.28317511081695557,0.5591574311256409,0.2720036804676056,0.4130953550338745
