,what,type,of,revolution,did,maududi,advocate,?
although,0.24844598770141602,0.1240415871143341,0.3024747669696808,0.20588618516921997,0.29252153635025024,0.21558013558387756,0.14603844285011292,0.15541206300258636
maududi,0.19404585659503937,0.13502764701843262,0.32255080342292786,0.23614473640918732,0.2033180296421051,1.0000001192092896,0.27002039551734924,0.2149532437324524
talked,0.34291014075279236,0.10036434978246689,0.20591145753860474,0.20304331183433533,0.4047143757343292,0.2274012714624405,0.22515559196472168,0.23599648475646973
about,0.47976887226104736,0.1371919810771942,0.40939709544181824,0.21667048335075378,0.28723078966140747,0.21510560810565948,0.18232598900794983,0.302409827709198
islamic,0.2204568088054657,0.13606184720993042,0.25656506419181824,0.305510014295578,0.17371372878551483,0.3724023997783661,0.27345383167266846,0.1692383587360382
revolution,0.1946869045495987,0.08191893249750137,0.27144062519073486,0.9999999403953552,0.21807503700256348,0.23614473640918732,0.2422206997871399,0.1727980077266693
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.26235419511795044,0.3015086054801941,0.3992340862751007,0.26894113421440125,0.31091248989105225
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.2466987818479538,0.18574509024620056,0.23668648302555084,0.1263917237520218,0.17966607213020325
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.0425613708794117,-0.029888948425650597,0.08192621916532516,0.006129270885139704,0.0685480609536171
revolution,0.1946869045495987,0.08191893249750137,0.27144062519073486,0.9999999403953552,0.21807503700256348,0.23614473640918732,0.2422206997871399,0.1727980077266693
'',0.08143015950918198,0.054222505539655685,0.13035868108272552,0.0015270650619640946,0.01978493109345436,0.04544191062450409,-0.029949501156806946,0.018684765323996544
he,0.3114890456199646,0.11091722548007965,0.38706058263778687,0.24669446051120758,0.3292143940925598,0.3990713953971863,0.24072200059890747,0.2089974731206894
meant,0.40698376297950745,0.1954268366098404,0.2713906168937683,0.17378734052181244,0.46665212512016296,0.14191150665283203,0.17087902128696442,0.28817421197891235
not,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.1835833340883255,0.6481515765190125,0.2161082923412323,0.30701130628585815,0.41942933201789856
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.276140034198761,0.34736719727516174,0.30155912041664124,0.16703304648399353,0.22068053483963013
violence,0.24788525700569153,0.08284121751785278,0.21331627666950226,0.2945401072502136,0.22152221202850342,0.28758829832077026,0.3158894181251526,0.20634515583515167
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.12052000313997269,0.28211739659309387,0.2285769134759903,0.20847177505493164,0.32389625906944275
populist,0.1619206964969635,0.10461769253015518,0.1922605186700821,0.29648271203041077,0.13641050457954407,0.27365919947624207,0.3672327995300293,0.1808861792087555
policies,0.37312451004981995,0.08862347155809402,0.210641011595726,0.2515816390514374,0.28301122784614563,0.22225093841552734,0.39764639735221863,0.2969106435775757
of,0.33290785551071167,0.18112817406654358,1.0,0.27144062519073486,0.2513895630836487,0.32255080342292786,0.22164754569530487,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.276140034198761,0.34736719727516174,0.30155912041664124,0.16703304648399353,0.22068053483963013
iranian,0.1183423325419426,0.07211579382419586,0.19742776453495026,0.23447120189666748,0.1345420926809311,0.3261493742465973,0.19965143501758575,0.13520781695842743
revolution,0.1946869045495987,0.08191893249750137,0.27144062519073486,0.9999999403953552,0.21807503700256348,0.23614473640918732,0.2422206997871399,0.1727980077266693
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.26235419511795044,0.3015086054801941,0.3992340862751007,0.26894113421440125,0.31091248989105225
but,0.5029441118240356,0.24026720225811005,0.39942997694015503,0.21592117846012115,0.49033689498901367,0.24980702996253967,0.2073013037443161,0.27921953797340393
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.276140034198761,0.34736719727516174,0.30155912041664124,0.16703304648399353,0.22068053483963013
gradual,0.2916010916233063,0.13456004858016968,0.282566100358963,0.31380805373191833,0.20578771829605103,0.15152576565742493,0.09391038864850998,0.05457627400755882
changing,0.34731432795524597,0.22598789632320404,0.2740551233291626,0.23396052420139313,0.2420123666524887,0.14627113938331604,0.15737572312355042,0.2747461497783661
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.276140034198761,0.34736719727516174,0.30155912041664124,0.16703304648399353,0.22068053483963013
hearts,0.19011707603931427,0.030320022255182266,0.193277508020401,0.1673155426979065,0.11300778388977051,0.2140093892812729,0.134470596909523,0.16439680755138397
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.21575188636779785,0.34479495882987976,0.38321298360824585,0.26004573702812195,0.20544172823429108
minds,0.32983797788619995,0.075160451233387,0.2424815595149994,0.23897457122802734,0.2688087522983551,0.29203975200653076,0.3043763339519501,0.2624666690826416
of,0.33290785551071167,0.18112817406654358,1.0,0.27144062519073486,0.2513895630836487,0.32255080342292786,0.22164754569530487,0.1826142966747284
individuals,0.25709760189056396,0.222527414560318,0.27365922927856445,0.14247570931911469,0.18585044145584106,0.22730746865272522,0.2653031647205353,0.20243582129478455
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.18298961222171783,0.20248863101005554,0.1680707335472107,0.1352427452802658,0.19969791173934937
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.276140034198761,0.34736719727516174,0.30155912041664124,0.16703304648399353,0.22068053483963013
