,what,was,martin,parry,'s,role,in,the,ipcc,?
martin,0.14814218878746033,0.2089129239320755,0.9999999403953552,0.30450430512428284,0.07599356025457382,0.19842052459716797,0.22752496600151062,0.22029393911361694,0.1834738701581955,0.060103293508291245
parry,0.23197250068187714,0.25043830275535583,0.30450430512428284,1.0,0.01758608967065811,0.10930534452199936,0.24497054517269135,0.2622797191143036,0.11652141064405441,0.17210984230041504
",",0.3087472915649414,0.45456063747406006,0.27058324217796326,0.25501590967178345,-0.0016132977325469255,0.199491485953331,0.5201468467712402,0.4933079481124878,0.15590040385723114,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.2163310945034027,0.30897611379623413,0.04866964742541313,0.22880133986473083,0.539380669593811,0.5829201340675354,0.12244262546300888,0.23916715383529663
climate,0.2854173183441162,0.14714933931827545,0.16041091084480286,0.024990703910589218,0.04239832982420921,0.1692620813846588,0.24209141731262207,0.2693597674369812,0.5031722187995911,0.19998492300510406
expert,0.3606319725513458,0.24025483429431915,0.18116334080696106,0.17024464905261993,0.04535895213484764,0.19119718670845032,0.16210713982582092,0.18672597408294678,0.34407252073287964,0.1580924242734909
who,0.40942975878715515,0.3318818509578705,0.22000780701637268,0.27448761463165283,0.05599616840481758,0.2767873704433441,0.2792111933231354,0.3733934462070465,0.21932992339134216,0.26220351457595825
had,0.23849567770957947,0.5927209258079529,0.14995867013931274,0.27802738547325134,-0.004401352722197771,0.185559943318367,0.385026752948761,0.3875846862792969,0.1500828117132187,0.20728366076946259
been,0.2567804455757141,0.518218457698822,0.15679793059825897,0.18147745728492737,-0.10734795778989792,0.1857869029045105,0.3515113592147827,0.3563927710056305,0.23632609844207764,0.24354910850524902
co-chair,0.13390766084194183,0.2904858887195587,0.23319993913173676,0.2568477988243103,-0.033748235553503036,0.2668074667453766,0.24443335831165314,0.22999590635299683,0.23667337000370026,0.13944998383522034
of,0.33290785551071167,0.4069072902202606,0.13722093403339386,0.20617924630641937,-0.03817026689648628,0.1797693818807602,0.5696388483047485,0.733189046382904,0.20174051821231842,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.22029393911361694,0.2622797191143036,-0.01540423184633255,0.26607486605644226,0.6662389636039734,1.0,0.24925659596920013,0.22068053483963013
ipcc,0.33176189661026,0.16744299232959747,0.1834738701581955,0.11652141064405441,0.010160183534026146,0.14771991968154907,0.1257958561182022,0.24925659596920013,1.0000001192092896,0.22295254468917847
working,0.2846863269805908,0.25099408626556396,0.06613513082265854,0.18039897084236145,-0.0629357099533081,0.2293311208486557,0.3062970042228699,0.25857484340667725,0.2789483666419983,0.17154020071029663
group,0.2114069163799286,0.1789962202310562,0.18381460011005402,0.1508103758096695,-0.01093533169478178,0.1703040450811386,0.2304753065109253,0.30795547366142273,0.25211799144744873,0.13827809691429138
ii,0.13866674900054932,0.25630512833595276,0.15242484211921692,0.15794315934181213,0.06274007260799408,0.16271740198135376,0.21453368663787842,0.2631464898586273,0.09100998938083649,0.11928234249353409
",",0.3087472915649414,0.45456063747406006,0.27058324217796326,0.25501590967178345,-0.0016132977325469255,0.199491485953331,0.5201468467712402,0.4933079481124878,0.15590040385723114,0.31091248989105225
said,0.3951668441295624,0.43711766600608826,0.14909598231315613,0.20122773945331573,0.02159760519862175,0.24036327004432678,0.23461468517780304,0.3024602234363556,0.308810830116272,0.28991883993148804
that,0.6297725439071655,0.33670201897621155,0.1594845950603485,0.19893720746040344,0.04397977516055107,0.23023544251918793,0.435920387506485,0.5473989248275757,0.3323146402835846,0.32716336846351624
``,0.008517155423760414,-0.012679691426455975,0.028174111619591713,0.05074009299278259,-0.03416389226913452,0.02487841621041298,0.04765888676047325,0.029072100296616554,-0.017391569912433624,0.0685480609536171
what,0.9999998807907104,0.22111038863658905,0.14814218878746033,0.23197250068187714,0.02692362666130066,0.22614215314388275,0.30808621644973755,0.42745697498321533,0.33176189661026,0.5051238536834717
began,0.1665823757648468,0.4683617055416107,0.150069922208786,0.11681099236011505,-0.026281554251909256,0.24659767746925354,0.34154343605041504,0.3059147596359253,0.18089745938777924,0.1370266228914261
with,0.2464839518070221,0.27411898970603943,0.18055595457553864,0.21508508920669556,-0.04624466598033905,0.1617812067270279,0.4080928862094879,0.4223487675189972,0.18298684060573578,0.2433311939239502
a,0.3320399522781372,0.4508470594882965,0.2163310945034027,0.30897611379623413,0.04866964742541313,0.22880133986473083,0.539380669593811,0.5829201340675354,0.12244262546300888,0.23916715383529663
single,0.24458327889442444,0.22785933315753937,0.15476447343826294,0.1931726485490799,0.02529025822877884,0.17013248801231384,0.23017926514148712,0.29338565468788147,0.15281429886817932,0.2151121199131012
unfortunate,0.4014178514480591,0.20968644320964813,0.2010508030653,0.0988166332244873,-0.020469505339860916,0.27146828174591064,0.19609667360782623,0.26357176899909973,0.26040199398994446,0.2397013157606125
error,0.30197378993034363,0.15878652036190033,0.12246226519346237,0.2194633185863495,-0.04185902699828148,0.09563139826059341,0.16210632026195526,0.1961134821176529,0.1888248175382614,0.2543688118457794
over,0.28007611632347107,0.24486446380615234,0.16296763718128204,0.12777936458587646,0.016215575858950615,0.19979722797870636,0.3605569899082184,0.39856547117233276,0.17928941547870636,0.25742942094802856
himalayan,0.16039705276489258,0.11047704517841339,0.10710437595844269,0.16763335466384888,0.047437943518161774,0.08101987838745117,0.18806365132331848,0.26702675223350525,0.21779003739356995,0.11688655614852905
glaciers,0.17894403636455536,0.08418398350477219,0.10216269642114639,0.21721652150154114,0.04470018297433853,0.08344195783138275,0.19720062613487244,0.25829634070396423,0.2807447016239166,0.10289843380451202
has,0.20338068902492523,0.40313825011253357,0.15240883827209473,0.15741802752017975,-0.040683966130018234,0.17958451807498932,0.4173259735107422,0.4177538752555847,0.2192763090133667,0.15994466841220856
become,0.27134042978286743,0.3147440552711487,0.1117793619632721,0.17938315868377686,-0.06629510223865509,0.2598501443862915,0.23238378763198853,0.31731709837913513,0.0901440680027008,0.19511328637599945
a,0.3320399522781372,0.4508470594882965,0.2163310945034027,0.30897611379623413,0.04866964742541313,0.22880133986473083,0.539380669593811,0.5829201340675354,0.12244262546300888,0.23916715383529663
clamour,0.23362943530082703,0.25250276923179626,0.269881010055542,0.33523109555244446,0.11168565601110458,0.22964128851890564,0.25552135705947876,0.2941785156726837,0.14883869886398315,0.2279367297887802
without,0.3181614279747009,0.18635936081409454,0.14296431839466095,0.1915910243988037,-0.0613141804933548,0.1284635066986084,0.2553589344024658,0.3270869255065918,0.13422438502311707,0.2928665280342102
substance,0.2803279459476471,0.20017051696777344,0.07562562823295593,0.11144079267978668,-0.04252006113529205,0.14941513538360596,0.23259401321411133,0.27041906118392944,0.2217368334531784,0.2033585160970688
'',0.08143015950918198,0.04456103965640068,-0.10166443884372711,-0.026797544211149216,-0.04859459400177002,-0.022837141528725624,0.07432962208986282,0.041273195296525955,-0.04113392531871796,0.018684765323996544
and,0.31309178471565247,0.3740963041782379,0.2544763386249542,0.24394243955612183,0.06895173341035843,0.2629789710044861,0.4954058527946472,0.5171257257461548,0.20790739357471466,0.20544172823429108
the,0.42745697498321533,0.48711544275283813,0.22029393911361694,0.2622797191143036,-0.01540423184633255,0.26607486605644226,0.6662389636039734,1.0,0.24925659596920013,0.22068053483963013
ipcc,0.33176189661026,0.16744299232959747,0.1834738701581955,0.11652141064405441,0.010160183534026146,0.14771991968154907,0.1257958561182022,0.24925659596920013,1.0000001192092896,0.22295254468917847
had,0.23849567770957947,0.5927209258079529,0.14995867013931274,0.27802738547325134,-0.004401352722197771,0.185559943318367,0.385026752948761,0.3875846862792969,0.1500828117132187,0.20728366076946259
investigated,0.20849284529685974,0.25214648246765137,0.11532514542341232,0.1666204333305359,-0.07113172113895416,0.19774237275123596,0.24047130346298218,0.258423388004303,0.37677499651908875,0.12763407826423645
the,0.42745697498321533,0.48711544275283813,0.22029393911361694,0.2622797191143036,-0.01540423184633255,0.26607486605644226,0.6662389636039734,1.0,0.24925659596920013,0.22068053483963013
other,0.341873437166214,0.14651623368263245,0.16676561534404755,0.1577201932668686,0.04445967823266983,0.1534264087677002,0.39989137649536133,0.44152235984802246,0.2497648149728775,0.24682199954986572
alleged,0.19019317626953125,0.2909727990627289,0.10750195384025574,0.06485176831483841,0.012476024217903614,0.15339896082878113,0.18570636212825775,0.2058245837688446,0.25671425461769104,0.12596184015274048
mistakes,0.3901787996292114,0.18380305171012878,0.11747398972511292,0.2596554756164551,-0.0017865976551547647,0.22874343395233154,0.19027116894721985,0.2581973075866699,0.2545437216758728,0.3399010896682739
",",0.3087472915649414,0.45456063747406006,0.27058324217796326,0.25501590967178345,-0.0016132977325469255,0.199491485953331,0.5201468467712402,0.4933079481124878,0.15590040385723114,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.16745753586292267,0.23941221833229065,0.03856118768453598,0.18845273554325104,0.4840516746044159,0.6521818041801453,0.2619032859802246,0.25814583897590637
