,in,what,year,was,the,school,formed,?
harvard,0.26072487235069275,0.2177114188671112,0.12264450639486313,0.2415156066417694,0.24496200680732727,0.42520302534103394,0.11312861740589142,0.11685016006231308
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.25740107893943787,0.3009849190711975,0.18412111699581146
formed,0.27325257658958435,0.15451857447624207,0.14354060590267181,0.3009849190711975,0.28813210129737854,0.09753730148077011,1.0000001192092896,0.09686966985464096
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.26157811284065247,0.27325257658958435,0.20430970191955566
1636,0.19122673571109772,-0.09300483763217926,0.0632726326584816,0.15977349877357483,0.048702459782361984,0.16917701065540314,0.1237492635846138,-0.0838172435760498
by,0.370934396982193,0.2455483376979828,0.28805047273635864,0.4752357602119446,0.4408751428127289,0.1477794349193573,0.2924628257751465,0.17966607213020325
vote,0.21458156406879425,0.30723845958709717,0.19143715500831604,0.22398914396762848,0.22779929637908936,0.16874751448631287,0.1701667457818985,0.2888886630535126
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.2391800880432129,0.2871689796447754,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.22953221201896667,0.28813210129737854,0.22068053483963013
great,0.23348836600780487,0.2562883198261261,0.12131180614233017,0.19652196764945984,0.2822027802467346,0.14909106492996216,0.16865268349647522,0.13135133683681488
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.3740963041782379,0.5171257257461548,0.2752758264541626,0.27619341015815735,0.20544172823429108
general,0.259066641330719,0.24928055703639984,0.18179567158222198,0.2445744127035141,0.28634732961654663,0.1315617859363556,0.10732708126306534,0.1972234547138214
court,0.2793687880039215,0.23440583050251007,0.21609485149383545,0.2737988233566284,0.2812081575393677,0.2615804076194763,0.14747093617916107,0.17100423574447632
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.2391800880432129,0.2871689796447754,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.22953221201896667,0.28813210129737854,0.22068053483963013
massachusetts,0.2766925096511841,0.18341512978076935,0.10038357973098755,0.2560335695743561,0.22450406849384308,0.23529985547065735,0.16897088289260864,0.13685078918933868
bay,0.1926257163286209,0.20251236855983734,0.09143916517496109,0.18626409769058228,0.2441686987876892,0.12093910574913025,0.15582922101020813,0.10773546993732452
colony,0.25087448954582214,0.26261213421821594,0.10858053714036942,0.25879696011543274,0.2740810811519623,0.19971419870853424,0.23618653416633606,0.13831071555614471
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.24214158952236176,0.2737641930580139,0.4130953550338745
