,who,took,the,throne,after,kusala,'s,death,?
he,0.5500732064247131,0.3519804775714874,0.4571082592010498,0.27619946002960205,0.3936046361923218,0.2598784565925598,0.024063590914011,0.2806733548641205,0.2089974731206894
was,0.3318818509578705,0.48213186860084534,0.48711544275283813,0.25343436002731323,0.49306565523147583,0.24685722589492798,0.008974763564765453,0.28516459465026855,0.18412111699581146
supposedly,0.41052260994911194,0.23712942004203796,0.3071683347225189,0.23551203310489655,0.3366013169288635,0.1931028515100479,0.0843249261379242,0.2211560755968094,0.2077445387840271
killed,0.3541788160800934,0.37384140491485596,0.23115427792072296,0.2742985785007477,0.30230066180229187,0.19133999943733215,-0.004342961125075817,0.34693118929862976,0.17928971350193024
with,0.3282766342163086,0.1882828176021576,0.4223487675189972,0.11961577087640762,0.33843478560447693,0.16488701105117798,-0.04624466598033905,0.171040341258049,0.2433311939239502
poison,0.21999366581439972,0.15028639137744904,0.1961093693971634,0.18765400350093842,0.147395521402359,0.13303649425506592,0.041946835815906525,0.2643418610095978,0.13894492387771606
by,0.39727845788002014,0.21169665455818176,0.4408751428127289,0.16960486769676208,0.41259682178497314,0.12910562753677368,-0.010884488001465797,0.23285827040672302,0.17966607213020325
el,0.11726998537778854,0.10509198158979416,0.22364778816699982,0.1399470865726471,0.12599140405654907,0.34500283002853394,-0.18396209180355072,0.08994094282388687,0.16662782430648804
temür,0.27012577652931213,0.28716275095939636,0.3494127094745636,0.25970181822776794,0.30777668952941895,0.4123532176017761,0.04928223416209221,0.19359834492206573,0.17946790158748627
",",0.3365725874900818,0.27655306458473206,0.4933079481124878,0.18564283847808838,0.38860568404197693,0.2856854796409607,-0.0016132977325469255,0.2070959210395813,0.31091248989105225
and,0.41279885172843933,0.25750628113746643,0.5171257257461548,0.18871405720710754,0.3765919506549835,0.25465595722198486,0.06895173341035843,0.1816639006137848,0.20544172823429108
tugh,0.31988343596458435,0.25815048813819885,0.2538721263408661,0.2790587246417999,0.25581976771354675,0.3959610164165497,-0.05095980688929558,0.28366580605506897,0.2607990801334381
temür,0.27012577652931213,0.28716275095939636,0.3494127094745636,0.25970181822776794,0.30777668952941895,0.4123532176017761,0.04928223416209221,0.19359834492206573,0.17946790158748627
then,0.29952746629714966,0.25839924812316895,0.4297412931919098,0.21209299564361572,0.4163074791431427,0.23481424152851105,0.010921895503997803,0.22313891351222992,0.2884598970413208
remounted,0.24475480616092682,0.3324255645275116,0.4135127365589142,0.24810674786567688,0.2325766384601593,0.21898187696933746,-0.005472435615956783,0.1787402182817459,0.10986693203449249
the,0.3733934462070465,0.31657639145851135,1.0,0.2638266980648041,0.4565047025680542,0.2804347574710846,-0.01540423184633255,0.21438048779964447,0.22068053483963013
