,the,innate,immune,system,responds,in,a,generic,way,",",meaning,it,is,what,?
innate,0.2196919023990631,1.0000001192092896,0.6130988597869873,0.3689802289009094,0.4283527135848999,0.18022385239601135,0.22946256399154663,0.1364125907421112,0.2638930082321167,0.16148243844509125,0.2137952744960785,0.20538318157196045,0.1780463606119156,0.2683543860912323,0.16386382281780243
immune,0.21364226937294006,0.6130988597869873,1.0,0.3962631821632385,0.3421754837036133,0.14682820439338684,0.20466765761375427,0.1453290730714798,0.2873583734035492,0.15102852880954742,0.17813290655612946,0.2599244713783264,0.2092347890138626,0.2410416603088379,0.16080476343631744
defenses,0.3284451365470886,0.4232599139213562,0.3900947570800781,0.22766487300395966,0.29188072681427,0.2573820948600769,0.20818114280700684,0.036411456763744354,0.21837115287780762,0.24748434126377106,0.1922755241394043,0.22052478790283203,0.18901094794273376,0.2086530178785324,0.19043757021427155
are,0.40399202704429626,0.2676650285720825,0.23878547549247742,0.21917270123958588,0.24917390942573547,0.3841303884983063,0.265255331993103,0.26620328426361084,0.3754369020462036,0.4062570035457611,0.2568538784980774,0.3617996573448181,0.5330929756164551,0.29724663496017456,0.24591213464736938
non-specific,0.3573143184185028,0.35628730058670044,0.3208230435848236,0.31924667954444885,0.32349175214767456,0.23901017010211945,0.34650033712387085,0.4685910642147064,0.32119420170783997,0.28376105427742004,0.3080155551433563,0.2747349441051483,0.2832575738430023,0.4068310260772705,0.37322136759757996
",",0.4933079481124878,0.16148243844509125,0.15102852880954742,0.18439900875091553,0.25387129187583923,0.5201468467712402,0.427140474319458,0.2600758373737335,0.2861018478870392,1.0000001192092896,0.2096743881702423,0.48329564929008484,0.4691906273365021,0.3087472915649414,0.31091248989105225
meaning,0.31918859481811523,0.2137952744960785,0.17813290655612946,0.193675234913826,0.2268953174352646,0.2137773334980011,0.3343478739261627,0.22426718473434448,0.2766285538673401,0.2096743881702423,0.9999999403953552,0.29842689633369446,0.32422322034835815,0.24135559797286987,0.20420892536640167
these,0.49086877703666687,0.31703200936317444,0.2535412013530731,0.3248380720615387,0.20351071655750275,0.3791837692260742,0.24380075931549072,0.2856105864048004,0.3907841145992279,0.37613096833229065,0.21358123421669006,0.39955374598503113,0.2498808652162552,0.4164220690727234,0.2571668326854706
systems,0.28089964389801025,0.3468446731567383,0.34945380687713623,0.7890681028366089,0.26001158356666565,0.21664761006832123,0.23904047906398773,0.18624745309352875,0.2977602481842041,0.22053997218608856,0.18980883061885834,0.24967467784881592,0.23126937448978424,0.1871482878923416,0.1575973927974701
respond,0.24966585636138916,0.4645244777202606,0.4430158734321594,0.22456493973731995,0.8374431133270264,0.20842644572257996,0.2199072241783142,0.19079184532165527,0.323638916015625,0.25066259503364563,0.17898978292942047,0.25064393877983093,0.18442408740520477,0.42141762375831604,0.2554577887058258
to,0.535392165184021,0.21057011187076569,0.2541976273059845,0.26662686467170715,0.29954656958580017,0.45010748505592346,0.45503583550453186,0.2917003333568573,0.4772548973560333,0.44245919585227966,0.24619491398334503,0.513711154460907,0.42745086550712585,0.455847829580307,0.29463258385658264
pathogens,0.23115308582782745,0.5864718556404114,0.5922579765319824,0.29995468258857727,0.31140443682670593,0.17208784818649292,0.21121124923229218,0.20496219396591187,0.2665729820728302,0.20320750772953033,0.19053609669208527,0.22880487143993378,0.19907276332378387,0.24503889679908752,0.21364152431488037
in,0.6662389636039734,0.18022385239601135,0.14682820439338684,0.21978288888931274,0.20402151346206665,1.0,0.539380669593811,0.2437727004289627,0.30444321036338806,0.5201468467712402,0.2137773334980011,0.5130809545516968,0.5394441485404968,0.30808621644973755,0.20430970191955566
a,0.5829201340675354,0.22946256399154663,0.20466765761375427,0.2589043080806732,0.2824169397354126,0.539380669593811,1.0,0.3012574017047882,0.3330821096897125,0.427140474319458,0.3343478739261627,0.5452592968940735,0.658733606338501,0.3320399522781372,0.23916715383529663
generic,0.24368198215961456,0.1364125907421112,0.1453290730714798,0.11983799189329147,0.16945631802082062,0.2437727004289627,0.3012574017047882,1.0,0.27157992124557495,0.2600758373737335,0.22426718473434448,0.23114095628261566,0.2867498993873596,0.26404517889022827,0.26744839549064636
way,0.36217406392097473,0.2638930082321167,0.2873583734035492,0.32246431708335876,0.3310491740703583,0.30444321036338806,0.3330821096897125,0.27157992124557495,1.0,0.2861018478870392,0.2766285538673401,0.4001650810241699,0.31685471534729004,0.4835909903049469,0.31575819849967957
.,0.5934505462646484,0.2064800262451172,0.18267881870269775,0.2277725487947464,0.25007495284080505,0.5591574311256409,0.50484299659729,0.2507113218307495,0.33520638942718506,0.6812511086463928,0.15429382026195526,0.5593622326850891,0.4569662809371948,0.3567904531955719,0.4130953550338745
