,what,is,the,population,of,the,inner,mongolia,region,of,china,?
there,0.35085538029670715,0.3904260993003845,0.47025805711746216,0.30312415957450867,0.44397735595703125,0.47025805711746216,0.2346055656671524,0.206190288066864,0.24659839272499084,0.44397735595703125,0.21505112946033478,0.29405656456947327
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.20790868997573853,0.39081433415412903,0.40399202704429626,0.23264755308628082,0.1809694617986679,0.20011243224143982,0.39081433415412903,0.21174804866313934,0.24591213464736938
conflicting,0.40057775378227234,0.14854225516319275,0.3156564235687256,0.20797032117843628,0.29330649971961975,0.3156564235687256,0.18751682341098785,0.18809567391872406,0.08822750300168991,0.29330649971961975,0.17883220314979553,0.3185083568096161
views,0.32671356201171875,0.1585468053817749,0.23137402534484863,0.2202472984790802,0.1923438459634781,0.23137402534484863,0.17934565246105194,0.09082461148500443,0.1076028123497963,0.1923438459634781,0.14572349190711975,0.19388815760612488
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3060894012451172,1.0,0.733189046382904,0.2847692370414734,0.24969549477100372,0.2852717339992523,1.0,0.27699828147888184,0.1826142966747284
genghis,0.24369274079799652,0.1866190880537033,0.3448939025402069,0.21193720400333405,0.2938849925994873,0.3448939025402069,0.1773080825805664,0.4294305145740509,0.2419530749320984,0.2938849925994873,0.41767415404319763,0.18813461065292358
khan,0.16476042568683624,0.20103248953819275,0.21067845821380615,0.1049165427684784,0.17124508321285248,0.21067845821380615,0.13130620121955872,0.37883228063583374,0.17068596184253693,0.17124508321285248,0.3775990903377533,0.12862591445446014
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3268454372882843,0.5696388483047485,0.6662389636039734,0.22538623213768005,0.22565330564975739,0.3524819314479828,0.5696388483047485,0.267821341753006,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.32044094800949097,0.733189046382904,1.0,0.2790820598602295,0.26887956261634827,0.35020557045936584,0.733189046382904,0.3110525608062744,0.22068053483963013
people,0.32444337010383606,0.34254953265190125,0.36838498711586,0.3562411963939667,0.3251037895679474,0.36838498711586,0.16331149637699127,0.24042508006095886,0.3089559078216553,0.3251037895679474,0.23917561769485474,0.23739641904830933
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.012951160781085491,-0.03817026689648628,-0.01540423184633255,-0.05406010150909424,-0.018711648881435394,-0.058744437992572784,-0.03817026689648628,0.023593749850988388,-0.023395681753754616
