,how,many,plays,was,denver,kept,out,of,the,end,zone,after,getting,the,ball,from,newton,?
meanwhile,0.22455430030822754,0.19096478819847107,0.14283475279808044,0.17749933898448944,0.18616904318332672,0.27066272497177124,0.32889312505722046,0.1686907261610031,0.2615615129470825,0.1873096078634262,0.06981237232685089,0.30969205498695374,0.30677375197410583,0.2615615129470825,0.22375060617923737,0.1672254502773285,0.14760722219944,0.16201108694076538
",",0.22659391164779663,0.40610817074775696,0.24874751269817352,0.45456063747406006,0.25173696875572205,0.2797359526157379,0.3161109685897827,0.4946078956127167,0.4933079481124878,0.25448864698410034,0.23414842784404755,0.38860568404197693,0.2384856641292572,0.4933079481124878,0.2170172780752182,0.39760664105415344,0.2648763358592987,0.31091248989105225
denver,0.15631112456321716,0.18606427311897278,0.22016258537769318,0.2766761779785156,1.0,0.10021498799324036,0.17736582458019257,0.14595118165016174,0.2052404284477234,0.15781165659427643,0.11141365766525269,0.16213500499725342,0.18215379118919373,0.2052404284477234,0.19353048503398895,0.1697966605424881,0.191506028175354,0.1520889848470688
's,-0.026164190843701363,0.01698932610452175,0.014762789942324162,0.008974763564765453,-0.08765961974859238,-0.00976401288062334,0.0021837172098457813,-0.03817026689648628,-0.01540423184633255,0.030466308817267418,0.036586299538612366,-0.055672239512205124,-0.043198853731155396,-0.01540423184633255,-0.028031641617417336,-0.01936490088701248,0.027833467349410057,-0.023395681753754616
offense,0.18130072951316833,0.12988217175006866,0.09353455156087875,0.23727211356163025,0.19764406979084015,0.09208131581544876,0.2843106985092163,0.23099714517593384,0.25977253913879395,0.22905460000038147,0.2391582727432251,0.22348414361476898,0.2550028860569,0.25977253913879395,0.2720029056072235,0.13698922097682953,0.16843406856060028,0.28476977348327637
was,0.16678167879581451,0.260356068611145,0.24187156558036804,1.0000001192092896,0.2766761779785156,0.2936630845069885,0.28168347477912903,0.4069072902202606,0.48711544275283813,0.19220198690891266,0.161222442984581,0.49306565523147583,0.2391812801361084,0.48711544275283813,0.16079293191432953,0.31171464920043945,0.25264593958854675,0.18412111699581146
kept,0.16230306029319763,0.26334142684936523,0.1411718726158142,0.2936630845069885,0.10021498799324036,1.0,0.22226844727993011,0.25036442279815674,0.3135738670825958,0.185536727309227,0.042940542101860046,0.27748429775238037,0.3259654939174652,0.3135738670825958,0.14321258664131165,0.29893186688423157,0.041657187044620514,0.15157312154769897
out,0.3963836133480072,0.3329806923866272,0.1357288658618927,0.28168347477912903,0.17736582458019257,0.22226844727993011,1.0,0.34176841378211975,0.39404502511024475,0.2993822693824768,0.16180266439914703,0.33628228306770325,0.3473554253578186,0.39404502511024475,0.25823330879211426,0.3196950852870941,0.16739298403263092,0.22020699083805084
of,0.2480744868516922,0.37253960967063904,0.14677055180072784,0.4069072902202606,0.14595118165016174,0.25036442279815674,0.34176841378211975,1.0,0.733189046382904,0.2215006798505783,0.22467142343521118,0.3867455720901489,0.24251262843608856,0.733189046382904,0.15122076869010925,0.4249346852302551,0.18479612469673157,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.1760704517364502,0.48711544275283813,0.2052404284477234,0.3135738670825958,0.39404502511024475,0.733189046382904,1.0,0.39658910036087036,0.26423242688179016,0.4565047025680542,0.2930673360824585,1.0,0.18895584344863892,0.40150508284568787,0.1876603662967682,0.22068053483963013
end,0.2481066733598709,0.2364911139011383,0.11789699643850327,0.19220198690891266,0.15781165659427643,0.185536727309227,0.2993822693824768,0.2215006798505783,0.39658910036087036,1.0,0.19279605150222778,0.34383532404899597,0.19861125946044922,0.39658910036087036,0.20891526341438293,0.31609439849853516,0.06915309280157089,0.12543344497680664
zone,0.1622122824192047,0.1584046632051468,0.07495440542697906,0.161222442984581,0.11141365766525269,0.042940542101860046,0.16180266439914703,0.22467142343521118,0.26423242688179016,0.19279605150222778,1.0,0.1880072057247162,0.13517208397388458,0.26423242688179016,0.16925781965255737,0.1671217978000641,0.14852260053157806,0.1173049733042717
for,0.3308170735836029,0.40972793102264404,0.26689276099205017,0.3863949179649353,0.22017966210842133,0.29963481426239014,0.3312093913555145,0.4185989499092102,0.4739971458911896,0.22042374312877655,0.188797265291214,0.3650246858596802,0.34310558438301086,0.4739971458911896,0.1708642989397049,0.314039945602417,0.18168501555919647,0.264628142118454
three,0.23807744681835175,0.4501400589942932,0.19813743233680725,0.2748996615409851,0.19229699671268463,0.2332933098077774,0.25204190611839294,0.3844621181488037,0.43452659249305725,0.21347394585609436,0.13996832072734833,0.2759888768196106,0.1685696691274643,0.43452659249305725,0.18152998387813568,0.22603893280029297,0.18185727298259735,0.20928427577018738
plays,0.11004886031150818,0.13401873409748077,1.0,0.24187156558036804,0.22016258537769318,0.1411718726158142,0.1357288658618927,0.14677055180072784,0.1760704517364502,0.11789699643850327,0.07495440542697906,0.12643902003765106,0.10587330907583237,0.1760704517364502,0.24181239306926727,0.13460281491279602,0.14049376547336578,0.14138242602348328
",",0.22659391164779663,0.40610817074775696,0.24874751269817352,0.45456063747406006,0.25173696875572205,0.2797359526157379,0.3161109685897827,0.4946078956127167,0.4933079481124878,0.25448864698410034,0.23414842784404755,0.38860568404197693,0.2384856641292572,0.4933079481124878,0.2170172780752182,0.39760664105415344,0.2648763358592987,0.31091248989105225
but,0.43101516366004944,0.46599987149238586,0.14911037683486938,0.36023372411727905,0.11455316841602325,0.3627110719680786,0.4199376404285431,0.39942997694015503,0.4859698414802551,0.2667407691478729,0.2055271416902542,0.38354751467704773,0.4173714816570282,0.4859698414802551,0.18901506066322327,0.3133932948112488,0.2325286716222763,0.27921953797340393
a,0.29312583804130554,0.2872205972671509,0.2085086703300476,0.4508470594882965,0.179859921336174,0.21615740656852722,0.34264278411865234,0.5052502155303955,0.5829201340675354,0.28924596309661865,0.19739283621311188,0.3831600844860077,0.2823704481124878,0.5829201340675354,0.23578347265720367,0.322764128446579,0.1884482353925705,0.23916715383529663
holding,0.20706279575824738,0.23670759797096252,0.15777985751628876,0.18529468774795532,0.11152081191539764,0.33528006076812744,0.25683829188346863,0.25994744896888733,0.31092849373817444,0.2580483853816986,0.038179874420166016,0.2294551432132721,0.2987481951713562,0.31092849373817444,0.26241424679756165,0.20812533795833588,0.061582934111356735,0.17956523597240448
penalty,0.2022637575864792,0.17067621648311615,0.23451365530490875,0.18172121047973633,0.1543848067522049,0.1517173945903778,0.2528412640094757,0.17319345474243164,0.21881432831287384,0.18810054659843445,0.12989188730716705,0.2290625125169754,0.2042357176542282,0.21881432831287384,0.28658822178840637,0.18744297325611115,0.16708868741989136,0.1639929711818695
on,0.32655060291290283,0.32520127296447754,0.18588706851005554,0.3909217119216919,0.1561855524778366,0.22002850472927094,0.39060163497924805,0.3966929316520691,0.5107308030128479,0.2773675322532654,0.21313174068927765,0.39330315589904785,0.28457388281822205,0.5107308030128479,0.1605052351951599,0.36926645040512085,0.14340966939926147,0.2714994251728058
cornerback,0.0867813304066658,0.07561516016721725,0.35068777203559875,0.23499144613742828,0.4337158799171448,0.12514826655387878,0.18044282495975494,0.19467827677726746,0.22184298932552338,0.2372189164161682,0.17726437747478485,0.18508730828762054,0.17344506084918976,0.22184298932552338,0.30322855710983276,0.1904420703649521,0.2882269620895386,0.12237537652254105
josh,0.16762511432170868,0.12872961163520813,0.2640666365623474,0.2636607587337494,0.3325481712818146,0.17361213266849518,0.17687354981899261,0.04671921953558922,0.1496332734823227,0.13605603575706482,0.09869758039712906,0.1516834944486618,0.14195828139781952,0.1496332734823227,0.1502123326063156,0.12573163211345673,0.19483770430088043,0.1523149460554123
norman,0.15114782750606537,0.2098868191242218,0.1392296850681305,0.21643765270709991,0.21382452547550201,0.18785156309604645,0.14446021616458893,0.15827171504497528,0.23459704220294952,0.1214856207370758,0.029034186154603958,0.132674902677536,0.13784165680408478,0.23459704220294952,0.19465604424476624,0.15190823376178741,0.1802217960357666,0.12243545055389404
gave,0.19802825152873993,0.21511444449424744,0.09889807552099228,0.42201077938079834,0.1103241965174675,0.24372971057891846,0.30636557936668396,0.3650403320789337,0.32555076479911804,0.1760980188846588,0.10926615446805954,0.29880133271217346,0.3065102696418762,0.32555076479911804,0.09646420925855637,0.2647669017314911,0.08209075778722763,0.1910865753889084
the,0.33890387415885925,0.4335206151008606,0.1760704517364502,0.48711544275283813,0.2052404284477234,0.3135738670825958,0.39404502511024475,0.733189046382904,1.0,0.39658910036087036,0.26423242688179016,0.4565047025680542,0.2930673360824585,1.0,0.18895584344863892,0.40150508284568787,0.1876603662967682,0.22068053483963013
broncos,0.11217407882213593,0.1706678420305252,0.22050583362579346,0.23574475944042206,0.5774994492530823,0.1523645520210266,0.19642624258995056,0.19310332834720612,0.25985947251319885,0.2482822984457016,0.13718454539775848,0.19149857759475708,0.21133212745189667,0.25985947251319885,0.275786429643631,0.21041777729988098,0.2398018091917038,0.18377114832401276
a,0.29312583804130554,0.2872205972671509,0.2085086703300476,0.4508470594882965,0.179859921336174,0.21615740656852722,0.34264278411865234,0.5052502155303955,0.5829201340675354,0.28924596309661865,0.19739283621311188,0.3831600844860077,0.2823704481124878,0.5829201340675354,0.23578347265720367,0.322764128446579,0.1884482353925705,0.23916715383529663
new,0.20832711458206177,0.2992318272590637,0.09254811704158783,0.2748313844203949,0.2101706713438034,0.15105707943439484,0.2098110169172287,0.343457967042923,0.3845241069793701,0.20483514666557312,0.12862597405910492,0.2620960772037506,0.20673590898513794,0.3845241069793701,0.12038110941648483,0.3360432982444763,0.26593223214149475,0.14782847464084625
set,0.2561637759208679,0.23547255992889404,0.14020684361457825,0.22985222935676575,0.16463486850261688,0.2087990939617157,0.16735710203647614,0.20671486854553223,0.2927955985069275,0.27609559893608093,0.1623491495847702,0.19158436357975006,0.19602778553962708,0.2927955985069275,0.16986247897148132,0.21245217323303223,0.1896078735589981,0.1698019951581955
of,0.2480744868516922,0.37253960967063904,0.14677055180072784,0.4069072902202606,0.14595118165016174,0.25036442279815674,0.34176841378211975,1.0,0.733189046382904,0.2215006798505783,0.22467142343521118,0.3867455720901489,0.24251262843608856,0.733189046382904,0.15122076869010925,0.4249346852302551,0.18479612469673157,0.1826142966747284
downs,0.1218646913766861,0.2036919891834259,0.11339402943849564,0.18749697506427765,0.2288353145122528,0.11815286427736282,0.2156020551919937,0.21881243586540222,0.2521526515483856,0.18075712025165558,0.2659461796283722,0.16533660888671875,0.1635275036096573,0.2521526515483856,0.16257168352603912,0.1524055451154709,0.23722250759601593,0.13175012171268463
.,0.3287222981452942,0.3974229395389557,0.20513367652893066,0.40146201848983765,0.2573630213737488,0.3029547333717346,0.34234723448753357,0.5352458953857422,0.5934505462646484,0.26526886224746704,0.22223064303398132,0.35870397090911865,0.33020880818367004,0.5934505462646484,0.214210644364357,0.41536515951156616,0.20699870586395264,0.4130953550338745
