,why,the,narrow,part,of,st.,john,'s,river,called,cowford,?
the,0.30742117762565613,1.0,0.3104094862937927,0.527681291103363,0.733189046382904,0.18141359090805054,0.2230520099401474,-0.01540423184633255,0.2894456386566162,0.489897221326828,0.25348275899887085,0.22068053483963013
road,0.09338117390871048,0.27181798219680786,0.19839775562286377,0.16573815047740936,0.24218276143074036,0.14383533596992493,0.17220070958137512,0.001669416087679565,0.2615385353565216,0.1667521595954895,0.2641710937023163,0.10894691944122314
crossed,0.13022585213184357,0.3004564642906189,0.33974453806877136,0.2515263855457306,0.21417555212974548,0.18591995537281036,0.11002504825592041,0.06586077064275742,0.3556027412414551,0.18165706098079681,0.1692143678665161,0.15642015635967255
the,0.30742117762565613,1.0,0.3104094862937927,0.527681291103363,0.733189046382904,0.18141359090805054,0.2230520099401474,-0.01540423184633255,0.2894456386566162,0.489897221326828,0.25348275899887085,0.22068053483963013
st.,0.12700022757053375,0.18141359090805054,0.22304598987102509,0.08084607124328613,0.19887582957744598,1.0000001192092896,0.27566561102867126,0.045316148549318314,0.13863743841648102,0.20085439085960388,0.24113509058952332,0.13592876493930817
johns,0.21119801700115204,0.22800521552562714,0.05141320452094078,0.18470704555511475,0.22625818848609924,0.21602334082126617,0.3725590109825134,-0.006849068682640791,0.28212618827819824,0.1625956892967224,0.46765637397766113,0.20295952260494232
river,0.13273590803146362,0.2894456386566162,0.2591930031776428,0.20468007028102875,0.19903257489204407,0.13863743841648102,0.17449142038822174,-0.03599277883768082,0.9999999403953552,0.15814678370952606,0.2409917414188385,0.15390869975090027
at,0.23853865265846252,0.457212895154953,0.21013891696929932,0.27486899495124817,0.42558613419532776,0.17245982587337494,0.2018798142671585,-0.08481216430664062,0.16691477596759796,0.23534239828586578,0.28995048999786377,0.21978627145290375
a,0.2667238116264343,0.5829201340675354,0.31331387162208557,0.3994528353214264,0.5052502155303955,0.23918339610099792,0.20638683438301086,0.04866964742541313,0.20514865219593048,0.4868806302547455,0.26608777046203613,0.23916715383529663
narrow,0.2106751650571823,0.3104094862937927,1.0,0.25565090775489807,0.248264878988266,0.22304598987102509,0.1522916853427887,-0.04860107973217964,0.2591930031776428,0.2687143385410309,0.15681394934654236,0.1023377925157547
