,what,does,a,t,cell,extend,when,it,encounters,a,foreign,pathogen,?
when,0.4700249433517456,0.3380102217197418,0.44397395849227905,0.2666409909725189,0.24251431226730347,0.14406302571296692,0.9999999403953552,0.4775012135505676,0.24567516148090363,0.44397395849227905,0.23193815350532532,0.22033041715621948,0.22841128706932068
a,0.3320399522781372,0.38201746344566345,1.0,0.2456076741218567,0.21525812149047852,0.21946638822555542,0.44397395849227905,0.5452592968940735,0.26366889476776123,1.0,0.16994866728782654,0.22937901318073273,0.23916715383529663
t-cell,0.23781754076480865,0.21671117842197418,0.2623685896396637,0.266836941242218,0.746553897857666,0.17991720139980316,0.2557457983493805,0.18310397863388062,0.1584814041852951,0.2623685896396637,0.15443411469459534,0.36662426590919495,0.2173434942960739
encounters,0.17956624925136566,0.22795584797859192,0.26366889476776123,0.11955610662698746,0.15482580661773682,0.187745600938797,0.24567516148090363,0.17962630093097687,0.9999999403953552,0.26366889476776123,0.14838643372058868,0.2828890085220337,0.12401029467582703
a,0.3320399522781372,0.38201746344566345,1.0,0.2456076741218567,0.21525812149047852,0.21946638822555542,0.44397395849227905,0.5452592968940735,0.26366889476776123,1.0,0.16994866728782654,0.22937901318073273,0.23916715383529663
foreign,0.1784719079732895,0.1543559730052948,0.16994866728782654,0.1334756314754486,0.22450420260429382,0.08167745918035507,0.23193815350532532,0.14808714389801025,0.14838643372058868,0.16994866728782654,1.0000001192092896,0.2623975872993469,0.13770383596420288
pathogen,0.2550991475582123,0.25629642605781555,0.22937901318073273,0.22993117570877075,0.4826933443546295,0.20114457607269287,0.22033041715621948,0.2274223119020462,0.2828890085220337,0.22937901318073273,0.2623975872993469,0.9999999403953552,0.1893778294324875
",",0.3087472915649414,0.28617382049560547,0.427140474319458,0.31002363562583923,0.17534321546554565,0.24409228563308716,0.36674630641937256,0.48329564929008484,0.264537513256073,0.427140474319458,0.2636609673500061,0.16548964381217957,0.31091248989105225
it,0.45803478360176086,0.34188351035118103,0.5452592968940735,0.30958133935928345,0.11782132834196091,0.25493815541267395,0.4775012135505676,0.9999999403953552,0.17962630093097687,0.5452592968940735,0.14808714389801025,0.2274223119020462,0.25732165575027466
extends,0.19643902778625488,0.3191351294517517,0.31541815400123596,0.04002169892191887,0.1315397322177887,0.7992804050445557,0.1383739560842514,0.2969651520252228,0.2120921015739441,0.31541815400123596,0.07315719127655029,0.1884489506483078,0.1020013764500618
a,0.3320399522781372,0.38201746344566345,1.0,0.2456076741218567,0.21525812149047852,0.21946638822555542,0.44397395849227905,0.5452592968940735,0.26366889476776123,1.0,0.16994866728782654,0.22937901318073273,0.23916715383529663
vitamin,0.12379113584756851,0.22246594727039337,0.18759925663471222,0.23067572712898254,0.3324471414089203,0.12847588956356049,0.14377060532569885,0.17820759117603302,0.1517731100320816,0.18759925663471222,0.08433298766613007,0.44981175661087036,0.18973398208618164
d,0.13108977675437927,0.14577241241931915,0.23995991051197052,0.24372416734695435,0.09200308471918106,0.09904532879590988,0.11355490237474442,0.15498703718185425,0.12439043074846268,0.23995991051197052,0.1140119805932045,0.09361772239208221,0.1780570149421692
receptor,0.19285786151885986,0.21219012141227722,0.25855180621147156,0.22843964397907257,0.47928139567375183,0.20605535805225372,0.23153409361839294,0.2485649138689041,0.17384618520736694,0.25855180621147156,0.22573330998420715,0.5423301458358765,0.10260391980409622
.,0.3567904531955719,0.3022993505001068,0.50484299659729,0.3410096764564514,0.2801848351955414,0.23276987671852112,0.475719153881073,0.5593622326850891,0.20152589678764343,0.50484299659729,0.20514161884784698,0.20811253786087036,0.4130953550338745
