,what,did,lindzen,criticize,about,the,summary,for,policymakers,?
among,0.21154822409152985,0.2415449470281601,0.17465928196907043,0.31207817792892456,0.24609804153442383,0.3507058024406433,0.1266879290342331,0.2832789719104767,0.23316536843776703,0.14343059062957764
his,0.26976513862609863,0.3546801507472992,0.2764185667037964,0.22609218955039978,0.24169853329658508,0.4394008219242096,0.16357232630252838,0.39312878251075745,0.24305866658687592,0.18075084686279297
criticisms,0.2975212335586548,0.36151617765426636,0.13393571972846985,0.6971142888069153,0.22096902132034302,0.2489481121301651,0.3191532492637634,0.3109712302684784,0.4816761910915375,0.24547499418258667
",",0.3087472915649414,0.3015086054801941,0.3360248804092407,0.2570696175098419,0.3877100944519043,0.4933079481124878,0.19522196054458618,0.4464869201183319,0.29703962802886963,0.31091248989105225
lindzen,0.1305643916130066,0.10497323423624039,1.0,0.0647454634308815,0.1941271871328354,0.2849369943141937,0.1854223757982254,0.22805346548557281,0.25683268904685974,0.14743174612522125
has,0.20338068902492523,0.2124989777803421,0.20587943494319916,0.21309249103069305,0.35519757866859436,0.4177538752555847,0.17115998268127441,0.450642853975296,0.19830547273159027,0.15994466841220856
stated,0.3668954074382782,0.3936442732810974,0.2214348018169403,0.3822288513183594,0.3106665313243866,0.2814950942993164,0.2763482928276062,0.2897723317146301,0.3519907295703888,0.24280361831188202
that,0.6297725439071655,0.47518548369407654,0.18891070783138275,0.36734896898269653,0.4500710964202881,0.5473989248275757,0.3151160180568695,0.4137635827064514,0.37032851576805115,0.32716336846351624
the,0.42745697498321533,0.34736719727516174,0.2849369943141937,0.21518537402153015,0.37995871901512146,1.0,0.18884122371673584,0.4739971458911896,0.28423207998275757,0.22068053483963013
wgi,0.21156322956085205,0.1887391060590744,0.3066466152667999,0.10192682594060898,0.12809060513973236,0.21212871372699738,0.2739172577857971,0.2653670608997345,0.23687748610973358,0.34140899777412415
summary,0.3055417239665985,0.26932328939437866,0.1854223757982254,0.2959681749343872,0.2585284411907196,0.18884122371673584,1.0,0.1656910628080368,0.438309907913208,0.35667136311531067
for,0.3017193675041199,0.318512886762619,0.22805346548557281,0.30032265186309814,0.3312419354915619,0.4739971458911896,0.1656910628080368,0.9999999403953552,0.3394396901130676,0.264628142118454
policymakers,0.3889789879322052,0.32612815499305725,0.25683268904685974,0.48882538080215454,0.29883521795272827,0.28423207998275757,0.438309907913208,0.3394396901130676,1.0,0.32786715030670166
(,0.2411840260028839,0.18979617953300476,0.23816905915737152,0.09362190961837769,0.27495184540748596,0.33289089798927307,0.2312900424003601,0.3357032239437103,0.25079455971717834,0.40561532974243164
spm,0.11551745235919952,0.09295256435871124,0.20654501020908356,0.13747833669185638,0.11379165202379227,0.16452328860759735,0.1636357307434082,0.14340104162693024,0.2678036093711853,0.11335011571645737
),0.26259949803352356,0.18584993481636047,0.25805652141571045,0.09244707226753235,0.2775460183620453,0.3456730246543884,0.23730242252349854,0.3639558255672455,0.2410154640674591,0.42300865054130554
does,0.38564667105674744,0.5457901358604431,0.07042352855205536,0.31242644786834717,0.26877498626708984,0.35928019881248474,0.2751876413822174,0.35159170627593994,0.29219311475753784,0.338003009557724
not,0.5449194312095642,0.6481515765190125,0.12947794795036316,0.37103044986724854,0.36646416783332825,0.4310511648654938,0.31461992859840393,0.39280617237091064,0.37327927350997925,0.41942933201789856
faithfully,0.25440114736557007,0.21377114951610565,0.2656046450138092,0.2296842634677887,0.20649567246437073,0.24404484033584595,0.18708793818950653,0.24867044389247894,0.24230439960956573,0.22866539657115936
