,which,entity,is,the,secondary,legislative,body,?
the,0.6521818041801453,0.2403784692287445,0.5823672413825989,1.0,0.21037471294403076,0.27501925826072693,0.31682634353637695,0.22068053483963013
second,0.336174339056015,0.14349395036697388,0.3161451518535614,0.4620301127433777,0.24015522003173828,0.1959753930568695,0.18089659512043,0.17239587008953094
main,0.37042954564094543,0.22323589026927948,0.3009335994720459,0.38631999492645264,0.33429089188575745,0.17037227749824524,0.15962408483028412,0.1665669083595276
legislative,0.2521616220474243,0.2742753028869629,0.19055356085300446,0.27501925826072693,0.24411724507808685,1.0,0.23851090669631958,0.1654243916273117
body,0.3445165753364563,0.2273539900779724,0.2790417969226837,0.31682634353637695,0.1644885092973709,0.23851090669631958,1.0,0.20136451721191406
is,0.4457404911518097,0.28724968433380127,1.0,0.5823672413825989,0.19772830605506897,0.19055356085300446,0.2790417969226837,0.22961433231830597
the,0.6521818041801453,0.2403784692287445,0.5823672413825989,1.0,0.21037471294403076,0.27501925826072693,0.31682634353637695,0.22068053483963013
council,0.20855821669101715,0.20454207062721252,0.2196589708328247,0.2829204201698303,0.1398116946220398,0.42707106471061707,0.2337609976530075,0.1160062924027443
",",0.3658004403114319,0.19129666686058044,0.4691906273365021,0.4933079481124878,0.2158004194498062,0.24434074759483337,0.22437527775764465,0.31091248989105225
which,1.0,0.2909833490848541,0.4457404911518097,0.6521818041801453,0.29409417510032654,0.2521616220474243,0.3445165753364563,0.25814583897590637
is,0.4457404911518097,0.28724968433380127,1.0,0.5823672413825989,0.19772830605506897,0.19055356085300446,0.2790417969226837,0.22961433231830597
composed,0.28373631834983826,0.12378045916557312,0.18838012218475342,0.21816956996917725,0.2020954042673111,0.18700926005840302,0.17520186305046082,0.0784355029463768
of,0.5011631846427917,0.21258564293384552,0.4854315221309662,0.733189046382904,0.219074085354805,0.34083476662635803,0.25063133239746094,0.1826142966747284
different,0.48997771739959717,0.20722007751464844,0.24624870717525482,0.36412742733955383,0.23539356887340546,0.1807805448770523,0.24634623527526855,0.24476227164268494
ministers,0.21468371152877808,0.15948913991451263,0.16078178584575653,0.2563166916370392,0.228117436170578,0.4052157998085022,0.13459469377994537,0.15132683515548706
of,0.5011631846427917,0.21258564293384552,0.4854315221309662,0.733189046382904,0.219074085354805,0.34083476662635803,0.25063133239746094,0.1826142966747284
the,0.6521818041801453,0.2403784692287445,0.5823672413825989,1.0,0.21037471294403076,0.27501925826072693,0.31682634353637695,0.22068053483963013
member,0.19141918420791626,0.14884474873542786,0.2522773742675781,0.2806392312049866,0.10121159255504608,0.3008553981781006,0.1381404846906662,0.06826172769069672
states,0.27476921677589417,0.1935424953699112,0.21939043700695038,0.3463578522205353,0.1154547706246376,0.3053472340106964,0.1780509203672409,0.16272737085819244
.,0.45942068099975586,0.24862751364707947,0.4569662809371948,0.5934505462646484,0.195527583360672,0.25327762961387634,0.29751062393188477,0.4130953550338745
