,why,is,giving,a,defiant,speech,sometimes,more,harmful,for,the,individual,?
this,0.5040162205696106,0.480927973985672,0.33775049448013306,0.5422310829162598,0.3021017611026764,0.260648638010025,0.32523825764656067,0.5430014133453369,0.37191009521484375,0.5082864165306091,0.6274310946464539,0.38206401467323303,0.3155723512172699
action,0.19089697301387787,0.20976395905017853,0.14454518258571625,0.2362375408411026,0.27814486622810364,0.17354150116443634,0.1504301279783249,0.19991999864578247,0.19785770773887634,0.23083873093128204,0.28415048122406006,0.24435625970363617,0.250188946723938
was,0.23341619968414307,0.5810302495956421,0.2248714715242386,0.4508470594882965,0.24574606120586395,0.19483859837055206,0.20651423931121826,0.21525104343891144,0.07819964736700058,0.3863949179649353,0.48711544275283813,0.13266901671886444,0.18412111699581146
upheld,0.22352375090122223,0.1977982223033905,0.20524172484874725,0.24785782396793365,0.24534864723682404,0.25003156065940857,0.15484784543514252,0.20584723353385925,0.23900055885314941,0.1978510469198227,0.3273695409297943,0.24460174143314362,0.20348112285137177
because,0.5926418900489807,0.4047735333442688,0.37835603952407837,0.42230045795440674,0.2480892688035965,0.2039184868335724,0.47810056805610657,0.4338211119174957,0.4292733073234558,0.4676002562046051,0.44596394896507263,0.28853318095207214,0.2528740465641022
",",0.2827242314815521,0.4691906273365021,0.28642573952674866,0.427140474319458,0.26136863231658936,0.19290532171726227,0.26600122451782227,0.3696524500846863,0.25202834606170654,0.4464869201183319,0.4933079481124878,0.20963770151138306,0.31091248989105225
according,0.1806025505065918,0.2838992476463318,0.1948588639497757,0.239227756857872,0.15310029685497284,0.14418666064739227,0.1804073601961136,0.22043061256408691,0.1807822585105896,0.1956551969051361,0.3202974498271942,0.19942520558834076,0.21173474192619324
to,0.4100138247013092,0.42745086550712585,0.36088186502456665,0.45503583550453186,0.13610327243804932,0.22835496068000793,0.4055429697036743,0.47084665298461914,0.25127455592155457,0.4451248347759247,0.535392165184021,0.3278317153453827,0.29463258385658264
the,0.30742117762565613,0.5823672413825989,0.3626074492931366,0.5829201340675354,0.2603258192539215,0.2542078197002411,0.35816407203674316,0.39758381247520447,0.19134685397148132,0.4739971458911896,1.0,0.3706541955471039,0.22068053483963013
u.s.,0.07553931325674057,-0.05269147455692291,0.0773322731256485,0.0347411222755909,0.05853652209043503,0.02410401776432991,-0.033894576132297516,0.037427712231874466,-0.09738832712173462,0.11615988612174988,0.06592652946710587,-0.04769403114914894,0.07886100560426712
court,0.11776331812143326,0.20797641575336456,0.09297148883342743,0.23624834418296814,0.08480222523212433,0.18850471079349518,0.16186578571796417,0.12774759531021118,0.10197969526052475,0.21894486248493195,0.2812081575393677,0.18884463608264923,0.17100423574447632
of,0.28464117646217346,0.4854315221309662,0.3440891206264496,0.5052502155303955,0.20513923466205597,0.23325279355049133,0.296434611082077,0.30478984117507935,0.21154963970184326,0.4185989499092102,0.733189046382904,0.3372420072555542,0.1826142966747284
appeals,0.15433236956596375,0.20718960464000702,0.2095676064491272,0.21115471422672272,0.13794001936912537,0.23066148161888123,0.13022519648075104,0.19497978687286377,0.18441271781921387,0.23696205019950867,0.28037509322166443,0.25398045778274536,0.1764155626296997
for,0.3869043290615082,0.43268078565597534,0.39347827434539795,0.44038116931915283,0.20952461659908295,0.23515817523002625,0.28293126821517944,0.3891189992427826,0.2436448037624359,0.9999999403953552,0.4739971458911896,0.33574938774108887,0.264628142118454
