,what,was,tesla,'s,belief,as,to,the,selling,price,of,the,biplane,?
tesla,0.23221199214458466,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.19071856141090393,0.10285310447216034,0.17548894882202148,0.1324402391910553,0.1712011694908142,0.21392814815044403,0.18837453424930573,0.1324402391910553,0.2656724452972412,0.10250775516033173
thought,0.4469435214996338,0.42560186982154846,0.0704183354973793,0.04379833862185478,0.39838331937789917,0.3461970388889313,0.3858291208744049,0.3509289622306824,0.18957872688770294,0.14213766157627106,0.34673458337783813,0.3509289622306824,0.1888071447610855,0.2600135803222656
the,0.42745697498321533,0.48711544275283813,0.1324402391910553,-0.01540423184633255,0.22474968433380127,0.48381632566452026,0.535392165184021,1.0,0.25230732560157776,0.22636492550373077,0.733189046382904,1.0,0.22968971729278564,0.22068053483963013
plane,0.2054184526205063,0.22536347806453705,0.2084037810564041,0.0020470870658755302,0.13190597295761108,0.13044579327106476,0.23809495568275452,0.21517011523246765,0.144235759973526,0.1648293286561966,0.19354581832885742,0.21517011523246765,0.7528334259986877,0.13043971359729767
would,0.45766422152519226,0.41663143038749695,0.14290116727352142,0.036968596279621124,0.2979961037635803,0.3824005722999573,0.5965728163719177,0.4133751392364502,0.20432956516742706,0.2925451397895813,0.3353942930698395,0.4133751392364502,0.14373716711997986,0.37178951501846313
sell,0.24112503230571747,0.2253432720899582,0.1555752456188202,0.10946694761514664,0.1663264036178589,0.2386748045682907,0.35664159059524536,0.19874759018421173,0.6456551551818848,0.45852595567703247,0.16354906558990479,0.19874759018421173,0.10434369742870331,0.1556897759437561
for,0.3017193675041199,0.3863949179649353,0.13983871042728424,-0.07241261005401611,0.20662997663021088,0.44774648547172546,0.4451248347759247,0.4739971458911896,0.3254118263721466,0.2516993284225464,0.4185989499092102,0.4739971458911896,0.16485415399074554,0.264628142118454
less,0.31119704246520996,0.19779354333877563,0.1828860193490982,-0.06965893507003784,0.26344671845436096,0.3253805339336395,0.38397523760795593,0.29185041785240173,0.2215033322572708,0.25023379921913147,0.30836719274520874,0.29185041785240173,0.17915794253349304,0.22418740391731262
than,0.29388150572776794,0.1872616857290268,0.16368234157562256,0.0585811510682106,0.22582845389842987,0.40532299876213074,0.3192550539970398,0.3227543234825134,0.2635725438594818,0.25886934995651245,0.33036211133003235,0.3227543234825134,0.179167240858078,0.24917294085025787
$,0.24858909845352173,0.23838669061660767,0.23458653688430786,0.03734852001070976,0.09553642570972443,0.1542796492576599,0.22282108664512634,0.23367542028427124,0.3013063967227936,0.3850068151950836,0.11268499493598938,0.23367542028427124,0.14454172551631927,0.2786129117012024
"1,000",0.012389501556754112,0.18175923824310303,-0.003013050416484475,0.0031027605291455984,-0.04143625870347023,0.08981356024742126,0.1955108344554901,0.13923996686935425,-0.022192198783159256,0.021535271778702736,0.09292811155319214,0.13923996686935425,0.22098305821418762,0.02905043587088585
.,0.3567904531955719,0.40146201848983765,0.17949827015399933,-0.003708066651597619,0.226570263504982,0.515582263469696,0.4645031690597534,0.5934505462646484,0.2498367726802826,0.20274421572685242,0.5352458953857422,0.5934505462646484,0.2714553475379944,0.4130953550338745
