,what,organization,predicted,that,the,amazon,forest,could,survive,only,three,years,of,drought,?
a,0.3320399522781372,0.2565373480319977,0.18715599179267883,0.47537946701049805,0.5829201340675354,0.1865728348493576,0.24025723338127136,0.3736826181411743,0.21787875890731812,0.47549712657928467,0.3025658130645752,0.23773819208145142,0.5052502155303955,0.21180132031440735,0.23916715383529663
july,0.22688010334968567,0.21239784359931946,0.1808633655309677,0.19204501807689667,0.2371699959039688,0.16211193799972534,0.12046796083450317,0.19356638193130493,0.10890766233205795,0.23441679775714874,0.1362798810005188,0.2534412741661072,0.19723743200302124,0.1050991490483284,0.2897891402244568
23,0.036675017327070236,-0.0075903115794062614,-0.053824570029973984,0.030974483117461205,-0.04008803516626358,0.023525862023234367,-0.04468771442770958,-0.024833792820572853,-0.05090517923235893,-0.030875885859131813,-0.10594086349010468,-0.01458686776459217,-0.01973372884094715,-0.09674462676048279,0.012076443061232567
",",0.3087472915649414,0.1819751113653183,0.1842040866613388,0.4137537479400635,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.27399855852127075,0.23943406343460083,0.4220978021621704,0.3347506821155548,0.2589467465877533,0.4946078956127167,0.2273346185684204,0.31091248989105225
2006,-0.0008085015579126775,0.02953280508518219,-0.03880320116877556,0.10252685844898224,0.11294147372245789,0.03526882082223892,-0.05544188618659973,0.009085745550692081,0.10310592502355576,0.1263696700334549,0.0982213020324707,0.03130507469177246,0.10009169578552246,0.09052130579948425,-0.1194092258810997
article,0.40514686703681946,0.34165653586387634,0.1604025512933731,0.41666144132614136,0.3329811692237854,0.19432488083839417,0.11697158962488174,0.3629496991634369,0.16483664512634277,0.32931867241859436,0.17301884293556213,0.18366219103336334,0.25720444321632385,0.2034958451986313,0.4948462247848511
in,0.30808621644973755,0.2513086795806885,0.17930050194263458,0.435920387506485,0.6662389636039734,0.12227833271026611,0.24136987328529358,0.29357993602752686,0.22333702445030212,0.42992329597473145,0.34828072786331177,0.33554986119270325,0.5696388483047485,0.2705814242362976,0.20430970191955566
the,0.42745697498321533,0.311172217130661,0.18655166029930115,0.5473989248275757,1.0,0.260541707277298,0.24134553968906403,0.35393214225769043,0.25732097029685974,0.5497692227363586,0.43452659249305725,0.2912273406982422,0.733189046382904,0.33421388268470764,0.22068053483963013
uk,0.17163191735744476,0.160966694355011,0.07354571670293808,0.1688336580991745,0.2143084555864334,0.22353878617286682,0.1266625076532364,0.1607351452112198,0.06445549428462982,0.2043992280960083,0.16148315370082855,0.1076527014374733,0.21513383090496063,0.05734515190124512,0.20222434401512146
newspaper,0.19692619144916534,0.3055880665779114,0.09141744673252106,0.20911724865436554,0.228145033121109,0.1800529807806015,0.10320726037025452,0.17248791456222534,0.0398143045604229,0.15307150781154633,0.1625232696533203,0.16926410794258118,0.1885620355606079,0.08627321571111679,0.12645277380943298
the,0.42745697498321533,0.311172217130661,0.18655166029930115,0.5473989248275757,1.0,0.260541707277298,0.24134553968906403,0.35393214225769043,0.25732097029685974,0.5497692227363586,0.43452659249305725,0.2912273406982422,0.733189046382904,0.33421388268470764,0.22068053483963013
independent,0.28752967715263367,0.2774427831172943,0.18129701912403107,0.24654069542884827,0.2927691638469696,0.11755356937646866,0.07320303469896317,0.1698675900697708,0.13491016626358032,0.251294881105423,0.19372893869876862,0.20045651495456696,0.30508819222450256,0.05968257412314415,0.11902587860822678
