,who,was,the,game,'s,top,receiver,?
manning,0.33436715602874756,0.2607507109642029,0.27058160305023193,0.3214661478996277,0.021839646622538567,0.1531137228012085,0.38810068368911743,0.15856626629829407
finished,0.18257364630699158,0.3428505063056946,0.2754973769187927,0.21245916187763214,0.008866960182785988,0.26011550426483154,0.10936953872442245,0.14789283275604248
the,0.3733934462070465,0.48711544275283813,1.0,0.285271555185318,-0.01540423184633255,0.31754136085510254,0.21850530803203583,0.22068053483963013
game,0.2523840069770813,0.2568269371986389,0.285271555185318,0.9999998807907104,0.07448072731494904,0.17028358578681946,0.2444303035736084,0.1829071193933487
13,0.09338453412055969,0.020193999633193016,-0.007407139986753464,-0.016837120056152344,-0.14436520636081696,0.02874116785824299,0.05564387887716293,-0.11384815722703934
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.2298848181962967,-0.03817026689648628,0.20362378656864166,0.13342490792274475,0.1826142966747284
23,0.014098330400884151,-0.04668274149298668,-0.04008803516626358,-0.003430671989917755,-0.0245733093470335,0.006761019583791494,-0.016298476606607437,0.012076443061232567
for,0.37110671401023865,0.3863949179649353,0.4739971458911896,0.2608485519886017,-0.07241261005401611,0.2343461513519287,0.2781907320022583,0.264628142118454
141,-0.1723339706659317,0.060719650238752365,0.19760951399803162,-0.05470919981598854,-0.021018298342823982,0.021955357864499092,0.10380969941616058,-0.08005204051733017
yards,0.13584628701210022,0.1823360025882721,0.16070343554019928,0.2516956329345703,0.0408332459628582,0.1591150313615799,0.3680224120616913,0.12453813850879669
with,0.3282766342163086,0.27411898970603943,0.4223487675189972,0.19394829869270325,-0.04624466598033905,0.23125949501991272,0.19242490828037262,0.2433311939239502
one,0.40083858370780945,0.3752199709415436,0.5514441132545471,0.2554377615451813,0.06913424283266068,0.34088772535324097,0.20690518617630005,0.2673267424106598
interception,0.1595821976661682,0.20178072154521942,0.24153481423854828,0.28776344656944275,-0.015823502093553543,0.15752342343330383,0.5155342221260071,0.11704724282026291
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.25192898511886597,0.06895173341035843,0.281191349029541,0.23549625277519226,0.20544172823429108
zero,0.1051361933350563,0.11821798235177994,0.22528071701526642,0.21722480654716492,-0.07774972170591354,0.2318054437637329,0.18814843893051147,0.16971594095230103
touchdowns,0.18127667903900146,0.2174215018749237,0.20508192479610443,0.3884691894054413,0.06078888103365898,0.23246434330940247,0.4731222093105316,0.1509619653224945
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.2581658959388733,-0.003708066651597619,0.3064132034778595,0.23982074856758118,0.4130953550338745
