,what,is,the,former,name,of,the,v,&,a,theatre,&,performance,galleries,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2251449078321457,0.3171212375164032,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25594043731689453,0.14992168545722961,0.260756254196167,0.27603694796562195,0.22068053483963013
v,0.16628342866897583,0.16126930713653564,0.18580520153045654,0.14463679492473602,0.12605811655521393,0.1655031144618988,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,0.15862858295440674,0.10860954970121384,0.15144681930541992,0.17544934153556824,0.28677162528038025
&,0.11141876131296158,0.08384179323911667,0.14992168545722961,0.1116473451256752,0.0724157989025116,0.19900451600551605,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.10870680212974548,0.9999998807907104,0.10423384606838226,0.18190616369247437,0.12596383690834045
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2562483549118042,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.2103080451488495,0.07266713678836823,0.25398191809654236,0.16555815935134888,0.23916715383529663
theatre,0.12211663275957108,0.17514966428279877,0.25594043731689453,0.14696469902992249,0.10952837765216827,0.19807180762290955,0.25594043731689453,0.15862858295440674,0.10870680212974548,0.2103080451488495,1.0,0.10870680212974548,0.36168646812438965,0.34344226121902466,0.1159285232424736
&,0.11141876131296158,0.08384179323911667,0.14992168545722961,0.1116473451256752,0.0724157989025116,0.19900451600551605,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.10870680212974548,0.9999998807907104,0.10423384606838226,0.18190616369247437,0.12596383690834045
performance,0.1804763227701187,0.21145814657211304,0.260756254196167,0.12379153072834015,0.16631686687469482,0.18957610428333282,0.260756254196167,0.15144681930541992,0.10423384606838226,0.25398191809654236,0.36168646812438965,0.10423384606838226,1.0000001192092896,0.18553638458251953,0.1587955504655838
galleries,0.17793069779872894,0.16632306575775146,0.27603694796562195,0.1433752477169037,0.07272813469171524,0.24172402918338776,0.27603694796562195,0.17544934153556824,0.18190616369247437,0.16555815935134888,0.34344226121902466,0.18190616369247437,0.18553638458251953,0.9999998807907104,0.1957392692565918
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2738454341888428,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.29216358065605164,0.2516871392726898,0.2156122624874115,0.2487238645553589,0.31091248989105225
formerly,0.1585959643125534,0.3130042850971222,0.2854805290699005,0.45497772097587585,0.29912957549095154,0.27187931537628174,0.2854805290699005,0.14726966619491577,0.16683867573738098,0.24537251889705658,0.21327772736549377,0.16683867573738098,0.12181863933801651,0.11838431656360626,0.0843876302242279
the,0.42745697498321533,0.5823672413825989,1.0,0.2251449078321457,0.3171212375164032,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25594043731689453,0.14992168545722961,0.260756254196167,0.27603694796562195,0.22068053483963013
theatre,0.12211663275957108,0.17514966428279877,0.25594043731689453,0.14696469902992249,0.10952837765216827,0.19807180762290955,0.25594043731689453,0.15862858295440674,0.10870680212974548,0.2103080451488495,1.0,0.10870680212974548,0.36168646812438965,0.34344226121902466,0.1159285232424736
museum,0.1771627515554428,0.18299639225006104,0.24861779808998108,0.1504972130060196,0.10610661655664444,0.23314370214939117,0.24861779808998108,0.07561434060335159,0.18110838532447815,0.14725451171398163,0.3464374840259552,0.18110838532447815,0.15353219211101532,0.54404217004776,0.14128351211547852
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2738454341888428,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.29216358065605164,0.2516871392726898,0.2156122624874115,0.2487238645553589,0.31091248989105225
opened,0.14500318467617035,0.15947836637496948,0.28544309735298157,0.17247235774993896,0.17870084941387177,0.16720551252365112,0.28544309735298157,0.07595886290073395,0.1428482085466385,0.20146222412586212,0.35501691699028015,0.1428482085466385,0.20971666276454926,0.2789672017097473,0.1934700310230255
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2668642997741699,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.26776230335235596,0.1358654648065567,0.252952516078949,0.2712664008140564,0.20430970191955566
march,0.20529508590698242,0.22987359762191772,0.2680487632751465,0.29937779903411865,0.1554587185382843,0.20692677795886993,0.2680487632751465,0.11564301699399948,0.141702800989151,0.23374363780021667,0.22269301116466522,0.141702800989151,0.20265606045722961,0.1081869825720787,0.2802562415599823
2009,-0.2519478499889374,-0.22361645102500916,-0.23935742676258087,-0.21675346791744232,-0.14741137623786926,-0.2637706398963928,-0.23935742676258087,-0.17017494142055511,-0.0035072974860668182,-0.24348297715187073,-0.15492351353168488,-0.0035072974860668182,-0.08186472207307816,-0.22622942924499512,-0.2287932187318802
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.20895031094551086,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.2394188642501831,0.16452857851982117,0.18741370737552643,0.2919006645679474,0.4130953550338745
