,what,components,raise,steam,temperature,above,its,saturated,vapor,point,?
other,0.341873437166214,0.35104647278785706,0.21995016932487488,0.17945607006549835,0.2364957481622696,0.27009040117263794,0.29483991861343384,0.22914212942123413,0.21919621527194977,0.24576379358768463,0.24682199954986572
components,0.20314843952655792,0.9999998807907104,0.10777516663074493,0.29934391379356384,0.29308491945266724,0.2030387967824936,0.31067872047424316,0.3837060332298279,0.33641210198402405,0.21923747658729553,0.12744711339473724
are,0.29724663496017456,0.3832094073295593,0.23169788718223572,0.14139318466186523,0.2518121302127838,0.30420252680778503,0.30942749977111816,0.27052226662635803,0.23339711129665375,0.2547467350959778,0.24591213464736938
often,0.3849453330039978,0.3070656359195709,0.24312712252140045,0.21491561830043793,0.24248656630516052,0.2452625036239624,0.286950945854187,0.3053532838821411,0.2015390843153,0.1616777628660202,0.23748154938220978
present,0.30940163135528564,0.18411265313625336,0.07837814092636108,0.12616181373596191,0.22175462543964386,0.15734116733074188,0.20400136709213257,0.16403859853744507,0.16716518998146057,0.1320517510175705,0.21759982407093048
;,0.10986888408660889,0.06231365725398064,-0.08659226447343826,-0.0341496504843235,0.05269727483391762,0.06992873549461365,0.056731753051280975,0.04305953159928322,0.042254142463207245,0.07141175121068954,0.10349778085947037
pumps,0.1776767075061798,0.3838920295238495,0.2627728283405304,0.5463012456893921,0.35320284962654114,0.29712536931037903,0.21250541508197784,0.3855859041213989,0.4857977628707886,0.24412155151367188,0.17318885028362274
(,0.2411840260028839,0.16601450741291046,0.1708383709192276,0.11881943792104721,0.20595431327819824,0.25393345952033997,0.1924784928560257,0.19765247404575348,0.1984604001045227,0.21612024307250977,0.40561532974243164
such,0.23989605903625488,0.3044920563697815,0.2152385264635086,0.27096763253211975,0.18709661066532135,0.2529869079589844,0.22375942766666412,0.2898728847503662,0.24759723246097565,0.13250209391117096,0.17851735651493073
as,0.31749409437179565,0.21595168113708496,0.212449848651886,0.20776431262493134,0.16889309883117676,0.3755744695663452,0.31874480843544006,0.2649872899055481,0.18430878221988678,0.1902783066034317,0.27043893933296204
an,0.2821882665157318,0.20566610991954803,0.1360083669424057,0.13589277863502502,0.19646641612052917,0.26923608779907227,0.28139030933380127,0.24544408917427063,0.11907549947500229,0.20735062658786774,0.19793890416622162
injector,0.1260526329278946,0.3057345747947693,0.0601101815700531,0.2854904532432556,0.22468341886997223,0.08776635676622391,0.1703483909368515,0.2673448622226715,0.32806384563446045,0.13990464806556702,0.15984784066677094
