,are,atmospheric,oxygen,levels,going,up,",",down,",",or,staying,the,same,?
however,0.44812726974487305,0.24023008346557617,0.2527382969856262,0.297495037317276,0.42050090432167053,0.357430636882782,0.4037865996360779,0.2962009310722351,0.4037865996360779,0.4068179726600647,0.3715623915195465,0.49814513325691223,0.43908098340034485,0.2152075469493866
",",0.4062570035457611,0.24152730405330658,0.21812842786312103,0.2284579873085022,0.2957560122013092,0.34193792939186096,1.0000001192092896,0.23362469673156738,1.0000001192092896,0.3769497275352478,0.29362764954566956,0.4933079481124878,0.3207721710205078,0.31091248989105225
monitoring,0.26688894629478455,0.35936617851257324,0.2627665400505066,0.2932211458683014,0.28846338391304016,0.21898598968982697,0.2223791927099228,0.12596000730991364,0.2223791927099228,0.2830529808998108,0.2593764662742615,0.2573389708995819,0.2506174147129059,0.21475833654403687
of,0.39081433415412903,0.25383174419403076,0.16848602890968323,0.23668165504932404,0.2849585711956024,0.32945773005485535,0.4946078956127167,0.23279321193695068,0.4946078956127167,0.3792596757411957,0.26079121232032776,0.733189046382904,0.3808329105377197,0.1826142966747284
atmospheric,0.18460805714130402,1.0000001192092896,0.4502122104167938,0.3486197292804718,0.19976408779621124,0.24020396173000336,0.24152730405330658,0.19306474924087524,0.24152730405330658,0.1820797473192215,0.13561564683914185,0.25230076909065247,0.22102141380310059,0.11404281854629517
oxygen,0.24342744052410126,0.4502122104167938,0.9999999403953552,0.315774530172348,0.2234678417444229,0.28784632682800293,0.21812842786312103,0.24271062016487122,0.21812842786312103,0.2669152021408081,0.1463850438594818,0.20428593456745148,0.18194973468780518,0.16786395013332367
levels,0.3186073899269104,0.3486197292804718,0.315774530172348,0.9999998807907104,0.24284468591213226,0.24807043373584747,0.2284579873085022,0.21623972058296204,0.2284579873085022,0.3130805194377899,0.21925581991672516,0.286034494638443,0.2297036051750183,0.1541307419538498
show,0.26362085342407227,0.15268614888191223,0.21978338062763214,0.18891248106956482,0.1937745064496994,0.27403897047042847,0.31928569078445435,0.2024475336074829,0.31928569078445435,0.2248045802116394,0.18599039316177368,0.319829523563385,0.24768278002738953,0.2520138621330261
a,0.265255331993103,0.17021165788173676,0.21662019193172455,0.21465790271759033,0.3356470763683319,0.32523053884506226,0.427140474319458,0.2387222796678543,0.427140474319458,0.48853766918182373,0.2583463788032532,0.5829201340675354,0.4048157036304474,0.23916715383529663
global,0.13763219118118286,0.24586617946624756,0.21841073036193848,0.17223604023456573,0.23634777963161469,0.14296163618564606,0.1937657743692398,0.12508748471736908,0.1937657743692398,0.17781540751457214,0.11987553536891937,0.17898012697696686,0.17883805930614471,0.22985349595546722
downward,0.2425302118062973,0.30101478099823,0.27333536744117737,0.20773737132549286,0.251618355512619,0.3318062424659729,0.16886921226978302,0.5200070738792419,0.16886921226978302,0.30422207713127136,0.2302146703004837,0.30498912930488586,0.2495695948600769,0.19264617562294006
trend,0.1695440411567688,0.18993991613388062,0.15985815227031708,0.18724770843982697,0.22560453414916992,0.25539785623550415,0.2384498566389084,0.2056962251663208,0.2384498566389084,0.16753239929676056,0.1783670037984848,0.23692767322063446,0.20547954738140106,0.10325077921152115
",",0.4062570035457611,0.24152730405330658,0.21812842786312103,0.2284579873085022,0.2957560122013092,0.34193792939186096,1.0000001192092896,0.23362469673156738,1.0000001192092896,0.3769497275352478,0.29362764954566956,0.4933079481124878,0.3207721710205078,0.31091248989105225
because,0.43093472719192505,0.19284220039844513,0.28859952092170715,0.2919245660305023,0.4442082345485687,0.2798987329006195,0.372031033039093,0.2998494803905487,0.372031033039093,0.46777650713920593,0.3538820743560791,0.44596394896507263,0.39286985993385315,0.2528740465641022
of,0.39081433415412903,0.25383174419403076,0.16848602890968323,0.23668165504932404,0.2849585711956024,0.32945773005485535,0.4946078956127167,0.23279321193695068,0.4946078956127167,0.3792596757411957,0.26079121232032776,0.733189046382904,0.3808329105377197,0.1826142966747284
fossil-fuel,0.21741265058517456,0.321295827627182,0.3474731743335724,0.18307217955589294,0.19178277254104614,0.1981833577156067,0.25501102209091187,0.19922971725463867,0.25501102209091187,0.1695130467414856,0.1816047728061676,0.2652856707572937,0.19877810776233673,0.16987590491771698
burning,0.16779202222824097,0.21184954047203064,0.3431527316570282,0.18558134138584137,0.27687814831733704,0.28074342012405396,0.2103968858718872,0.3388853967189789,0.2103968858718872,0.26401615142822266,0.26729291677474976,0.2821531891822815,0.14616355299949646,0.18033187091350555
.,0.3452940285205841,0.21829068660736084,0.2554275095462799,0.24042059481143951,0.3473944664001465,0.351434588432312,0.6812511086463928,0.2362249493598938,0.6812511086463928,0.36683785915374756,0.28649798035621643,0.5934505462646484,0.3682591915130615,0.4130953550338745
