,what,did,the,church,do,when,luther,refused,to,retract,his,writings,?
his,0.26976513862609863,0.3546801507472992,0.4394008219242096,0.20669284462928772,0.15088757872581482,0.37120407819747925,0.27093374729156494,0.39846259355545044,0.3715193271636963,0.31522029638290405,0.9999998807907104,0.3246472179889679,0.18075084686279297
refusal,0.3242574632167816,0.3917485475540161,0.29118961095809937,0.29976773262023926,0.3261302411556244,0.2046433538198471,0.2885873317718506,0.6617932319641113,0.4434225857257843,0.2994269132614136,0.32034581899642944,0.28777727484703064,0.21465960144996643
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.24439501762390137,0.38876664638519287,0.5423505902290344,0.18029534816741943,0.41818010807037354,1.0,0.3047446012496948,0.3715193271636963,0.18383939564228058,0.29463258385658264
retract,0.2807753086090088,0.22472919523715973,0.2649511396884918,0.12130146473646164,0.2723286747932434,0.2686954736709595,0.12246426194906235,0.3024771511554718,0.3047446012496948,0.9999998807907104,0.31522029638290405,0.11407944560050964,0.2206926792860031
all,0.41981086134910583,0.33943864703178406,0.4860881567001343,0.175497367978096,0.38664430379867554,0.35107192397117615,0.1917443871498108,0.2468220740556717,0.42520734667778015,0.24461862444877625,0.30359330773353577,0.21836896240711212,0.29575422406196594
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.3079429268836975,0.26150479912757874,0.3757161796092987,0.1719115972518921,0.21729640662670135,0.41548454761505127,0.17479854822158813,0.38364991545677185,0.24593348801136017,0.1826142966747284
his,0.26976513862609863,0.3546801507472992,0.4394008219242096,0.20669284462928772,0.15088757872581482,0.37120407819747925,0.27093374729156494,0.39846259355545044,0.3715193271636963,0.31522029638290405,0.9999998807907104,0.3246472179889679,0.18075084686279297
writings,0.31019967794418335,0.262403666973114,0.21431727707386017,0.3023533523082733,0.20442017912864685,0.18043038249015808,0.32714858651161194,0.19085218012332916,0.18383939564228058,0.11407944560050964,0.3246472179889679,1.0000001192092896,0.1770159751176834
at,0.2838611304759979,0.28390252590179443,0.457212895154953,0.1633070856332779,0.1511090099811554,0.38876327872276306,0.13834704458713531,0.24029305577278137,0.36524343490600586,0.2027413547039032,0.27659502625465393,0.14241008460521698,0.21978627145290375
the,0.42745697498321533,0.34736719727516174,1.0,0.23846197128295898,0.30239659547805786,0.5091903209686279,0.1759674996137619,0.2606237530708313,0.535392165184021,0.2649511396884918,0.4394008219242096,0.21431727707386017,0.22068053483963013
demand,0.2007312774658203,0.26737719774246216,0.27194610238075256,0.13782967627048492,0.17664314806461334,0.2882395088672638,0.1569545865058899,0.33638620376586914,0.33607128262519836,0.24748849868774414,0.2100144624710083,0.1239205151796341,0.13359291851520538
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.3079429268836975,0.26150479912757874,0.3757161796092987,0.1719115972518921,0.21729640662670135,0.41548454761505127,0.17479854822158813,0.38364991545677185,0.24593348801136017,0.1826142966747284
pope,0.20446611940860748,0.17841137945652008,0.2285010814666748,0.41707751154899597,0.1851387321949005,0.22106969356536865,0.27229586243629456,0.23752929270267487,0.25680112838745117,0.2080528289079666,0.27638018131256104,0.2807806134223938,0.25004681944847107
leo,0.09019506722688675,0.14129512012004852,0.16220510005950928,0.1446887105703354,0.07524029910564423,0.2307606190443039,0.21605272591114044,0.24577657878398895,0.16922390460968018,0.1590462177991867,0.1982364058494568,0.13335976004600525,0.14148910343647003
x,0.13783220946788788,0.13131415843963623,0.20980626344680786,0.09835823625326157,0.13968807458877563,0.16217176616191864,0.22094453871250153,0.07047688961029053,0.21431612968444824,0.12477951496839523,0.14519838988780975,0.12933838367462158,0.23304535448551178
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.2493300437927246,0.23402775824069977,0.4431333839893341,0.20523880422115326,0.2417421191930771,0.45010748505592346,0.13030321896076202,0.3598145842552185,0.2301568239927292,0.20430970191955566
1520,0.066243477165699,0.15639068186283112,0.037181392312049866,0.1376914232969284,0.06960137188434601,0.05388196185231209,0.25964635610580444,0.21531112492084503,0.08302489668130875,0.06584752351045609,0.1967138946056366,0.10728586465120316,0.1734924167394638
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.1976170688867569,0.276123583316803,0.4716290831565857,0.20796556770801544,0.24383415281772614,0.48971283435821533,0.1872260868549347,0.4234102666378021,0.2566024661064148,0.20544172823429108
the,0.42745697498321533,0.34736719727516174,1.0,0.23846197128295898,0.30239659547805786,0.5091903209686279,0.1759674996137619,0.2606237530708313,0.535392165184021,0.2649511396884918,0.4394008219242096,0.21431727707386017,0.22068053483963013
holy,0.21269184350967407,0.1021214947104454,0.2778179347515106,0.4132955074310303,0.13359378278255463,0.16601495444774628,0.21725739538669586,0.2060365229845047,0.22131432592868805,0.09603578597307205,0.1879551112651825,0.2951078712940216,0.18148104846477509
roman,0.17852471768856049,0.1483525037765503,0.2862859070301056,0.4228571951389313,0.13077840209007263,0.1767279952764511,0.19715401530265808,0.200884148478508,0.24710409343242645,0.17828026413917542,0.223171204328537,0.29563602805137634,0.1663191318511963
emperor,0.1879471391439438,0.13150596618652344,0.2871226370334625,0.23282058537006378,0.13341739773750305,0.18443609774112701,0.16576659679412842,0.16629979014396667,0.2257286012172699,0.16548079252243042,0.30294448137283325,0.21927855908870697,0.19661661982536316
charles,0.18606366217136383,0.11287324130535126,0.20777860283851624,0.1568939983844757,0.07186166942119598,0.19585423171520233,0.25534582138061523,0.14992274343967438,0.1563960611820221,0.13493691384792328,0.2825178802013397,0.21995548903942108,0.17366734147071838
v,0.16628342866897583,0.17618848383426666,0.18580520153045654,0.14883948862552643,0.15692353248596191,0.20079591870307922,0.12660114467144012,0.19259372353553772,0.2109750658273697,0.14757047593593597,0.1461172252893448,0.17332319915294647,0.28677162528038025
at,0.2838611304759979,0.28390252590179443,0.457212895154953,0.1633070856332779,0.1511090099811554,0.38876327872276306,0.13834704458713531,0.24029305577278137,0.36524343490600586,0.2027413547039032,0.27659502625465393,0.14241008460521698,0.21978627145290375
the,0.42745697498321533,0.34736719727516174,1.0,0.23846197128295898,0.30239659547805786,0.5091903209686279,0.1759674996137619,0.2606237530708313,0.535392165184021,0.2649511396884918,0.4394008219242096,0.21431727707386017,0.22068053483963013
diet,0.16286584734916687,0.14340093731880188,0.2280237376689911,0.16003896296024323,0.17629174888134003,0.15782000124454498,0.2504214346408844,0.15474843978881836,0.17240996658802032,0.16264846920967102,0.0982600525021553,0.2565239667892456,0.10425104945898056
