,during,which,years,was,no,census,taken,?
most,0.3715948462486267,0.4637843072414398,0.2278384268283844,0.29933857917785645,0.23710472881793976,0.15523621439933777,0.19498059153556824,0.2107497900724411
work,0.1864008754491806,0.30331435799598694,0.19907118380069733,0.24745555222034454,0.23225490748882294,0.13618119060993195,0.17383311688899994,0.2621155381202698
has,0.23098520934581757,0.4350704550743103,0.25622743368148804,0.40313825011253357,0.2747333347797394,0.2098473161458969,0.24078872799873352,0.15994466841220856
been,0.3273974359035492,0.36993977427482605,0.36026424169540405,0.518218457698822,0.2758704721927643,0.16413690149784088,0.3224788308143616,0.24354910850524902
done,0.2546488642692566,0.298350989818573,0.1807522028684616,0.23778371512889862,0.26834169030189514,0.1983848363161087,0.4023340940475464,0.36153489351272583
on,0.3347817361354828,0.4245251417160034,0.2152649462223053,0.3909217119216919,0.3244728446006775,0.14333851635456085,0.20865710079669952,0.2714994251728058
the,0.4838213622570038,0.6521818041801453,0.2912273406982422,0.48711544275283813,0.3461136817932129,0.2524987757205963,0.3309854567050934,0.22068053483963013
spread,0.2517121136188507,0.31588253378868103,0.16203303635120392,0.16506560146808624,0.09163986146450043,0.07443147152662277,0.23839731514453888,0.16482828557491302
of,0.3869180977344513,0.5011631846427917,0.2904134690761566,0.4069072902202606,0.24809792637825012,0.19615516066551208,0.2889742851257324,0.1826142966747284
the,0.4838213622570038,0.6521818041801453,0.2912273406982422,0.48711544275283813,0.3461136817932129,0.2524987757205963,0.3309854567050934,0.22068053483963013
plague,0.25791043043136597,0.25075629353523254,0.22512836754322052,0.24312011897563934,0.1816822737455368,0.16247309744358063,0.20142413675785065,0.11872942000627518
in,0.4627237319946289,0.4840516746044159,0.33554986119270325,0.45514053106307983,0.24372287094593048,0.2571312189102173,0.2500644326210022,0.20430970191955566
england,0.23691093921661377,0.24747401475906372,0.23933982849121094,0.2656741440296173,0.18761950731277466,0.1915176808834076,0.18552415072917938,0.13436897099018097
",",0.3225448727607727,0.3658004403114319,0.2589467465877533,0.45456063747406006,0.29972612857818604,0.2530386745929718,0.28904372453689575,0.31091248989105225
and,0.36462149024009705,0.506277859210968,0.300204873085022,0.3740963041782379,0.25880882143974304,0.15556402504444122,0.2680969834327698,0.20544172823429108
even,0.2949271500110626,0.4903149902820587,0.32218000292778015,0.27441510558128357,0.3647457957267761,0.15946538746356964,0.2962007224559784,0.30082517862319946
estimates,0.22365018725395203,0.2408856898546219,0.2995641827583313,0.202177494764328,0.16001476347446442,0.401029109954834,0.20883674919605255,0.19916187226772308
of,0.3869180977344513,0.5011631846427917,0.2904134690761566,0.4069072902202606,0.24809792637825012,0.19615516066551208,0.2889742851257324,0.1826142966747284
overall,0.22055108845233917,0.2324242889881134,0.16883690655231476,0.23720335960388184,0.17357346415519714,0.14975443482398987,0.12534743547439575,0.18573027849197388
population,0.2194119244813919,0.2151837795972824,0.1909075230360031,0.1935066133737564,0.16290639340877533,0.6778454184532166,0.19016133248806,0.14449454843997955
at,0.372769296169281,0.3286694884300232,0.2851444482803345,0.36707764863967896,0.203653946518898,0.213856503367424,0.2586075961589813,0.21978627145290375
the,0.4838213622570038,0.6521818041801453,0.2912273406982422,0.48711544275283813,0.3461136817932129,0.2524987757205963,0.3309854567050934,0.22068053483963013
start,0.3716736435890198,0.2669599950313568,0.2326207011938095,0.20079405605793,0.22338111698627472,0.10307178646326065,0.24548222124576569,0.26634979248046875
vary,0.20086199045181274,0.30922043323516846,0.15717913210391998,0.12834618985652924,0.17614775896072388,0.13883881270885468,0.2716793417930603,0.15120448172092438
by,0.3220438063144684,0.40543368458747864,0.19883383810520172,0.4752357602119446,0.15267254412174225,0.13055695593357086,0.2738271653652191,0.17966607213020325
over,0.3472751975059509,0.4256240129470825,0.3751278817653656,0.24486446380615234,0.20625729858875275,0.1567988097667694,0.34619829058647156,0.25742942094802856
100,0.06033926084637642,0.24167586863040924,0.13962221145629883,0.11945781856775284,0.18432115018367767,0.08614197373390198,0.11374065279960632,0.19397632777690887
%,0.11905162036418915,0.19622854888439178,0.22270488739013672,0.11743833869695663,0.23304127156734467,0.3486599028110504,0.17348022758960724,0.21441808342933655
as,0.29671990871429443,0.41006597876548767,0.234328031539917,0.3677520453929901,0.28687340021133423,0.22827468812465668,0.23555229604244232,0.27043893933296204
no,0.1413324624300003,0.32479003071784973,0.18023595213890076,0.19955526292324066,1.0,0.19468021392822266,0.23147335648536682,0.32165053486824036
census,0.11969147622585297,0.1733984500169754,0.16497676074504852,0.1721275895833969,0.19468021392822266,1.0,0.21200451254844666,0.12548218667507172
was,0.4470829963684082,0.2830964922904968,0.35855233669281006,1.0000001192092896,0.19955526292324066,0.1721275895833969,0.27550867199897766,0.18412111699581146
undertaken,0.33755746483802795,0.3589397668838501,0.17687414586544037,0.2810589075088501,0.19819284975528717,0.2034338414669037,0.42549899220466614,0.15510587394237518
between,0.36201924085617065,0.395174115896225,0.2583497166633606,0.24048170447349548,0.16708187758922577,0.14811624586582184,0.17816510796546936,0.12887074053287506
the,0.4838213622570038,0.6521818041801453,0.2912273406982422,0.48711544275283813,0.3461136817932129,0.2524987757205963,0.3309854567050934,0.22068053483963013
time,0.49996283650398254,0.325231671333313,0.42289087176322937,0.3641340136528015,0.2929181158542633,0.1618567258119583,0.23608605563640594,0.27391523122787476
of,0.3869180977344513,0.5011631846427917,0.2904134690761566,0.4069072902202606,0.24809792637825012,0.19615516066551208,0.2889742851257324,0.1826142966747284
publication,0.2047702968120575,0.24190150201320648,0.23030520975589752,0.22530198097229004,0.214859738945961,0.22494278848171234,0.17398834228515625,0.2191428393125534
of,0.3869180977344513,0.5011631846427917,0.2904134690761566,0.4069072902202606,0.24809792637825012,0.19615516066551208,0.2889742851257324,0.1826142966747284
the,0.4838213622570038,0.6521818041801453,0.2912273406982422,0.48711544275283813,0.3461136817932129,0.2524987757205963,0.3309854567050934,0.22068053483963013
