,where,is,the,principle,of,proportionality,recognized,in,the,ec,treaty,?
the,0.5003893971443176,0.5823672413825989,1.0,0.24017377197742462,0.733189046382904,0.2545052170753479,0.31571096181869507,0.6662389636039734,1.0,0.14133693277835846,0.2690109610557556,0.22068053483963013
principle,0.18538446724414825,0.20634804666042328,0.24017377197742462,1.0,0.2430231273174286,0.30795538425445557,0.20235957205295563,0.16382117569446564,0.24017377197742462,0.054988157004117966,0.21129724383354187,0.2002675086259842
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.2430231273174286,1.0,0.25016435980796814,0.3161126375198364,0.5696388483047485,0.733189046382904,0.14448298513889313,0.2602092921733856,0.1826142966747284
proportionality,0.19442816078662872,0.23858913779258728,0.2545052170753479,0.30795538425445557,0.25016435980796814,1.0,0.22840017080307007,0.1949407309293747,0.2545052170753479,0.08043867349624634,0.1245458573102951,0.22919641435146332
is,0.3586711287498474,1.0,0.5823672413825989,0.20634804666042328,0.4854315221309662,0.23858913779258728,0.23847106099128723,0.5394441485404968,0.5823672413825989,0.15049412846565247,0.17603619396686554,0.22961433231830597
also,0.5413004159927368,0.5012649297714233,0.6021018624305725,0.22708576917648315,0.4924938678741455,0.18148063123226166,0.27384090423583984,0.5073733329772949,0.6021018624305725,0.1860073357820511,0.2214195728302002,0.21848613023757935
recognised,0.17717982828617096,0.23218490183353424,0.2839850187301636,0.2793339192867279,0.29297497868537903,0.23870134353637695,0.7276184558868408,0.25980618596076965,0.2839850187301636,0.043804869055747986,0.2777481973171234,0.1985509693622589
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.16382117569446564,0.5696388483047485,0.1949407309293747,0.3010571300983429,1.0,0.6662389636039734,0.07087412476539612,0.22333456575870514,0.20430970191955566
article,0.2605186104774475,0.29873761534690857,0.3329811692237854,0.2983006238937378,0.25720444321632385,0.27657145261764526,0.17717963457107544,0.26153311133384705,0.3329811692237854,0.19603769481182098,0.2396368831396103,0.4948462247848511
5,0.06772465258836746,0.009449449367821217,0.09255307912826538,0.0198901928961277,0.1043979674577713,0.0481928288936615,0.08724460005760193,0.0862177163362503,0.09255307912826538,-0.017692234367132187,0.0539456270635128,0.06222071498632431
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.2430231273174286,1.0,0.25016435980796814,0.3161126375198364,0.5696388483047485,0.733189046382904,0.14448298513889313,0.2602092921733856,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,1.0,0.24017377197742462,0.733189046382904,0.2545052170753479,0.31571096181869507,0.6662389636039734,1.0,0.14133693277835846,0.2690109610557556,0.22068053483963013
ec,0.14053447544574738,0.15049412846565247,0.14133693277835846,0.054988157004117966,0.14448298513889313,0.08043867349624634,0.02155160903930664,0.07087412476539612,0.14133693277835846,1.0,0.1496964544057846,0.2329261600971222
treaty,0.15556932985782623,0.17603619396686554,0.2690109610557556,0.21129724383354187,0.2602092921733856,0.1245458573102951,0.2518264651298523,0.22333456575870514,0.2690109610557556,0.1496964544057846,1.0,0.1174844279885292
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.22548964619636536,0.4946078956127167,0.24624112248420715,0.2936757206916809,0.5201468467712402,0.4933079481124878,0.1832467019557953,0.21270246803760529,0.31091248989105225
stating,0.24633565545082092,0.2201780080795288,0.2977248430252075,0.3713245987892151,0.26161399483680725,0.248695969581604,0.26087048649787903,0.21747106313705444,0.2977248430252075,0.0751742422580719,0.23495863378047943,0.2760101556777954
that,0.4876193106174469,0.3995479643344879,0.5473989248275757,0.3780646324157715,0.41498205065727234,0.29750704765319824,0.2771771252155304,0.435920387506485,0.5473989248275757,0.1613558679819107,0.19276702404022217,0.32716336846351624
``,0.020612511783838272,0.058766357600688934,0.029072100296616554,0.066971555352211,0.06780257821083069,0.16844899952411652,0.03911124914884567,0.04765888676047325,0.029072100296616554,0.11029326170682907,0.16497017443180084,0.0685480609536171
any,0.3528640866279602,0.35691767930984497,0.4525727927684784,0.2469593733549118,0.3769088089466095,0.3511527180671692,0.24918882548809052,0.3135753571987152,0.4525727927684784,0.14700007438659668,0.1550198793411255,0.4113408327102661
action,0.21614055335521698,0.20976395905017853,0.28415048122406006,0.2708413898944855,0.23570318520069122,0.12194789946079254,0.12700966000556946,0.22362500429153442,0.28415048122406006,0.1509634405374527,0.10017765313386917,0.250188946723938
by,0.2641284465789795,0.3899846076965332,0.4408751428127289,0.18832720816135406,0.3646814823150635,0.30400118231773376,0.2992893159389496,0.370934396982193,0.4408751428127289,0.0353495217859745,0.11528714001178741,0.17966607213020325
the,0.5003893971443176,0.5823672413825989,1.0,0.24017377197742462,0.733189046382904,0.2545052170753479,0.31571096181869507,0.6662389636039734,1.0,0.14133693277835846,0.2690109610557556,0.22068053483963013
community,0.19878703355789185,0.26023760437965393,0.2601400911808014,0.16804683208465576,0.2367410808801651,0.20528043806552887,0.18935546278953552,0.21838891506195068,0.2601400911808014,0.13429506123065948,0.19251105189323425,0.2380419820547104
shall,0.21414898335933685,0.2631756365299225,0.28226348757743835,0.21884343028068542,0.2537289261817932,0.20780153572559357,0.2145955115556717,0.19654449820518494,0.28226348757743835,0.06195314601063728,0.22407649457454681,0.3077273964881897
not,0.3820744752883911,0.3776007890701294,0.4310511648654938,0.3059917986392975,0.3307090103626251,0.35010090470314026,0.3082355558872223,0.3403114080429077,0.4310511648654938,0.11696744710206985,0.24425633251667023,0.41942933201789856
go,0.3893263638019562,0.19626101851463318,0.29801803827285767,0.15362906455993652,0.21881330013275146,0.11462347954511642,0.04504184424877167,0.22233200073242188,0.29801803827285767,0.1360817700624466,0.10242417454719543,0.25942572951316833
beyond,0.2694830298423767,0.20031015574932098,0.2982341945171356,0.26537248492240906,0.25559017062187195,0.2223631739616394,0.17105847597122192,0.2508668303489685,0.2982341945171356,0.050232209265232086,0.11915663629770279,0.1875571459531784
