,how,much,of,the,european,population,did,the,black,death,kill,?
spreading,0.26812365651130676,0.36562758684158325,0.3028612434864044,0.3464648723602295,0.23523445427417755,0.27184081077575684,0.19670341908931732,0.3464648723602295,0.21714948117733002,0.18952707946300507,0.22073018550872803,0.18905867636203766
throughout,0.2546801269054413,0.3350156545639038,0.35374847054481506,0.4158564507961273,0.1901751607656479,0.15331272780895233,0.194510817527771,0.4158564507961273,0.17463676631450653,0.20173302292823792,0.06943903863430023,0.12665234506130219
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.3423081040382385,0.32044094800949097,0.34736719727516174,1.0,0.28466513752937317,0.21438048779964447,0.1907513439655304,0.22068053483963013
mediterranean,0.1153978481888771,0.22615349292755127,0.272215873003006,0.33625227212905884,0.320944607257843,0.2699103355407715,0.11543042957782745,0.33625227212905884,0.2222985029220581,0.067357636988163,0.09859032928943634,0.15430885553359985
and,0.33647966384887695,0.38395699858665466,0.5116966962814331,0.5171257257461548,0.24143946170806885,0.23080337047576904,0.34479495882987976,0.5171257257461548,0.24407927691936493,0.1816639006137848,0.2698296904563904,0.20544172823429108
europe,0.1606675088405609,0.29395177960395813,0.29299741983413696,0.34463706612586975,0.5846181511878967,0.18629881739616394,0.22473940253257751,0.34463706612586975,0.21574854850769043,0.13585270941257477,0.11189081519842148,0.18278923630714417
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.19684812426567078,0.2967977225780487,0.3015086054801941,0.4933079481124878,0.23807229101657867,0.2070959210395813,0.30406463146209717,0.31091248989105225
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.3423081040382385,0.32044094800949097,0.34736719727516174,1.0,0.28466513752937317,0.21438048779964447,0.1907513439655304,0.22068053483963013
black,0.2023327350616455,0.1629277616739273,0.23966942727565765,0.28466513752937317,0.2361747920513153,0.17196610569953918,0.14310608804225922,0.28466513752937317,1.0,0.1932034194469452,0.18392394483089447,0.15159966051578522
death,0.19782234728336334,0.1532273292541504,0.23778599500656128,0.21438048779964447,0.12909001111984253,0.1300671100616455,0.2252790331840515,0.21438048779964447,0.1932034194469452,0.9999998807907104,0.28085198998451233,0.21149799227714539
is,0.22544461488723755,0.3156087100505829,0.4854315221309662,0.5823672413825989,0.16083641350269318,0.2727566361427307,0.19247472286224365,0.5823672413825989,0.20887219905853271,0.17991963028907776,0.19622670114040375,0.22961433231830597
estimated,0.21406520903110504,0.2984779179096222,0.30473583936691284,0.29184040427207947,0.13938923180103302,0.5198360681533813,0.14494213461875916,0.29184040427207947,0.10768016427755356,0.12078696489334106,0.1673273742198944,0.18149758875370026
to,0.44169697165489197,0.40610215067863464,0.41548454761505127,0.535392165184021,0.21011990308761597,0.19776633381843567,0.4452643394470215,0.535392165184021,0.23292754590511322,0.19568277895450592,0.328944593667984,0.29463258385658264
have,0.4370637536048889,0.440376877784729,0.3802283704280853,0.40389683842658997,0.19048169255256653,0.19700278341770172,0.3783526122570038,0.40389683842658997,0.22332455217838287,0.15326929092407227,0.2240525484085083,0.32991164922714233
killed,0.1255389302968979,0.16101554036140442,0.2589981257915497,0.23115427792072296,0.08364565670490265,0.2443472445011139,0.24296797811985016,0.23115427792072296,0.15791107714176178,0.34693118929862976,0.6108298897743225,0.17928971350193024
30–60,0.03748035803437233,-0.08173224329948425,-0.07766852527856827,-0.011794086545705795,-0.029330704361200333,-0.07844771444797516,-0.008634661324322224,-0.011794086545705795,-0.07699134945869446,-0.09087775647640228,-0.10185150057077408,0.014000424183905125
%,0.1237400695681572,0.26866111159324646,0.19953428208827972,0.21490740776062012,0.14314202964305878,0.4585210084915161,0.1450016051530838,0.21490740776062012,0.19874867796897888,0.04824939742684364,0.1301565021276474,0.21441808342933655
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.2507138252258301,0.3060894012451172,0.2513895630836487,0.733189046382904,0.23966942727565765,0.23778599500656128,0.19896888732910156,0.1826142966747284
europe,0.1606675088405609,0.29395177960395813,0.29299741983413696,0.34463706612586975,0.5846181511878967,0.18629881739616394,0.22473940253257751,0.34463706612586975,0.21574854850769043,0.13585270941257477,0.11189081519842148,0.18278923630714417
's,-0.026164190843701363,0.06731651723384857,-0.03817026689648628,-0.01540423184633255,0.08902547508478165,0.012951160781085491,0.05069678649306297,-0.01540423184633255,0.07187972962856293,0.07207932323217392,0.004928117617964745,-0.023395681753754616
total,0.22199897468090057,0.26354777812957764,0.29045331478118896,0.27068960666656494,0.05487825721502304,0.3710280954837799,0.14788632094860077,0.27068960666656494,0.15735432505607605,0.07168562710285187,0.13133402168750763,0.14396025240421295
population,0.1651063710451126,0.21015548706054688,0.3060894012451172,0.32044094800949097,0.17372848093509674,1.0,0.0652005523443222,0.32044094800949097,0.17196610569953918,0.1300671100616455,0.14702121913433075,0.14449454843997955
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.2095622420310974,0.26950228214263916,0.35288307070732117,0.5934505462646484,0.24577875435352325,0.24631039798259735,0.29428622126579285,0.4130953550338745
