,what,is,a,mechanical,barrier,in,insects,that,protects,the,insect,?
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2918589413166046,0.32808300852775574,0.6662389636039734,0.23963448405265808,0.5473989248275757,0.27843186259269714,1.0,0.23418988287448883,0.22068053483963013
waxy,0.20907442271709442,0.32401043176651,0.31619134545326233,0.3374503254890442,0.3528207838535309,0.22761227190494537,0.39940932393074036,0.3215881586074829,0.37779152393341064,0.24410858750343323,0.4060326814651489,0.17165924608707428
cuticle,0.2747798264026642,0.27318692207336426,0.26824501156806946,0.36493760347366333,0.295672208070755,0.18250629305839539,0.3974454700946808,0.34271493554115295,0.3500673174858093,0.2902844548225403,0.445779949426651,0.17834864556789398
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.3339124023914337,0.24921740591526031,0.5696388483047485,0.22031989693641663,0.41498205065727234,0.2526929974555969,0.733189046382904,0.2153836041688919,0.1826142966747284
many,0.36131182312965393,0.2649032473564148,0.2872205972671509,0.2343486100435257,0.26574942469596863,0.41474202275276184,0.28467586636543274,0.5391656160354614,0.2233731895685196,0.4335206151008606,0.21827678382396698,0.2124512493610382
leaves,0.17524603009223938,0.25514280796051025,0.2384355217218399,0.1800031214952469,0.14170587062835693,0.21813523769378662,0.34927791357040405,0.23924985527992249,0.18121466040611267,0.26001983880996704,0.3030276894569397,0.11751258373260498
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.21404018998146057,0.23170435428619385,0.5201468467712402,0.23780211806297302,0.4137537479400635,0.1929810643196106,0.4933079481124878,0.1710517406463623,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2918589413166046,0.32808300852775574,0.6662389636039734,0.23963448405265808,0.5473989248275757,0.27843186259269714,1.0,0.23418988287448883,0.22068053483963013
exoskeleton,0.27335086464881897,0.2404496967792511,0.2298772633075714,0.3361281752586365,0.3350997865200043,0.22777119278907776,0.505690336227417,0.33649787306785583,0.3736286163330078,0.2726273834705353,0.5188532471656799,0.15635763108730316
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.3339124023914337,0.24921740591526031,0.5696388483047485,0.22031989693641663,0.41498205065727234,0.2526929974555969,0.733189046382904,0.2153836041688919,0.1826142966747284
insects,0.1993972659111023,0.18573613464832306,0.23904122412204742,0.2642729580402374,0.17022377252578735,0.19145500659942627,1.0000001192092896,0.2629285156726837,0.2622499167919159,0.23963448405265808,0.8695406913757324,0.1639890819787979
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.21404018998146057,0.23170435428619385,0.5201468467712402,0.23780211806297302,0.4137537479400635,0.1929810643196106,0.4933079481124878,0.1710517406463623,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2918589413166046,0.32808300852775574,0.6662389636039734,0.23963448405265808,0.5473989248275757,0.27843186259269714,1.0,0.23418988287448883,0.22068053483963013
shells,0.21712204813957214,0.1587716042995453,0.20203979313373566,0.2580806612968445,0.22679410874843597,0.21573378145694733,0.36046579480171204,0.2586749196052551,0.25826114416122437,0.2135874330997467,0.3204047977924347,0.12549249827861786
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2240421026945114,0.28187382221221924,0.4954058527946472,0.26325875520706177,0.4731321930885315,0.26970621943473816,0.5171257257461548,0.17318162322044373,0.20544172823429108
membranes,0.18834297358989716,0.20728234946727753,0.1770123988389969,0.2732864320278168,0.38239461183547974,0.21022982895374298,0.39284929633140564,0.30202755331993103,0.38376131653785706,0.2330547422170639,0.369778037071228,0.20524227619171143
