,which,species,eggs,are,fertilized,and,kept,inside,the,parents,body,until,hatched,?
fertilization,0.3412281274795532,0.4076278507709503,0.5108038187026978,0.25962281227111816,0.8495158553123474,0.24803239107131958,0.10678543895483017,0.32549673318862915,0.28298038244247437,0.21634483337402344,0.2668195366859436,0.20119696855545044,0.40854528546333313,0.18676581978797913
is,0.4457404911518097,0.2673557698726654,0.17573606967926025,0.5330929756164551,0.20374098420143127,0.3859752118587494,0.22417712211608887,0.2848464548587799,0.5823672413825989,0.16050268709659576,0.2790417969226837,0.23065046966075897,0.14605000615119934,0.22961433231830597
generally,0.5185179114341736,0.27915826439857483,0.21691951155662537,0.5254502892494202,0.25792598724365234,0.4087323546409607,0.24870313704013824,0.26983287930488586,0.41466525197029114,0.13277406990528107,0.277296781539917,0.19056600332260132,0.19498807191848755,0.23411904275417328
external,0.3379550576210022,0.17648907005786896,0.1877177655696869,0.25311222672462463,0.3060450553894043,0.23221412301063538,0.12114942818880081,0.37637192010879517,0.22874414920806885,0.16022458672523499,0.2526068687438965,0.1384391188621521,0.2176891565322876,0.18867096304893494
",",0.3658004403114319,0.2223871648311615,0.22180765867233276,0.4062570035457611,0.2304401844739914,0.6633074283599854,0.2797359526157379,0.2100258767604828,0.4933079481124878,0.3200828433036804,0.22437527775764465,0.2947838604450226,0.18817970156669617,0.31091248989105225
although,0.3901670575141907,0.20803570747375488,0.20458391308784485,0.30740880966186523,0.22268885374069214,0.334905743598938,0.26369139552116394,0.1995680332183838,0.3265823423862457,0.16498048603534698,0.18052786588668823,0.3241037130355835,0.22388698160648346,0.15541206300258636
platyctenids,0.33349373936653137,0.5839789509773254,0.4853828251361847,0.3534345328807831,0.48013922572135925,0.26407063007354736,0.1605270504951477,0.2707844376564026,0.2612636685371399,0.24326471984386444,0.28842195868492126,0.14659863710403442,0.4255037009716034,0.1917940229177475
',0.32852497696876526,0.17845086753368378,0.1351114958524704,0.24618251621723175,0.15460316836833954,0.3053182065486908,0.2146497368812561,0.1313452273607254,0.474788099527359,0.21787086129188538,0.19061711430549622,0.2319411337375641,0.0774100199341774,0.330942302942276
eggs,0.2575799822807312,0.3865090012550354,1.0,0.3175458312034607,0.5859277844429016,0.23515591025352478,0.1756799966096878,0.3009345233440399,0.18844112753868103,0.2786361873149872,0.28098076581954956,0.2288849800825119,0.5378228425979614,0.1739477664232254
are,0.42922598123550415,0.3297041952610016,0.3175458312034607,1.0,0.28268149495124817,0.48576638102531433,0.27451783418655396,0.3166534900665283,0.40399202704429626,0.1793263703584671,0.2451179027557373,0.154075488448143,0.1923753023147583,0.24591213464736938
fertilized,0.3637843728065491,0.42784780263900757,0.5859277844429016,0.28268149495124817,1.0000001192092896,0.2737002372741699,0.16866876184940338,0.37432631850242615,0.2627621591091156,0.21676146984100342,0.26550957560539246,0.26168325543403625,0.48928263783454895,0.14342130720615387
inside,0.45715823769569397,0.19014203548431396,0.3009345233440399,0.3166534900665283,0.37432631850242615,0.3229386806488037,0.3024788796901703,1.0000001192092896,0.35313180088996887,0.1756877303123474,0.3070251941680908,0.22443637251853943,0.2844236493110657,0.14505037665367126
their,0.4582767188549042,0.23901094496250153,0.26777827739715576,0.46887820959091187,0.2821171283721924,0.45114588737487793,0.31731778383255005,0.2358325719833374,0.516537070274353,0.2882542312145233,0.28403112292289734,0.271471232175827,0.22957628965377808,0.1898253709077835
parents,0.15146835148334503,0.1587265133857727,0.2786361873149872,0.1793263703584671,0.21676146984100342,0.2922651767730713,0.16931740939617157,0.1756877303123474,0.15979741513729095,1.0000001192092896,0.14581623673439026,0.24409042298793793,0.25540077686309814,0.17306075990200043
',0.32852497696876526,0.17845086753368378,0.1351114958524704,0.24618251621723175,0.15460316836833954,0.3053182065486908,0.2146497368812561,0.1313452273607254,0.474788099527359,0.21787086129188538,0.19061711430549622,0.2319411337375641,0.0774100199341774,0.330942302942276
bodies,0.3019085228443146,0.2144486904144287,0.308735728263855,0.35380154848098755,0.281536340713501,0.30740299820899963,0.19247351586818695,0.2983221113681793,0.2745959758758545,0.18693971633911133,0.6635226607322693,0.1397160291671753,0.27334916591644287,0.18285469710826874
and,0.506277859210968,0.23547904193401337,0.23515591025352478,0.48576638102531433,0.2737002372741699,1.0,0.2932930588722229,0.3229386806488037,0.5171257257461548,0.2922651767730713,0.2872275710105896,0.3372601866722107,0.22795303165912628,0.20544172823429108
kept,0.25791674852371216,0.2207927703857422,0.1756799966096878,0.27451783418655396,0.16866876184940338,0.2932930588722229,1.0,0.3024788796901703,0.3135738670825958,0.16931740939617157,0.1715022772550583,0.3505001962184906,0.22921650111675262,0.15157312154769897
there,0.45256471633911133,0.3110367953777313,0.20056621730327606,0.5433560013771057,0.21601396799087524,0.4242868423461914,0.31585997343063354,0.30777010321617126,0.47025805711746216,0.19167634844779968,0.20432932674884796,0.24279451370239258,0.21898576617240906,0.29405656456947327
until,0.2778668999671936,0.11830321699380875,0.2288849800825119,0.154075488448143,0.26168325543403625,0.3372601866722107,0.3505001962184906,0.22443637251853943,0.37191009521484375,0.24409042298793793,0.1400211602449417,1.0,0.33044198155403137,0.20304496586322784
