,who,did,the,yuan,'s,increase,in,commerce,help,?
major,0.17810054123401642,0.20997437834739685,0.31775903701782227,0.14733478426933289,-0.010959804058074951,0.17076142132282257,0.3249945342540741,0.20220217108726501,0.1134662851691246,0.19788557291030884
commerce,0.09755388647317886,0.1370212733745575,0.26524990797042847,0.14636018872261047,0.019133558496832848,0.25337669253349304,0.2128394991159439,0.9999999403953552,0.0956399068236351,0.09677373617887497
during,0.30551859736442566,0.30679523944854736,0.4838213622570038,0.18615633249282837,0.011294117197394371,0.21474911272525787,0.4627237319946289,0.18760144710540771,0.2078983634710312,0.1325719803571701
this,0.3345087468624115,0.3609912693500519,0.6274310946464539,0.1771337389945984,0.02106832154095173,0.3563258945941925,0.45205554366111755,0.16240327060222626,0.341825395822525,0.3155723512172699
era,0.15054962038993835,0.1672050952911377,0.266272634267807,0.17384901642799377,-0.020187029615044594,0.15015843510627747,0.19679902493953705,0.09324989467859268,0.10323335975408554,0.14369545876979828
gave,0.22712452709674835,0.4154756963253021,0.32555076479911804,0.12279392778873444,0.0414002351462841,0.16617614030838013,0.24152803421020508,0.19918468594551086,0.22840598225593567,0.1910865753889084
rise,0.12693576514720917,0.16756875813007355,0.3404741883277893,0.16804933547973633,-0.0661361962556839,0.35812729597091675,0.1934409737586975,0.17227107286453247,0.08309188485145569,0.10799103230237961
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.1499021351337433,0.03782717138528824,0.3378143310546875,0.45010748505592346,0.22621312737464905,0.46191298961639404,0.29463258385658264
favorable,0.12296630442142487,0.23869529366493225,0.2490188628435135,0.047598354518413544,0.06375284492969513,0.29711616039276123,0.16976967453956604,0.1767553985118866,0.20318838953971863,0.1794821172952652
conditions,0.19789434969425201,0.25054654479026794,0.2622014284133911,0.11709123104810715,0.03221945837140083,0.32800379395484924,0.2580132484436035,0.17060904204845428,0.2125033438205719,0.17021824419498444
for,0.37110671401023865,0.318512886762619,0.4739971458911896,0.12319284677505493,-0.07241261005401611,0.26647913455963135,0.4322226941585541,0.24271082878112793,0.33200904726982117,0.264628142118454
private,0.2552628517150879,0.1676381528377533,0.18291357159614563,0.10859363526105881,0.08433578908443451,0.13436543941497803,0.21135757863521576,0.31207966804504395,0.14327706396579742,0.14389030635356903
southern,0.1828710436820984,0.13322393596172333,0.3282862603664398,0.20931728184223175,0.02131068892776966,0.04661603271961212,0.3190481662750244,0.2594086527824402,0.10104608535766602,0.11225555837154388
chinese,0.2538459002971649,0.19065357744693756,0.2785343527793884,0.5665212273597717,0.01673142798244953,0.11727103590965271,0.20821347832679749,0.1526869833469391,0.1480889767408371,0.20843194425106049
manufacturers,0.16040465235710144,0.21316803991794586,0.22994959354400635,0.17995065450668335,0.04821775481104851,0.3224623203277588,0.17006586492061615,0.3054673671722412,0.21056963503360748,0.15427739918231964
and,0.41279885172843933,0.34479495882987976,0.5171257257461548,0.22359056770801544,0.06895173341035843,0.2751924991607666,0.4954058527946472,0.24256257712841034,0.34926167130470276,0.20544172823429108
merchants,0.28559601306915283,0.27954357862472534,0.25689056515693665,0.19841745495796204,0.03531861677765846,0.2498077154159546,0.2407870888710022,0.4150158762931824,0.21697764098644257,0.0864284485578537
.,0.3541337847709656,0.35288307070732117,0.5934505462646484,0.17233723402023315,-0.003708066651597619,0.24619564414024353,0.5591574311256409,0.26754042506217957,0.32205137610435486,0.4130953550338745
