,what,is,the,highest,point,of,the,rhine,basin,called,?
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.3084787130355835,0.733189046382904,1.0,0.30735138058662415,0.24553915858268738,0.489897221326828,0.22068053483963013
aare,0.24427781999111176,0.34166935086250305,0.3575730621814728,0.21860158443450928,0.2437136471271515,0.30810537934303284,0.3575730621814728,0.4274474084377289,0.2761382758617401,0.2288048267364502,0.15954816341400146
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.2834891974925995,0.2754875123500824,0.4924938678741455,0.6021018624305725,0.1230347603559494,0.15449294447898865,0.5140911936759949,0.21848613023757935
contains,0.14236655831336975,0.4272567629814148,0.2846323549747467,0.12283169478178024,0.13958700001239777,0.34575599431991577,0.2846323549747467,0.06530234962701797,0.1757301390171051,0.3217264413833618,0.15215006470680237
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.3084787130355835,0.733189046382904,1.0,0.30735138058662415,0.24553915858268738,0.489897221326828,0.22068053483963013
waters,0.14115752279758453,0.21883726119995117,0.2699524164199829,0.15839442610740662,0.12227228283882141,0.18957136571407318,0.2699524164199829,0.1240205243229866,0.3714104890823364,0.1746041476726532,0.135763481259346
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.1877705305814743,0.2273016721010208,0.4249346852302551,0.40150508284568787,0.2181936800479889,0.19501222670078278,0.2703215777873993,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.3084787130355835,0.733189046382904,1.0,0.30735138058662415,0.24553915858268738,0.489897221326828,0.22068053483963013
"4,274",0.17192412912845612,-0.0011862671235576272,0.049395084381103516,-0.04187215864658356,0.047667939215898514,0.10614464432001114,0.049395084381103516,0.0770311951637268,0.1054149717092514,0.05938790738582611,-0.006610610987991095
m,0.23871465027332306,0.22669823467731476,0.15156042575836182,0.20332181453704834,0.2546440064907074,0.14254631102085114,0.15156042575836182,0.1758568435907364,0.17112913727760315,0.04210549592971802,0.2618667185306549
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.17115482687950134,0.21612024307250977,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.19185028970241547,0.2546432614326477,0.40561532974243164
"14,022",-0.019855977967381477,-0.0019760325085371733,0.05300488695502281,-0.09465683996677399,-0.12208990007638931,0.1494583785533905,0.05300488695502281,-0.09653298556804657,0.016589483246207237,0.006585864815860987,-0.022257274016737938
ft,0.20828482508659363,0.17731311917304993,0.16553674638271332,0.3524453639984131,0.23857516050338745,0.14259693026542664,0.16553674638271332,0.15151794254779816,0.24439844489097595,0.16177505254745483,0.17776548862457275
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.20505082607269287,0.2308495044708252,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.20293669402599335,0.273923397064209,0.42300865054130554
summit,0.1515255868434906,0.1328492909669876,0.2151811271905899,0.38788554072380066,0.23106345534324646,0.1551278680562973,0.2151811271905899,0.15306846797466278,0.18788868188858032,0.18899454176425934,0.10847369581460953
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3223685622215271,0.269877165555954,1.0,0.733189046382904,0.2548927664756775,0.2557278275489807,0.4222904443740845,0.1826142966747284
finsteraarhorn,0.16609342396259308,0.30562037229537964,0.3491683602333069,0.21034783124923706,0.16010864078998566,0.32554352283477783,0.3491683602333069,0.3955376148223877,0.22199377417564392,0.29052603244781494,0.14949223399162292
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22094981372356415,0.28971099853515625,0.4946078956127167,0.4933079481124878,0.167837992310524,0.25865232944488525,0.26549121737480164,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.3084787130355835,0.733189046382904,1.0,0.30735138058662415,0.24553915858268738,0.489897221326828,0.22068053483963013
highest,0.19637788832187653,0.27460670471191406,0.36945265531539917,1.0,0.34997108578681946,0.3223685622215271,0.36945265531539917,0.16403795778751373,0.23720160126686096,0.21343322098255157,0.11527936160564423
point,0.3286605179309845,0.29601794481277466,0.3084787130355835,0.34997108578681946,0.9999998807907104,0.269877165555954,0.3084787130355835,0.06941651552915573,0.2487199306488037,0.16772429645061493,0.19189560413360596
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3223685622215271,0.269877165555954,1.0,0.733189046382904,0.2548927664756775,0.2557278275489807,0.4222904443740845,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.36945265531539917,0.3084787130355835,0.733189046382904,1.0,0.30735138058662415,0.24553915858268738,0.489897221326828,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.16403795778751373,0.06941651552915573,0.2548927664756775,0.30735138058662415,1.0,0.2524189054965973,0.14562174677848816,0.13754533231258392
basin,0.1565224826335907,0.2273138016462326,0.24553915858268738,0.23720160126686096,0.2487199306488037,0.2557278275489807,0.24553915858268738,0.2524189054965973,1.0,0.14464421570301056,0.14685653150081635
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2254713773727417,0.26374325156211853,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.20696322619915009,0.300344854593277,0.4130953550338745
