,what,was,the,recorded,length,of,the,first,spark,?
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.26053643226623535,0.2846580147743225,0.3966929316520691,0.5107308030128479,0.3120559751987457,0.21547293663024902,0.2714994251728058
15,-0.01077192835509777,0.08381640166044235,-0.011810222640633583,-0.0037102552596479654,-0.0769483894109726,-0.02319195494055748,-0.011810222640633583,-0.008040252141654491,-0.05650020390748978,-0.010706285014748573
june,0.2171148657798767,0.42821118235588074,0.24568822979927063,0.18244466185569763,0.10661731660366058,0.19721001386642456,0.24568822979927063,0.2872718572616577,0.12823113799095154,0.31416764855384827
1899,0.018272055312991142,-0.10084933042526245,-0.11493653059005737,-0.11291404813528061,-0.14419633150100708,-0.09318870306015015,-0.11493653059005737,-0.17205162346363068,-0.011403996497392654,-0.09203046560287476
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2596049904823303,0.2117512971162796,0.4946078956127167,0.4933079481124878,0.34503069519996643,0.23687885701656342,0.31091248989105225
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.11739913374185562,0.220595583319664,0.18837453424930573,0.1324402391910553,0.17383763194084167,0.3199569284915924,0.10250775516033173
performed,0.17447373270988464,0.30916687846183777,0.239950031042099,0.3800436556339264,0.12883275747299194,0.16441160440444946,0.239950031042099,0.29864808917045593,0.13386878371238708,0.14428307116031647
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.20857888460159302,0.1298144906759262,0.38364991545677185,0.4394008219242096,0.3241460621356964,0.21906517446041107,0.18075084686279297
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.3052574098110199,0.21919138729572296,0.3536086082458496,0.49448907375335693,1.0,0.23422876000404358,0.18701928853988647
experiments,0.3106561601161957,0.24334195256233215,0.21008943021297455,0.169753760099411,0.1454930156469345,0.16935081779956818,0.21008943021297455,0.2777732312679291,0.25476449728012085,0.14564716815948486
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.21097880601882935,0.16078615188598633,0.42558613419532776,0.457212895154953,0.3138778805732727,0.14175599813461304,0.21978627145290375
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.20857888460159302,0.1298144906759262,0.38364991545677185,0.4394008219242096,0.3241460621356964,0.21906517446041107,0.18075084686279297
colorado,0.1414678543806076,0.23214073479175568,0.24470749497413635,0.20305421948432922,0.0959002748131752,0.17896123230457306,0.24470749497413635,0.20066532492637634,0.12458203732967377,0.15461322665214539
springs,0.1694866269826889,0.2148619294166565,0.2626856863498688,0.15520569682121277,0.09526336938142776,0.2518058717250824,0.2626856863498688,0.17904724180698395,0.22880375385284424,0.0950024425983429
lab,0.20529143512248993,0.22224277257919312,0.19908973574638367,0.16543403267860413,0.10517358034849167,0.21564167737960815,0.19908973574638367,0.22546081244945526,0.28070706129074097,0.15959888696670532
;,0.10986888408660889,0.0754367932677269,0.09152708947658539,0.0720594972372055,0.030272627249360085,0.054534342139959335,0.09152708947658539,0.07760433852672577,-0.0084739550948143,0.10349778085947037
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.1563889980316162,0.06074916943907738,0.38706058263778687,0.4571082592010498,0.3826274573802948,0.22277139127254486,0.2089974731206894
recorded,0.17687608301639557,0.328198105096817,0.2759207487106323,0.9999998807907104,0.16352857649326324,0.21896186470985413,0.2759207487106323,0.3052574098110199,0.09489937126636505,0.19213420152664185
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.20857888460159302,0.1298144906759262,0.38364991545677185,0.4394008219242096,0.3241460621356964,0.21906517446041107,0.18075084686279297
initial,0.2771121859550476,0.21523623168468475,0.29837024211883545,0.18197715282440186,0.23035790026187897,0.25980207324028015,0.29837024211883545,0.3134016692638397,0.20844708383083344,0.16868601739406586
spark,0.23506906628608704,0.22585859894752502,0.23584461212158203,0.09489937126636505,0.09760497510433197,0.22545747458934784,0.23584461212158203,0.23422876000404358,0.9999998807907104,0.25924956798553467
length,0.20598092675209045,0.13514478504657745,0.26581600308418274,0.16352857649326324,1.0,0.22847424447536469,0.26581600308418274,0.21919138729572296,0.09760497510433197,0.16668567061424255
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.21097880601882935,0.16078615188598633,0.42558613419532776,0.457212895154953,0.3138778805732727,0.14175599813461304,0.21978627145290375
five,0.18688078224658966,0.310379296541214,0.41977158188819885,0.2610419690608978,0.1914423406124115,0.3980514109134674,0.41977158188819885,0.35892951488494873,0.14639577269554138,0.18342848122119904
inches,0.18465489149093628,0.16971872746944427,0.23460479080677032,0.23919378221035004,0.4496709406375885,0.20086944103240967,0.23460479080677032,0.15817825496196747,0.0967736765742302,0.17945347726345062
long,0.28276848793029785,0.1968146562576294,0.3075225353240967,0.2024303674697876,0.47154614329338074,0.2567519545555115,0.3075225353240967,0.23231349885463715,0.14276021718978882,0.19699987769126892
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2596049904823303,0.2117512971162796,0.4946078956127167,0.4933079481124878,0.34503069519996643,0.23687885701656342,0.31091248989105225
but,0.5029441118240356,0.36023372411727905,0.4859698414802551,0.18481318652629852,0.24248845875263214,0.39942997694015503,0.4859698414802551,0.34309494495391846,0.2555382549762726,0.27921953797340393
very,0.37053924798965454,0.3183368146419525,0.34171217679977417,0.18744291365146637,0.18322043120861053,0.34437474608421326,0.34171217679977417,0.25814202427864075,0.24409183859825134,0.20864155888557434
thick,0.21052372455596924,0.1445813775062561,0.2423478215932846,0.11423349380493164,0.3342830538749695,0.2399323731660843,0.2423478215932846,0.14707188308238983,0.1862935870885849,0.1260182112455368
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.18660911917686462,0.19754090905189514,0.5116966962814331,0.5171257257461548,0.3167642652988434,0.2533535361289978,0.20544172823429108
noisy,0.217574343085289,0.12320194393396378,0.24494615197181702,0.2353914976119995,0.16867876052856445,0.18426160514354706,0.24494615197181702,0.1804131269454956,0.2577100694179535,0.15685820579528809
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.21476124227046967,0.2983158230781555,0.5352458953857422,0.5934505462646484,0.4345304071903229,0.2980855405330658,0.4130953550338745
