,what,streets,are,contraflows,to,be,implemented,on,in,newcastle,?
as,0.31749409437179565,0.191095232963562,0.3826591968536377,0.32157042622566223,0.42092081904411316,0.5230465531349182,0.30200669169425964,0.36047765612602234,0.3887844979763031,0.21526619791984558,0.27043893933296204
of,0.33290785551071167,0.18885038793087006,0.39081433415412903,0.3138944208621979,0.41548454761505127,0.33904364705085754,0.20162434875965118,0.3966929316520691,0.5696388483047485,0.18781472742557526,0.1826142966747284
2012,0.2266836017370224,0.23509155213832855,0.29633828997612,0.29191529750823975,0.32762008905410767,0.2715093493461609,0.19698365032672882,0.24696305394172668,0.3800647258758545,0.27238860726356506,0.18042556941509247
",",0.3087472915649414,0.22823314368724823,0.4062570035457611,0.3809002637863159,0.44245919585227966,0.39254459738731384,0.25661253929138184,0.49057599902153015,0.5201468467712402,0.251589834690094,0.31091248989105225
the,0.42745697498321533,0.2026284784078598,0.40399202704429626,0.3850397765636444,0.535392165184021,0.4248143136501312,0.21611113846302032,0.5107308030128479,0.6662389636039734,0.2253497689962387,0.22068053483963013
local,0.18981902301311493,0.17967957258224487,0.19665704667568207,0.17627368867397308,0.2207600325345993,0.18838182091712952,0.1845092475414276,0.1699344664812088,0.2223825752735138,0.22142958641052246,0.15022775530815125
council,0.16933071613311768,0.15095719695091248,0.1583584100008011,0.22057272493839264,0.23829470574855804,0.1781650185585022,0.19903762638568878,0.16224971413612366,0.2689173221588135,0.19388608634471893,0.1160062924027443
social,0.22217629849910736,0.18699754774570465,0.21125389635562897,0.21744368970394135,0.19684761762619019,0.1878766417503357,0.24926292896270752,0.24255602061748505,0.23382627964019775,0.1707904189825058,0.1615191102027893
aims,0.22018413245677948,0.09877937287092209,0.275295227766037,0.3022643029689789,0.3763428032398224,0.260304719209671,0.2980652451515198,0.24849170446395874,0.20226864516735077,0.15642718970775604,0.17794713377952576
and,0.31309178471565247,0.3053084909915924,0.48576638102531433,0.363707959651947,0.48971283435821533,0.41766801476478577,0.2268121838569641,0.4077630043029785,0.4954058527946472,0.20204751193523407,0.20544172823429108
objectives,0.3126153349876404,0.17887945473194122,0.2473529428243637,0.30527395009994507,0.31702935695648193,0.25605255365371704,0.379092812538147,0.255198210477829,0.20282575488090515,0.23985075950622559,0.24325615167617798
for,0.3017193675041199,0.23969975113868713,0.3895993232727051,0.3425411880016327,0.4451248347759247,0.3801851272583008,0.2980538010597229,0.36199691891670227,0.4322226941585541,0.2425866425037384,0.264628142118454
cycling,0.17575226724147797,0.13035358488559723,0.17488165199756622,0.24821938574314117,0.23294292390346527,0.1677371710538864,0.14401903748512268,0.14726553857326508,0.22398041188716888,0.11167410761117935,0.06800638884305954
include,0.1535889357328415,0.16504450142383575,0.5140694975852966,0.24185897409915924,0.1820748895406723,0.29535481333732605,0.18449781835079193,0.2332274466753006,0.28694382309913635,0.0805373415350914,0.14925788342952728
:,-0.12022944539785385,-0.11189547926187515,-0.1189703419804573,-0.0597778856754303,-0.09243495017290115,-0.09417453408241272,-0.05573074519634247,-0.06502202153205872,0.020521078258752823,-0.07358825206756592,-0.07156077772378922
highlighting,0.2526554763317108,0.17067457735538483,0.2436179369688034,0.2609134912490845,0.21494516730308533,0.21403877437114716,0.24374064803123474,0.2399844378232956,0.29820501804351807,0.09399261325597763,0.16213589906692505
the,0.42745697498321533,0.2026284784078598,0.40399202704429626,0.3850397765636444,0.535392165184021,0.4248143136501312,0.21611113846302032,0.5107308030128479,0.6662389636039734,0.2253497689962387,0.22068053483963013
usage,0.27315184473991394,0.1542409509420395,0.24654904007911682,0.3080821931362152,0.3090202808380127,0.3284204602241516,0.34479743242263794,0.17595741152763367,0.22769588232040405,0.11568945646286011,0.20954200625419617
of,0.33290785551071167,0.18885038793087006,0.39081433415412903,0.3138944208621979,0.41548454761505127,0.33904364705085754,0.20162434875965118,0.3966929316520691,0.5696388483047485,0.18781472742557526,0.1826142966747284
cycling,0.17575226724147797,0.13035358488559723,0.17488165199756622,0.24821938574314117,0.23294292390346527,0.1677371710538864,0.14401903748512268,0.14726553857326508,0.22398041188716888,0.11167410761117935,0.06800638884305954
to,0.455847829580307,0.21481303870677948,0.3504326641559601,0.3339920938014984,1.0,0.4972836375236511,0.27309197187423706,0.41031414270401,0.45010748505592346,0.23559264838695526,0.29463258385658264
cut,0.20727719366550446,0.16887807846069336,0.2171708643436432,0.30109161138534546,0.27572008967399597,0.3182462155818939,0.20197467505931854,0.22312447428703308,0.1650969684123993,0.09615091979503632,0.1403924524784088
city,0.17493832111358643,0.37250638008117676,0.19493703544139862,0.27723127603530884,0.20300441980361938,0.11616156995296478,0.13019965589046478,0.2549738585948944,0.3911624252796173,0.32860881090164185,0.13423943519592285
