,what,has,been,getting,much,better,in,the,most,recent,years,?
however,0.4480680823326111,0.3999234735965729,0.4543949365615845,0.40417909622192383,0.5116350650787354,0.29449594020843506,0.3982149362564087,0.49814513325691223,0.4937610328197479,0.3953709602355957,0.316581666469574,0.2152075469493866
",",0.3087472915649414,0.3734780251979828,0.34873589873313904,0.2384856641292572,0.36182254552841187,0.331943541765213,0.5201468467712402,0.4933079481124878,0.3636029064655304,0.26883119344711304,0.2589467465877533,0.31091248989105225
average,0.24068789184093475,0.27553778886795044,0.15868164598941803,0.24291831254959106,0.3068808615207672,0.22794854640960693,0.23465414345264435,0.27058175206184387,0.3094763457775116,0.20960667729377747,0.20038852095603943,0.21764592826366425
teacher,0.20492632687091827,0.16918911039829254,0.149984672665596,0.18631611764431,0.16003988683223724,0.23269128799438477,0.22632350027561188,0.17760860919952393,0.13949039578437805,0.05824480950832367,0.19210392236709595,0.1797819435596466
salaries,0.23399829864501953,0.14706438779830933,0.17685697972774506,0.2612379491329193,0.26362788677215576,0.16303160786628723,0.23869653046131134,0.29897719621658325,0.20664231479167938,0.2660823464393616,0.2816537916660309,0.23913246393203735
have,0.39808809757232666,0.6353569626808167,0.6493861675262451,0.4033847451210022,0.440376877784729,0.3652902841567993,0.36843645572662354,0.40389683842658997,0.44364631175994873,0.431756854057312,0.31441381573677063,0.32991164922714233
improved,0.2572605311870575,0.2791714668273926,0.3413253128528595,0.2962476909160614,0.33014893531799316,0.5428871512413025,0.2403203547000885,0.21394658088684082,0.2574702799320221,0.3310125172138214,0.23675476014614105,0.22755856812000275
rapidly,0.20276354253292084,0.23179937899112701,0.2576022148132324,0.24929717183113098,0.2602801024913788,0.19980815052986145,0.24791336059570312,0.26927268505096436,0.23416775465011597,0.25603875517845154,0.2353002429008484,0.11245343834161758
in,0.30808621644973755,0.4173259735107422,0.3515113592147827,0.2387998104095459,0.2725222110748291,0.20443932712078094,1.0,0.6662389636039734,0.41416558623313904,0.2857761085033417,0.33554986119270325,0.20430970191955566
recent,0.24256184697151184,0.3722807466983795,0.4627731740474701,0.1818782538175583,0.3196020722389221,0.19446702301502228,0.2857761085033417,0.31046223640441895,0.3701000511646271,1.0,0.323293000459671,0.2544887959957123
years,0.1981470286846161,0.25622743368148804,0.36026424169540405,0.18445582687854767,0.2631898522377014,0.15380242466926575,0.33554986119270325,0.2912273406982422,0.2278384268283844,0.323293000459671,1.0,0.1914375126361847
.,0.3567904531955719,0.4105546176433563,0.33645182847976685,0.33020880818367004,0.3374604284763336,0.2761487066745758,0.5591574311256409,0.5934505462646484,0.35404038429260254,0.25904062390327454,0.31919315457344055,0.4130953550338745
